event_type,gc_thread,start_ns,time_ns
mark,-1,6904847,214443
mark,-1,9899533,63259
mark,-1,12226441,138301
mark,-1,18818980,72832
mark,-1,22076076,42888
mark,-1,25198459,42503
mark,-1,28221422,59156
mark,-1,30506699,34538
mark,-1,32769969,180452
mark,-1,39664529,56527
mark,-1,44224359,94666
mark,-1,48725813,58850
mark,-1,53225136,47301
mark,-1,57639245,55288
mark,-1,62118190,44622
mark,-1,66570160,49160
mark,-1,71036718,143795
mark,-1,75524672,29380
mark,-1,80046400,40796
mark,-1,84510421,50663
mark,-1,88954239,127802
mark,-1,93401646,38243
mark,-1,97923449,42179
mark,-1,102387560,38669
mark,-1,106811383,45301
mark,-1,111220939,58909
mark,-1,115739465,38708
mark,-1,120208238,88171
mark,-1,124635592,41165
mark,-1,129054116,46189
mark,-1,133596182,56713
mark,-1,138051872,60786
mark,-1,142421802,104231
mark,-1,146896628,60875
mark,-1,151406945,43038
mark,-1,155913421,34839
mark,-1,160278818,37386
mark,-1,164721824,28521
mark,-1,169225177,41114
mark,-1,173745569,105524
mark,-1,178145501,69653
mark,-1,182590479,31083
mark,-1,187066966,150460
mark,-1,191667821,159369
mark,-1,196137311,44482
mark,-1,200554232,38109
mark,-1,205042287,62210
mark,-1,209555856,48277
mark,-1,213952430,49439
mark,-1,218396342,43393
mark,-1,222876088,116892
mark,-1,227421645,48507
mark,-1,231821870,38399
mark,-1,236254586,35614
mark,-1,240694299,48262
mark,-1,245215317,34000
mark,-1,249625013,38929
mark,-1,254088804,51064
mark,-1,258513374,40560
mark,-1,263011907,36281
mark,-1,267416056,39807
mark,-1,271909306,47597
mark,-1,276369946,48989
mark,-1,280835161,112155
mark,-1,285281443,30494
mark,-1,289786876,44326
mark,-1,294239589,47586
mark,-1,298674952,52447
mark,-1,303093205,45131
mark,-1,307606303,39885
mark,-1,312059255,56417
mark,-1,316487329,31289
mark,-1,320881357,43505
mark,-1,325408024,29445
mark,-1,329876200,37852
mark,-1,334268429,50222
mark,-1,338687283,51617
mark,-1,343215187,40461
mark,-1,347700602,30599
mark,-1,352059355,35702
mark,-1,356508899,64134
mark,-1,361004591,41013
mark,-1,365517349,101081
mark,-1,369924366,60523
mark,-1,374340945,37837
mark,-1,378822054,57826
mark,-1,383346988,36623
mark,-1,387740261,42947
mark,-1,392163866,37580
mark,-1,396630427,63311
mark,-1,401142366,81929
mark,-1,405543560,68914
mark,-1,409960444,37822
mark,-1,414460039,41789
mark,-1,418976182,43118
mark,-1,423375339,34336
mark,-1,427843867,43015
mark,-1,432290389,39833
mark,-1,436780543,54624
mark,-1,441188272,30725
mark,-1,445653695,69170
mark,-1,450085374,46480
mark,-1,454586967,47718
mark,-1,458994553,38963
mark,-1,463486108,40276
mark,-1,467931912,65384
mark,-1,472404944,32894
mark,-1,476822873,35538
mark,-1,481330310,31738
mark,-1,485797277,43061
mark,-1,490254863,45791
mark,-1,494677727,41679
mark,-1,499169664,38932
mark,-1,503607669,130648
mark,-1,508088284,43359
mark,-1,512505298,57034
