event_type,gc_thread,start_ns,time_ns
mark,-1,12835007,221301
mark,-1,27651898,148773
mark,-1,35751579,121068
mark,-1,43328967,107299
mark,-1,50675005,112087
mark,-1,58088551,95944
mark,-1,65460908,109162
mark,-1,72850835,100088
mark,-1,80258744,110309
mark,-1,87568975,110234
mark,-1,94939408,104409
mark,-1,102340784,122542
mark,-1,109720880,111365
mark,-1,117081608,113670
mark,-1,124528358,108366
mark,-1,142219903,138946
mark,-1,157698219,122548
mark,-1,173202664,123668
mark,-1,188704679,122673
mark,-1,204180133,119494
mark,-1,219684229,102598
mark,-1,235135168,144076
mark,-1,250644273,98880
mark,-1,266051322,112334
mark,-1,281491371,116282
mark,-1,296956879,120548
mark,-1,312405907,99362
mark,-1,328010272,99397
mark,-1,343553581,107417
mark,-1,359025223,135085
mark,-1,374453971,110546
mark,-1,389904236,114124
mark,-1,405336608,113207
mark,-1,420783514,122694
mark,-1,436251604,118941
mark,-1,451696178,122212
mark,-1,467192438,119470
mark,-1,482661249,125473
mark,-1,498189522,149427
mark,-1,513836646,152094
mark,-1,529472495,147035
mark,-1,545199174,121713
mark,-1,560667878,124601
mark,-1,576133753,103406
mark,-1,591640941,115060
mark,-1,607059604,120817
mark,-1,622486870,128462
mark,-1,637993731,112090
mark,-1,653444983,121961
mark,-1,668958354,116250
mark,-1,684427486,127344
mark,-1,699874143,106621
mark,-1,715440778,133767
mark,-1,730931785,110620
mark,-1,746425895,122020
mark,-1,761860893,108825
mark,-1,777298219,99805
mark,-1,792716540,121269
mark,-1,808129465,129958
mark,-1,823654146,92620
mark,-1,839325316,111535
mark,-1,854756255,117161
mark,-1,870218970,107980
mark,-1,885672947,121292
mark,-1,901181677,117529
mark,-1,916674564,102109
mark,-1,932129857,122061
mark,-1,947636596,95530
mark,-1,963186343,160723
mark,-1,978683915,123878
mark,-1,994123178,115915
mark,-1,1009574789,113642
mark,-1,1025065496,144821
mark,-1,1040529421,127295
mark,-1,1055979358,99881
mark,-1,1071462185,113658
mark,-1,1087057673,137508
mark,-1,1102494437,115461
mark,-1,1117975088,118947
mark,-1,1133496024,114232
mark,-1,1148953501,121940
mark,-1,1164468905,127857
mark,-1,1179940029,107227
mark,-1,1195475888,103239
mark,-1,1210987596,104720
mark,-1,1226552298,130553
mark,-1,1242013443,106544
mark,-1,1257521898,116877
mark,-1,1272967449,114910
mark,-1,1288464284,122410
mark,-1,1303958800,100347
mark,-1,1319468200,93045
mark,-1,1334981601,131357
mark,-1,1350676572,119040
mark,-1,1366141691,105714
mark,-1,1381610720,109487
mark,-1,1397065849,125661
mark,-1,1412555787,137447
mark,-1,1428064767,122906
mark,-1,1443547240,99581
mark,-1,1459074992,120827
mark,-1,1474529250,114129
mark,-1,1489975336,112501
mark,-1,1505459663,136385
mark,-1,1520930307,114849
mark,-1,1536420608,129892
mark,-1,1551869955,97976
mark,-1,1567370863,104952
mark,-1,1582865309,114433
mark,-1,1598301129,99571
mark,-1,1613740043,113673
mark,-1,1629190274,104117
mark,-1,1644594492,104442
mark,-1,1660061132,115844
mark,-1,1675543521,121490
mark,-1,1691017041,96761
mark,-1,1706544742,107032
mark,-1,1721931611,130548
mark,-1,1737388603,105778
mark,-1,1752812153,122042
mark,-1,1768273319,117082
mark,-1,1783699164,126042
mark,-1,1799159689,115877
mark,-1,1814700568,112635
mark,-1,1830374448,111349
mark,-1,1845802859,115306
mark,-1,1861268965,120649
mark,-1,1876752160,121983
mark,-1,1892226945,126579
mark,-1,1907751794,120013
mark,-1,1923195555,123014
mark,-1,1938713171,97002
mark,-1,1954248963,140000
mark,-1,1969705080,124049
