event_type,gc_thread,start_ns,time_ns
mark,-1,4479016,27996
mark,-1,7890484,54130
mark,-1,11217143,14961
mark,-1,14483664,111933
mark,-1,17748770,34009
mark,-1,20927644,53481
mark,-1,24088106,23866
mark,-1,27294366,54941
mark,-1,30451592,12307
mark,-1,33638710,43158
mark,-1,36843933,32941
mark,-1,39911897,35158
mark,-1,43028909,12679
mark,-1,46265734,48170
mark,-1,49468303,29730
mark,-1,52604199,32464
mark,-1,55674470,41430
mark,-1,58797771,42843
mark,-1,61887983,63813
mark,-1,64910280,20104
mark,-1,68050106,26852
mark,-1,71168559,40216
mark,-1,74228351,27615
mark,-1,77413097,37921
mark,-1,80484758,35422
mark,-1,83595606,20112
mark,-1,86737893,43118
mark,-1,89837707,36654
mark,-1,92948190,20245
mark,-1,96090882,37167
mark,-1,99212082,18843
mark,-1,102357703,43195
mark,-1,105481080,17781
mark,-1,108621793,36448
mark,-1,111741348,34015
mark,-1,114807486,49716
mark,-1,117893895,23563
mark,-1,121037628,36016
mark,-1,124156094,34804
mark,-1,127292806,31302
mark,-1,130427898,15219
mark,-1,133566091,43848
mark,-1,136691208,32828
mark,-1,139823958,14967
mark,-1,142964443,36283
mark,-1,146081599,26551
mark,-1,149218319,36772
mark,-1,152278529,35629
mark,-1,155391284,27866
mark,-1,158502885,43004
mark,-1,161608898,24293
mark,-1,164731967,15750
mark,-1,167873437,34109
mark,-1,170987677,34837
mark,-1,174047035,45329
mark,-1,177153118,35775
mark,-1,180266970,18873
mark,-1,183407157,35569
mark,-1,186531696,17804
mark,-1,189671567,42405
mark,-1,192797594,16886
mark,-1,195936134,33922
mark,-1,199048871,33687
mark,-1,202107323,42573
mark,-1,205311938,20327
mark,-1,208456878,26608
mark,-1,211650149,42454
mark,-1,214696048,41020
mark,-1,217795433,29897
mark,-1,220859348,49891
mark,-1,223950058,53317
mark,-1,226990730,25119
mark,-1,230104995,44713
mark,-1,233300325,32800
mark,-1,236366994,35784
mark,-1,239487513,21150
mark,-1,242607968,22381
mark,-1,245745476,41948
mark,-1,248845152,35606
mark,-1,251955631,19491
mark,-1,255095052,34883
mark,-1,258217085,18213
mark,-1,261355021,42296
mark,-1,264481742,16840
mark,-1,267620379,33319
mark,-1,270733255,33226
mark,-1,273793326,42801
mark,-1,276920084,19576
mark,-1,280064880,26618
mark,-1,283259483,43058
mark,-1,286309915,34003
mark,-1,289425368,35502
mark,-1,292557011,25075
mark,-1,295694219,34642
mark,-1,298819225,24278
mark,-1,301955427,32991
mark,-1,305067069,18525
mark,-1,308206950,41659
mark,-1,311320088,11255
mark,-1,314466105,35032
mark,-1,317579357,34366
mark,-1,320645083,50465
mark,-1,323742753,23056
mark,-1,326882751,34625
mark,-1,329993953,33872
mark,-1,333130039,30069
mark,-1,336265043,14595
mark,-1,339404291,35502
mark,-1,342523513,33486
mark,-1,345582413,52105
mark,-1,348673819,32209
mark,-1,351796456,30149
mark,-1,354928822,14381
mark,-1,358064665,34360
mark,-1,361183373,32998
mark,-1,364318081,23974
mark,-1,367446778,31380
mark,-1,370585161,30169
mark,-1,373718889,28713
mark,-1,376854979,14271
mark,-1,379994021,26521
mark,-1,383112902,40660
mark,-1,386168135,51213
mark,-1,389249946,37983
mark,-1,392379228,15151
mark,-1,395521153,27078
mark,-1,398638334,39556
mark,-1,401693774,48410
mark,-1,404878949,27894
mark,-1,407983503,40725
mark,-1,411041453,47346
mark,-1,414141904,26912
mark,-1,417325305,55214
mark,-1,420364322,48789
mark,-1,423412663,27982
mark,-1,426607198,27427
mark,-1,429735040,30122
mark,-1,432868952,14126
mark,-1,436012662,34309
mark,-1,439127600,32967
mark,-1,442187446,53810
mark,-1,445277984,32261
mark,-1,448408606,21042
mark,-1,451553567,26718
mark,-1,454678801,40287
mark,-1,457736280,50150
mark,-1,460841372,27628
mark,-1,463954570,40329
mark,-1,467012538,65294
mark,-1,470153990,28063
mark,-1,473334776,55114
mark,-1,476369983,34399
mark,-1,479485042,45374
mark,-1,482541083,15116
mark,-1,485733687,31787
mark,-1,488791266,43102
mark,-1,491917533,38070
mark,-1,495034121,42185
mark,-1,498132752,24129
mark,-1,501332177,24292
mark,-1,504456145,23249
mark,-1,507579820,21857
mark,-1,510699156,23168
mark,-1,513818296,14711
mark,-1,516958854,35050
mark,-1,520073552,33932
mark,-1,523138068,50514
mark,-1,526228969,23092
mark,-1,529364089,34186
mark,-1,532554132,34301
mark,-1,535690540,30805
mark,-1,538824163,14538
mark,-1,541959631,34370
mark,-1,545075074,33055
mark,-1,548206646,23864
mark,-1,551332506,32101
mark,-1,554470369,29346
mark,-1,557600810,29122
mark,-1,560730733,14117
mark,-1,563866459,26079
mark,-1,566983041,41072
mark,-1,570038756,49204
mark,-1,573123385,37255
mark,-1,576252233,14351
mark,-1,579391916,27148
mark,-1,582508404,39989
mark,-1,585564403,48149
mark,-1,588671083,27018
mark,-1,591775408,41109
mark,-1,594832468,50184
mark,-1,597935596,27546
mark,-1,601044676,55392
mark,-1,604081314,49391
mark,-1,607125546,38552
mark,-1,610258638,34522
mark,-1,613527036,17292
mark,-1,616671844,35964
mark,-1,619794494,38747
mark,-1,622857125,36140
mark,-1,625971099,27089
mark,-1,629085935,43033
mark,-1,632193081,32785
mark,-1,635256904,51855
mark,-1,638349828,30615
mark,-1,641470793,16179
mark,-1,644612688,34278
mark,-1,647727403,33952
mark,-1,650864950,23432
mark,-1,653986916,33031
mark,-1,657125219,31536
mark,-1,660264177,31097
mark,-1,663400252,14417
mark,-1,666538610,26288
mark,-1,669654515,41780
mark,-1,672715904,44541
mark,-1,675821929,35456
mark,-1,678943213,26801
mark,-1,682059500,52781
mark,-1,685124715,22395
mark,-1,688250088,32591
mark,-1,691362094,44707
mark,-1,694470816,15643
mark,-1,697608936,26585
mark,-1,700728234,40243
mark,-1,703785787,49781
mark,-1,706895011,27359
mark,-1,709999581,41224
mark,-1,713058945,50160
mark,-1,716163133,27555
mark,-1,719274340,55125
mark,-1,722316245,66215
mark,-1,725434907,37925
mark,-1,728566901,18509
mark,-1,731764164,16938
mark,-1,734909397,35563
mark,-1,738027978,38749
mark,-1,741092655,35692
mark,-1,744210335,27551
mark,-1,747326954,42986
mark,-1,750431542,32383
mark,-1,753489694,51817
mark,-1,756581997,31634
mark,-1,759706173,15744
mark,-1,762849124,33862
mark,-1,765960893,33505
mark,-1,769094792,22911
mark,-1,772222051,32957
mark,-1,775359371,31715
mark,-1,778498817,30627
mark,-1,781630659,14551
mark,-1,784769307,26257
mark,-1,787887019,42123
mark,-1,790949331,45211
mark,-1,794052205,35583
mark,-1,797175070,26897
mark,-1,800295038,52788
mark,-1,803338720,42022
mark,-1,806443805,32509
mark,-1,809573404,31113
mark,-1,812703640,14608
mark,-1,815842270,34172
mark,-1,818959559,34806
mark,-1,822088807,24896
mark,-1,825217630,32224
mark,-1,828352500,14802
mark,-1,831493449,34219
mark,-1,834608087,34382
mark,-1,837740306,38938
mark,-1,840820059,29254
mark,-1,843938698,27060
mark,-1,847057902,27134
mark,-1,850172304,17159
mark,-1,853308670,37003
mark,-1,856426060,29342
mark,-1,865399316,61227
