event_type,gc_thread,start_ns,time_ns
mark,-1,4754360,2597942
mark,-1,12189933,3101090
mark,-1,21565908,4795615
mark,-1,34302648,2659175
mark,-1,52890487,2249456
mark,-1,85866557,2146556
mark,-1,122422313,3209539
mark,-1,174515164,1720846
mark,-1,207421322,2085252
mark,-1,278743817,1781520
mark,-1,324985744,2429373
mark,-1,426180026,2233618
mark,-1,492197595,1965350
mark,-1,557861101,2391536
mark,-1,623951643,1825125
mark,-1,689254423,1887687
mark,-1,754580120,1852273
mark,-1,819796498,2174874
mark,-1,885262130,2867290
mark,-1,951224741,4201824
mark,-1,1094972760,2045170
mark,-1,1187452150,4173506
mark,-1,1281551605,2143543
mark,-1,1374421521,4332792
mark,-1,1468662434,1889203
mark,-1,1561510181,4509529
mark,-1,1655635346,2181658
mark,-1,1748885288,3003296
mark,-1,1842280351,1838890
mark,-1,1935040865,2262594
mark,-1,2027721317,1851622
mark,-1,2119987630,2396288
mark,-1,2213054334,1696285
mark,-1,2305291691,2008791
mark,-1,2398037372,1982179
mark,-1,2490999565,2399700
mark,-1,2584008953,1878348
mark,-1,2676845444,2021820
mark,-1,2769775845,1955637
mark,-1,2862383571,2209036
mark,-1,2955480142,2000572
mark,-1,3047998568,2334251
mark,-1,3141125941,2021247
mark,-1,3233878626,2186267
mark,-1,3326686422,2393616
mark,-1,3419825095,1879500
mark,-1,3512357036,2544310
mark,-1,3605401141,2042148
mark,-1,3698210736,3207617
mark,-1,3791555269,2386421
mark,-1,3884650558,2826207
mark,-1,3977551123,2282535
mark,-1,4070441227,2494447
mark,-1,4163528694,1996796
mark,-1,4255891031,3953637
mark,-1,4349919076,2166635
mark,-1,4442790233,4203514
mark,-1,4536839872,1911814
mark,-1,4629558307,4459564
mark,-1,4723643214,2137704
mark,-1,4816741176,1621544
mark,-1,4909207430,1734024
mark,-1,5001448912,2075159
sweep,-1,5003536010,354440
mark,-1,5094299965,1968877
mark,-1,5186755583,2267220
mark,-1,5279564182,1624551
mark,-1,5371342690,2208904
mark,-1,5464154426,1859829
mark,-1,5556819840,2332959
mark,-1,5649728536,2234060
mark,-1,5742843578,2411254
mark,-1,5835845918,1858448
mark,-1,5928328493,2137269
mark,-1,6021369783,1905843
mark,-1,6113669974,2257833
mark,-1,6206673030,2240133
mark,-1,6299535211,2473556
mark,-1,6392575948,2321724
mark,-1,6485308834,2462045
mark,-1,6578272501,2713567
mark,-1,6671142633,1955020
mark,-1,6764061637,2805713
mark,-1,6856854969,2253551
mark,-1,6950051480,2994994
mark,-1,7043497079,1934400
mark,-1,7136151220,2705783
mark,-1,7229656382,2102409
mark,-1,7322576745,4330887
mark,-1,7417067962,2080268
mark,-1,7509860004,4334313
mark,-1,7603787531,2064584
mark,-1,7696605467,4286769
mark,-1,7790317371,2180525
mark,-1,7883334497,1657661
mark,-1,7975775070,1921064
mark,-1,8068151388,2154243
sweep,-1,8070319127,353082
mark,-1,8161087196,1858210
mark,-1,8253418629,2372056
mark,-1,8346493166,1802162
mark,-1,8438738856,2103049
mark,-1,8531367081,2248605
mark,-1,8624176907,2176132
mark,-1,8716710277,2145512
mark,-1,8809397358,2153016
mark,-1,8901922553,1890775
mark,-1,8994156595,2172565
mark,-1,9086925544,2091939
mark,-1,9179474391,2069750
mark,-1,9272398164,1884556
mark,-1,9365090200,2092449
mark,-1,9457717659,2455461
mark,-1,9550738362,2519386
mark,-1,9643647056,2761866
mark,-1,9736720576,2384272
mark,-1,9829845735,2410471
mark,-1,9922236436,2165408
mark,-1,10015205706,3017106
mark,-1,10108399267,1996631
mark,-1,10200919343,2264521
mark,-1,10293703221,1897258
mark,-1,10386080333,3813224
mark,-1,10479712787,2133242
mark,-1,10572357160,3980899
mark,-1,10665848755,1846893
mark,-1,10758353252,4292294
mark,-1,10851902325,1911252
mark,-1,10944239696,1586165
mark,-1,11036552272,2085068
mark,-1,11128799968,1911851
sweep,-1,11130721867,354727
mark,-1,11221494340,1723199
mark,-1,11313855505,1952793
mark,-1,11406731163,2355018
