event_type,gc_thread,start_ns,time_ns
mark,-1,2778385,781975
mark,-1,9024710,1507914
mark,-1,27082510,1164340
mark,-1,62300064,1088247
mark,-1,92909312,1487791
mark,-1,122506834,793118
mark,-1,156846210,419419
mark,-1,192463936,655914
mark,-1,226940313,736969
mark,-1,261941351,682360
mark,-1,296372954,469907
mark,-1,331093668,602046
mark,-1,366413651,833715
mark,-1,401408825,558072
mark,-1,436385613,667272
mark,-1,471493109,702431
mark,-1,506579470,745754
mark,-1,541515726,703137
mark,-1,576323174,681569
mark,-1,611204155,751690
mark,-1,646504792,769311
mark,-1,681324071,650990
mark,-1,716103713,1391152
mark,-1,745552876,935535
mark,-1,777176993,1009721
mark,-1,809538590,1065746
mark,-1,840307424,1000067
mark,-1,870174925,1218131
mark,-1,901559512,1513387
mark,-1,933194168,580908
mark,-1,967821193,783495
mark,-1,1003244653,590577
mark,-1,1038386478,688902
mark,-1,1072989922,422231
mark,-1,1108636525,628781
mark,-1,1143425748,561967
mark,-1,1178394775,781774
mark,-1,1213153635,471519
mark,-1,1248790988,608512
mark,-1,1283804468,621335
mark,-1,1318247707,637005
mark,-1,1352937668,606596
mark,-1,1387636487,667663
mark,-1,1422745986,648316
mark,-1,1457495362,599222
mark,-1,1492378382,714512
mark,-1,1527315884,622849
mark,-1,1562160524,655377
mark,-1,1597029052,616920
mark,-1,1631339556,432727
mark,-1,1666860688,723566
mark,-1,1702147665,641157
mark,-1,1736748236,819956
mark,-1,1771598423,449482
mark,-1,1807611960,682188
mark,-1,1842525203,738813
mark,-1,1877587168,677289
mark,-1,1913136020,841634
mark,-1,1947753835,747965
mark,-1,1982504717,424239
mark,-1,2018377228,809681
mark,-1,2053156037,574032
mark,-1,2088167019,644934
mark,-1,2122775461,722749
mark,-1,2157346390,624088
mark,-1,2192318728,715502
mark,-1,2227135602,631053
mark,-1,2261597347,701169
mark,-1,2295704087,421798
mark,-1,2331059310,691551
mark,-1,2366163710,589510
mark,-1,2401053479,733128
mark,-1,2435862148,680662
mark,-1,2470493769,673507
mark,-1,2505250879,643789
mark,-1,2540040507,713331
mark,-1,2575228753,497320
mark,-1,2610387924,657003
mark,-1,2645067629,621669
mark,-1,2679865050,883931
mark,-1,2715025975,1181486
mark,-1,2744839968,938168
mark,-1,2776670503,1051726
mark,-1,2806379191,1021890
mark,-1,2833605422,1118059
mark,-1,2864991670,1571433
mark,-1,2897269890,625660
mark,-1,2931844628,434313
mark,-1,2966791620,564617
mark,-1,3001711577,348734
mark,-1,3037350609,758866
mark,-1,3072392407,798927
mark,-1,3107480385,580554
mark,-1,3142545445,642474
mark,-1,3177381543,670006
mark,-1,3211920642,567418
mark,-1,3246746815,651262
mark,-1,3281948921,689104
mark,-1,3317072992,714525
mark,-1,3352257574,615287
mark,-1,3386950265,607896
mark,-1,3421408620,653800
mark,-1,3455918916,608743
mark,-1,3491364815,658640
mark,-1,3526616013,693497
mark,-1,3561648833,549574
mark,-1,3597243769,718194
mark,-1,3632177734,675968
mark,-1,3666685702,211969
mark,-1,3702511359,651791
mark,-1,3737304201,571235
