event_type,gc_thread,start_ns,time_ns
mark,-1,25571602,27262
mark,-1,37410630,13670
mark,-1,48506290,11077
mark,-1,59357908,10871
mark,-1,70093509,9895
mark,-1,80818070,10325
mark,-1,91553574,9949
mark,-1,102292063,9746
mark,-1,112992131,9414
mark,-1,123719577,8831
mark,-1,134460812,8706
mark,-1,145170517,8799
mark,-1,155917901,10479
mark,-1,166644986,10125
mark,-1,177353505,10296
mark,-1,188072979,8853
mark,-1,198817634,8883
mark,-1,209568922,8975
mark,-1,220289912,8604
mark,-1,231031179,8521
mark,-1,241796237,9199
mark,-1,252535401,9067
mark,-1,263251097,8537
mark,-1,273996181,8960
mark,-1,284751168,8717
mark,-1,295484612,8406
mark,-1,306227664,9470
mark,-1,316998635,8733
mark,-1,327765842,9233
mark,-1,338509603,8942
mark,-1,349224711,8512
