event_type,gc_thread,start_ns,time_ns
mark,-1,5416211,57858
mark,-1,7704518,42090
mark,-1,9865229,32151
mark,-1,11985851,32148
mark,-1,14146323,33535
mark,-1,15789952,20978
mark,-1,17180374,21809
mark,-1,18571038,21146
mark,-1,19964470,21181
mark,-1,21353588,20697
mark,-1,22767593,24106
mark,-1,24176478,21872
mark,-1,25562001,23795
sweep,-1,25641824,3039
mark,-1,26551675,16596
mark,-1,27461791,15323
mark,-1,28376315,16278
mark,-1,29287975,16623
mark,-1,30203351,15900
mark,-1,31116649,18282
mark,-1,32032195,15184
mark,-1,32944726,14795
mark,-1,33876643,15837
mark,-1,34786103,14509
mark,-1,35680435,13594
mark,-1,36348172,12326
mark,-1,37015926,14597
mark,-1,37712796,12768
mark,-1,38425884,12695
mark,-1,39123488,13800
mark,-1,39793701,12639
mark,-1,40461680,12655
mark,-1,41130612,13276
mark,-1,41830062,13133
mark,-1,42531083,13800
mark,-1,43218614,12593
mark,-1,43887120,12470
mark,-1,44554884,13622
mark,-1,45223719,12321
mark,-1,45923777,14385
mark,-1,46627494,12892
mark,-1,47307862,12490
mark,-1,47989751,12419
mark,-1,48655296,13539
mark,-1,49324954,13333
mark,-1,50033979,13293
mark,-1,50738457,12930
mark,-1,51404527,12449
mark,-1,52068288,11269
mark,-1,52733368,12950
mark,-1,53401272,12446
mark,-1,54070848,12823
mark,-1,54736127,12814
mark,-1,55399903,11959
mark,-1,56069047,11933
mark,-1,56737899,12085
mark,-1,57401686,12225
mark,-1,58086497,12963
mark,-1,58750583,11306
mark,-1,59417173,12631
mark,-1,60086300,11841
mark,-1,60751821,11745
mark,-1,61417225,11993
mark,-1,62083268,13031
mark,-1,62747570,13097
mark,-1,63416416,12963
mark,-1,64084031,11984
mark,-1,64745971,11547
mark,-1,65408814,13486
mark,-1,66079262,12795
mark,-1,66748373,12069
mark,-1,67412241,13871
mark,-1,68091447,12155
mark,-1,68752498,12020
mark,-1,69418784,13112
mark,-1,70090723,12659
mark,-1,70753592,13242
mark,-1,71419275,11437
mark,-1,72084682,12571
mark,-1,72750191,12729
mark,-1,73417542,12366
mark,-1,74084028,11897
mark,-1,74746861,12245
mark,-1,75408661,12857
mark,-1,76074903,13507
mark,-1,76740588,12471
mark,-1,77402400,11810
mark,-1,78068283,12766
mark,-1,78734099,12331
mark,-1,79401988,13031
mark,-1,80066707,11468
mark,-1,80727744,11412
mark,-1,81389627,11837
mark,-1,82057332,11388
mark,-1,82722846,12569
mark,-1,83387363,12061
mark,-1,84050001,11689
mark,-1,84710740,12160
mark,-1,85373744,12296
mark,-1,86045871,12791
mark,-1,86711899,11382
mark,-1,87374653,11622
mark,-1,88037181,10985
mark,-1,88702402,12413
mark,-1,89369953,13144
mark,-1,90041414,13158
mark,-1,90705452,11816
mark,-1,91368848,12755
mark,-1,92034175,11675
mark,-1,92700955,12533
mark,-1,93363966,12705
mark,-1,94031266,12161
mark,-1,94694697,12523
mark,-1,95358790,11938
mark,-1,96026364,11874
mark,-1,96689215,11280
mark,-1,97350018,11591
mark,-1,98014973,12017
mark,-1,98682710,12021
mark,-1,99346938,14117
mark,-1,100013109,12141
mark,-1,100675408,11247
mark,-1,101337776,11684
mark,-1,102004416,11279
mark,-1,102668550,11564
mark,-1,103331898,12495
mark,-1,103993089,12030
mark,-1,104660653,12045
mark,-1,105324916,11385
mark,-1,105993994,12083
mark,-1,106658121,11840
mark,-1,107321037,11236
mark,-1,107983114,12763
mark,-1,108647240,11974
mark,-1,109310754,12355
mark,-1,109977835,11797
mark,-1,110638244,11223
mark,-1,111301933,12960
mark,-1,111967542,11496
mark,-1,112631214,12261
mark,-1,113293470,11644
mark,-1,113958937,11422
mark,-1,114623029,13511
mark,-1,115290172,11597
mark,-1,115954116,11236
mark,-1,116614217,11791
mark,-1,117274146,11414
mark,-1,117941663,13127
mark,-1,118607322,11084
mark,-1,119270956,11680
mark,-1,119934749,13003
mark,-1,120596259,11192
mark,-1,121259389,14290
mark,-1,121935065,12124
mark,-1,122599133,11843
mark,-1,123260840,12609
mark,-1,123924593,11513
mark,-1,124586913,12377
mark,-1,125254956,12260
mark,-1,125925708,12210
mark,-1,126587048,12671
mark,-1,127251035,11634
mark,-1,127914641,12556
mark,-1,128581243,11193
mark,-1,129243134,12369
mark,-1,129908210,12500
mark,-1,130569845,12013
mark,-1,131235424,11521
mark,-1,131904336,11790
mark,-1,132566144,11844
mark,-1,133227877,12261
mark,-1,133893122,12154
mark,-1,134558111,11862
mark,-1,135224364,12016
mark,-1,135888030,11779
mark,-1,136548360,12814
mark,-1,137212370,11799
mark,-1,137881160,13182
mark,-1,138549060,12213
mark,-1,139210948,11642
mark,-1,139872193,12095
mark,-1,140535886,12629
mark,-1,141202581,12935
mark,-1,141874067,11675
mark,-1,142536056,13338
mark,-1,143198266,11056
mark,-1,143859601,11937
mark,-1,144524111,12470
mark,-1,145190392,12094
mark,-1,145857295,13044
mark,-1,146521788,11619
mark,-1,147182423,11396
mark,-1,147844493,12225
mark,-1,148509807,12090
mark,-1,149171054,13300
mark,-1,149840088,11967
mark,-1,150500954,13067
mark,-1,151167371,11825
mark,-1,151831692,12081
mark,-1,152493958,11612
mark,-1,153155274,11106
mark,-1,153822159,12606
mark,-1,154490222,12607
mark,-1,155158947,12428
mark,-1,155823216,11929
mark,-1,156483886,13052
mark,-1,157149397,11517
mark,-1,157817863,13307
mark,-1,158482389,12292
mark,-1,159144877,11494
mark,-1,159804547,12564
mark,-1,160468095,11890
mark,-1,161133804,13368
mark,-1,161803248,12511
mark,-1,162467024,11822
mark,-1,163129965,12323
mark,-1,163793729,11163
mark,-1,164459253,12102
mark,-1,165123241,12930
mark,-1,165792828,12876
mark,-1,166458820,12801
mark,-1,167122326,12357
mark,-1,167789371,12181
mark,-1,168452269,13182
mark,-1,169114710,11682
mark,-1,169781196,11761
mark,-1,170445313,11954
mark,-1,171111617,11521
mark,-1,171773657,11728
mark,-1,172433209,11787
mark,-1,173094734,10934
mark,-1,173762504,11949
mark,-1,174427238,12303
mark,-1,175091397,12729
mark,-1,175754355,11872
mark,-1,176418171,11836
mark,-1,177080903,11910
mark,-1,177749927,12133
mark,-1,178414694,11839
mark,-1,179078149,11146
mark,-1,179742231,12863
mark,-1,180406261,11913
mark,-1,181069780,11757
mark,-1,181736814,12389
mark,-1,182400364,12001
mark,-1,183064563,13114
mark,-1,183729511,11787
mark,-1,184393520,11667
mark,-1,185055635,11984
mark,-1,185721681,11879
mark,-1,186386809,12894
mark,-1,187052833,11953
mark,-1,187716703,13258
mark,-1,188380058,11924
mark,-1,189041191,11334
mark,-1,189708778,12520
mark,-1,190375769,11828
mark,-1,191039871,11530
mark,-1,191702021,12347
mark,-1,192363980,11448
mark,-1,193027054,13015
mark,-1,193695673,12004
mark,-1,194363371,11883
mark,-1,195025216,13673
mark,-1,195689168,11548
mark,-1,196354135,12773
mark,-1,197021324,11705
mark,-1,197690736,12613
mark,-1,198353821,11354
mark,-1,199017486,12667
mark,-1,199681271,12512
mark,-1,200351225,11562
mark,-1,201013834,11442
mark,-1,201686239,12868
mark,-1,202347842,12009
mark,-1,203014197,12476
mark,-1,203682097,11749
mark,-1,204342674,12135
mark,-1,205006203,12992
mark,-1,205673899,12151
mark,-1,206341694,11188
mark,-1,207007396,11707
mark,-1,207669766,11887
mark,-1,208331374,12388
mark,-1,208993390,11356
mark,-1,209661044,12544
mark,-1,210329211,12609
mark,-1,210992282,11827
mark,-1,211652730,12327
mark,-1,212314613,12041
mark,-1,212977636,12621
mark,-1,213647769,12171
mark,-1,214309528,11940
mark,-1,214972848,11731
mark,-1,215634222,10950
mark,-1,216298833,13161
mark,-1,216966785,11485
mark,-1,217632824,12622
mark,-1,218294378,11867
mark,-1,218955423,11505
mark,-1,219619018,12035
mark,-1,220283291,11563
mark,-1,220943573,13298
mark,-1,221605819,15150
mark,-1,222269387,12659
mark,-1,222935950,13607
mark,-1,223601747,11906
mark,-1,224265253,13155
mark,-1,224929236,12682
mark,-1,225593290,11225
mark,-1,226264879,12931
mark,-1,226930931,12682
mark,-1,227593214,11221
mark,-1,228257945,13512
mark,-1,228921563,11582
mark,-1,229586741,12822
mark,-1,230304399,13082
mark,-1,230999887,11645
mark,-1,231661209,11698
mark,-1,232324392,12253
mark,-1,232988697,13044
mark,-1,233657095,12150
mark,-1,234319267,11865
mark,-1,234978598,12591
mark,-1,235641377,11411
mark,-1,236308578,12193
mark,-1,236976007,11702
mark,-1,237642431,11932
mark,-1,238304383,12588
mark,-1,238967829,11193
mark,-1,239631111,12811
mark,-1,240296542,12577
mark,-1,240957626,12522
mark,-1,241625441,12602
mark,-1,242289677,11770
mark,-1,242954985,11178
mark,-1,243618735,12438
mark,-1,244279631,11143
mark,-1,244939684,12284
mark,-1,245601727,15101
mark,-1,246315226,15205
mark,-1,247010132,11930
mark,-1,247672911,11446
mark,-1,248334429,11586
mark,-1,248999084,12695
mark,-1,249671566,11675
mark,-1,250334534,12312
mark,-1,250997265,11432
mark,-1,251657736,11691
mark,-1,252323049,11717
mark,-1,252986226,12780
mark,-1,253654567,11219
mark,-1,254314905,11890
mark,-1,254980037,12637
mark,-1,255644216,12073
mark,-1,256309074,11859
mark,-1,256972775,11374
mark,-1,257638563,11808
mark,-1,258306714,12537
mark,-1,258971200,11516
mark,-1,259639171,12042
mark,-1,260302438,12299
mark,-1,260965062,12360
mark,-1,261633411,12555
mark,-1,262297060,12045
mark,-1,262963500,12144
mark,-1,263623833,12124
mark,-1,264285831,11184
mark,-1,264951937,12721
mark,-1,265621097,12196
mark,-1,266286115,13792
mark,-1,266950602,12970
mark,-1,267610385,11785
mark,-1,268272847,11781
mark,-1,268936818,11640
mark,-1,269599281,14550
mark,-1,270311303,13509
mark,-1,271003602,11590
mark,-1,271665267,11997
mark,-1,272329623,11655
mark,-1,272992859,12119
mark,-1,273660080,11622
mark,-1,274320996,11412
mark,-1,274984716,13030
mark,-1,275652227,11754
mark,-1,276313616,12027
mark,-1,276976681,12101
mark,-1,277641672,11341
mark,-1,278307203,12887
mark,-1,278974902,11564
mark,-1,279636654,12696
mark,-1,280300665,12497
mark,-1,280962281,11855
mark,-1,281630088,12637
mark,-1,282297127,11570
mark,-1,282957789,12389
mark,-1,283623395,12339
mark,-1,284285752,11546
mark,-1,284950715,11965
mark,-1,285620766,12266
mark,-1,286284615,12153
mark,-1,286944950,12397
mark,-1,287605715,11598
mark,-1,288269603,11492
mark,-1,288933876,12950
mark,-1,289598664,14393
mark,-1,290308811,13410
mark,-1,291001152,11870
mark,-1,291666242,12341
mark,-1,292333271,11965
mark,-1,292997606,11249
mark,-1,293663145,12252
mark,-1,294324115,12532
mark,-1,294989811,12313
mark,-1,295657336,11604
mark,-1,296320343,12127
mark,-1,296985879,11777
mark,-1,297655234,12158
mark,-1,298319918,12721
mark,-1,298985091,11842
mark,-1,299648781,11960
mark,-1,300310344,11968
mark,-1,300970805,12105
mark,-1,301638498,12593
mark,-1,302304835,12051
mark,-1,302965053,11758
mark,-1,303628464,12315
mark,-1,304291493,12272
mark,-1,304957823,12807
mark,-1,305624619,11663
mark,-1,306286561,10833
mark,-1,306948334,12604
mark,-1,307614171,12550
mark,-1,308280033,12878
mark,-1,308946925,11499
mark,-1,309613222,11458
mark,-1,310275315,12162
mark,-1,310938253,12487
mark,-1,311605229,11919
mark,-1,312272020,11530
mark,-1,312934973,11033
mark,-1,313595527,11202
mark,-1,314304518,12860
mark,-1,315001289,12856
mark,-1,315666785,11346
mark,-1,316328849,11878
mark,-1,316988865,12263
mark,-1,317654618,11686
mark,-1,318322452,13019
mark,-1,318987005,12083
mark,-1,319648681,11562
mark,-1,320311033,13141
mark,-1,320977173,11904
