event_type,gc_thread,start_ns,time_ns
mark,-1,3494624127,39618
mark,-1,6720532774,26065
mark,-1,9948990675,24347
mark,-1,13176227602,23662
mark,-1,16404033346,23882
mark,-1,19629017668,21740
mark,-1,22858563045,25084
mark,-1,26084585717,24090
mark,-1,29311951673,20594
mark,-1,32538499218,21121
mark,-1,35756806577,26265
mark,-1,38981381034,24777
mark,-1,42199239815,20016
mark,-1,45421700962,25167
mark,-1,48647386210,24430
mark,-1,51873908663,25662
mark,-1,55103091524,24420
mark,-1,58329973206,20828
mark,-1,61556463178,26561
mark,-1,64784957843,25907
mark,-1,68003598433,25160
mark,-1,71231208868,24934
mark,-1,74455557796,21015
mark,-1,77673278146,19773
mark,-1,80885108693,20500
mark,-1,84114296715,21698
mark,-1,87340189747,21327
mark,-1,90563468965,24374
mark,-1,93790604664,25722
mark,-1,97009604312,21062
mark,-1,100236782879,21379
mark,-1,103463673981,21730
mark,-1,106689811660,19734
mark,-1,109916987514,27067
mark,-1,113141538227,24906
mark,-1,116360059733,21226
mark,-1,119578957949,25280
mark,-1,122800354312,23119
mark,-1,126042833169,24778
mark,-1,129256526420,21372
mark,-1,132495671127,20688
mark,-1,135722366948,20702
mark,-1,138936791005,24536
mark,-1,142161603124,20446
mark,-1,145387979186,26891
mark,-1,148611415434,19827
mark,-1,151837997441,19523
