event_type,gc_thread,start_ns,time_ns
mark,-1,419652284,44063
mark,-1,591725987,31091
sweep,-1,591814998,3159
mark,-1,763234737,24008
sweep,-1,763288720,22918
mark,-1,934187388,30186
mark,-1,1104901446,32235
mark,-1,1275244773,32305
mark,-1,1445241861,26150
sweep,-1,1445301130,22181
mark,-1,1615052076,25534
sweep,-1,1615105295,2620
mark,-1,1784602146,25831
sweep,-1,1784662197,18150
mark,-1,1955292899,28488
mark,-1,2129698861,35332
mark,-1,2331371660,39339
mark,-1,2511280496,26541
sweep,-1,2511339440,22363
mark,-1,2711113392,36590
mark,-1,2912297722,34279
mark,-1,3113216453,33458
