event_type,gc_thread,start_ns,time_ns
mark,-1,1503709346,1604149
mark,-1,2742114114,1446555
mark,-1,3975662406,1532945
mark,-1,5206203423,1388406
mark,-1,6440968617,1588368
mark,-1,7672263282,1535119
mark,-1,8901433712,1496045
mark,-1,10130987546,1425533
mark,-1,11363569669,1483966
mark,-1,12597973329,1352888
mark,-1,13828210047,1310193
mark,-1,15059193175,1322801
mark,-1,16289584813,1295038
mark,-1,17522860349,1454656
mark,-1,18752547204,1491556
mark,-1,19984743105,1411990
mark,-1,21217375865,1521604
mark,-1,22448963952,1548365
mark,-1,23679065346,1499578
mark,-1,24907903315,1531400
mark,-1,26141635591,1580490
mark,-1,27374230114,1477828
mark,-1,28608025210,1373175
mark,-1,29843473870,1359025
mark,-1,31078229235,1281649
mark,-1,32310903522,1314236
mark,-1,33539827442,1473170
mark,-1,34770073791,1467507
mark,-1,36002410171,1473988
mark,-1,37231401956,1475575
mark,-1,38464396401,1308087
mark,-1,39698090358,1308300
mark,-1,40929223370,1088753
mark,-1,42163142752,1210095
mark,-1,43396212825,1299739
mark,-1,44624629524,1310705
mark,-1,45857387664,1225263
mark,-1,47090497285,1207576
mark,-1,48321678412,1320207
mark,-1,49553133894,1242485
mark,-1,50787095640,1350998
mark,-1,52014902628,1428438
mark,-1,53249593113,1462170
mark,-1,54480996321,1404203
mark,-1,55715199457,1387189
mark,-1,56946206492,1368171
mark,-1,58182312524,1379061
mark,-1,59412724774,1307690
mark,-1,60645730390,1435602
mark,-1,61870833659,1430767
mark,-1,63103674855,1413382
mark,-1,64335102853,1304649
mark,-1,65567825944,1334243
mark,-1,66800956682,1153487
mark,-1,68030941571,1268576
mark,-1,69260057222,1261608
mark,-1,70492245933,1412686
mark,-1,71722884986,1404760
mark,-1,72955348090,1400124
mark,-1,74187068247,1376926
mark,-1,75422305283,1311092
mark,-1,76654917028,1246827
mark,-1,77884810540,1180464
mark,-1,79118290874,1235454
mark,-1,80351648361,1280484
mark,-1,81597078197,1416877
mark,-1,82829974094,1374121
mark,-1,84063001540,1314190
mark,-1,85293419396,1266072
mark,-1,86523803932,1326501
mark,-1,87753355716,1291283
mark,-1,88984119118,1384591
mark,-1,90216614952,1321758
mark,-1,91449978932,1368075
mark,-1,92684072799,1212118
mark,-1,93916630232,1270623
mark,-1,95147091371,1265201
mark,-1,96379131644,1229911
mark,-1,97609233900,1284738
mark,-1,98841814364,1283169
mark,-1,100074110077,1275655
mark,-1,101302563472,1255962
mark,-1,102532494053,1250397
mark,-1,103766325308,1288620
mark,-1,104994770257,1285505
mark,-1,106223851829,1278640
mark,-1,107458939144,1296082
mark,-1,108689688371,1340594
mark,-1,109920952099,1290664
mark,-1,111152698599,1302196
mark,-1,112383696258,1298619
mark,-1,113615730546,1307054
mark,-1,114843623401,1317347
mark,-1,116078996173,1233007
mark,-1,117308873544,1340898
mark,-1,118542368067,1259955
mark,-1,119772656139,1238931
mark,-1,121003233818,1238729
mark,-1,122234523551,1198647
mark,-1,123466024254,1198281
mark,-1,124696479394,1211257
mark,-1,125929520652,1149253
mark,-1,127163101916,1196171
mark,-1,128394511799,1208540
mark,-1,129627498044,1203236
mark,-1,130859306388,1232692
mark,-1,132092912696,1246668
mark,-1,133324446096,1175947
mark,-1,134556731486,1206444
mark,-1,135789733169,1136700
mark,-1,137023621524,1127280
mark,-1,138253363806,1237572
sweep,-1,138254616118,21670
mark,-1,139485007598,1171082
mark,-1,140716014801,1264434
mark,-1,141946538549,1233156
mark,-1,143179427695,1254852
mark,-1,144410848997,1359618
mark,-1,145641026691,1291005
mark,-1,146872115749,1395206
mark,-1,148104207002,1382946
mark,-1,149336401934,1342231
mark,-1,150569192957,1393362
mark,-1,151800210876,1438947
mark,-1,153032241013,1410018
sweep,-1,153033673305,5166
mark,-1,154264914635,1313764
mark,-1,155496940856,1296383
mark,-1,156727894227,1277962
mark,-1,157959556784,1231950
mark,-1,159189531675,1242533
mark,-1,160421050656,1315762
mark,-1,161651772072,1382178
mark,-1,162886013073,1303902
mark,-1,164120602043,1207356
mark,-1,165354567985,1246610
mark,-1,166586701434,1212972
mark,-1,167820531925,1270108
mark,-1,169053114488,1251012
mark,-1,170286369219,1162194
mark,-1,171518935417,1231724
mark,-1,172752157248,1260282
mark,-1,173984922818,1181682
mark,-1,175217787744,1253201
mark,-1,176448049109,1314639
mark,-1,177679699082,1362913
mark,-1,178913040649,1313490
mark,-1,180143755112,1395815
mark,-1,181374082869,1411630
mark,-1,182604692289,1537819
mark,-1,183834653640,1493567
mark,-1,185063890511,1528293
mark,-1,186294460496,1470256
mark,-1,187527852958,1390796
mark,-1,188758125032,1432483
mark,-1,189991438610,1405197
mark,-1,191225431627,1391674
mark,-1,192459121336,1371004
mark,-1,193690063265,1472091
mark,-1,194920450704,1468518
mark,-1,196153473097,1527860
mark,-1,197385974450,1536193
mark,-1,198618266335,1409926
mark,-1,199850155234,1440655
mark,-1,201079994373,1375323
mark,-1,202314730242,1298792
mark,-1,203546598103,1264472
mark,-1,204778217503,1255548
mark,-1,206008931280,1232747
mark,-1,207242526267,1239573
mark,-1,208473083719,1252400
mark,-1,209700782907,1463975
mark,-1,210929918864,1515063
mark,-1,212159631180,1447884
mark,-1,213392672238,1363479
mark,-1,214625901363,1415592
mark,-1,215858567048,1427578
mark,-1,217092426347,1443299
