event_type,gc_thread,start_ns,time_ns
mark,-1,4815905,2260077
mark,-1,10813320,3912471
mark,-1,20589056,7756280
sweep,-1,28409596,55238
mark,-1,35525752,2200969
mark,-1,53155328,2473459
mark,-1,86927610,2463392
mark,-1,124378092,3498066
mark,-1,176761825,2289579
mark,-1,209746652,3131410
mark,-1,282443326,2422955
mark,-1,328732134,2311815
mark,-1,430259477,2400147
mark,-1,495397686,2354954
mark,-1,560311784,2355329
mark,-1,625098214,2341390
mark,-1,689795981,2588740
mark,-1,754691688,2540826
mark,-1,819381140,3451019
mark,-1,962818458,2250498
mark,-1,1053975991,2925954
mark,-1,1145434327,2327781
mark,-1,1236569698,3428141
mark,-1,1328260112,2252956
mark,-1,1419313859,2855572
mark,-1,1510753118,2306871
mark,-1,1601584485,6737793
mark,-1,1805021850,2335538
mark,-1,1933869600,2355721
mark,-1,2062766713,2344571
mark,-1,2191780693,2414811
mark,-1,2320793655,2575233
mark,-1,2450217265,2944173
mark,-1,2579931062,6093477
mark,-1,2711689705,2090081
mark,-1,2840329612,2362927
mark,-1,2969236566,2222581
mark,-1,3097954691,2405288
mark,-1,3226850461,2612842
mark,-1,3355748109,2973458
mark,-1,3485083803,2201807
sweep,-1,3487287308,191016
mark,-1,3614620013,2499911
mark,-1,3743941119,2376277
mark,-1,3873317443,2435153
mark,-1,4002616468,2586854
mark,-1,4132064476,3075302
mark,-1,4262030209,6901493
mark,-1,4548713179,6724187
mark,-1,4735331035,8529214
mark,-1,4923652382,2382406
mark,-1,5106520662,2368745
mark,-1,5289804904,2407160
mark,-1,5472712310,2403619
mark,-1,5655716544,2441105
mark,-1,5838985006,2422962
mark,-1,6021633083,2441361
mark,-1,6204612330,2332089
mark,-1,6387561555,2421240
mark,-1,6570351528,2394732
mark,-1,6753370201,2249680
mark,-1,6935787532,2407235
mark,-1,7118439352,2595517
mark,-1,7301449956,2612834
mark,-1,7484080493,2486580
mark,-1,7666853259,3530786
mark,-1,7850470962,3208204
mark,-1,8033378191,3154098
mark,-1,8216916920,6441663
mark,-1,8402758788,3742555
mark,-1,8587490115,2385833
mark,-1,8770587124,2308330
mark,-1,8953926913,2381789
mark,-1,9137125515,2424650
mark,-1,9320370756,2288997
mark,-1,9503863218,2442507
mark,-1,9687001080,2402900
mark,-1,9870506646,2350648
mark,-1,10053758621,2237794
mark,-1,10236713886,2339015
mark,-1,10420150831,2501929
mark,-1,10603394840,2412883
mark,-1,10786500510,2670549
mark,-1,10970102627,2494131
mark,-1,11153130796,2459159
mark,-1,11336406797,3632970
mark,-1,11520622875,3376296
mark,-1,11704476378,3219548
mark,-1,11888513165,6217253
mark,-1,12074705479,3910376
mark,-1,12259315692,2271298
mark,-1,12442187703,2526398
mark,-1,12625724540,2370003
mark,-1,12808742366,2318753
mark,-1,12991736878,2381765
mark,-1,13174982267,2402877
mark,-1,13357770110,2178806
mark,-1,13540642566,2484815
mark,-1,13723816125,2399840
mark,-1,13906976847,2453348
mark,-1,14090315718,2327026
mark,-1,14273270388,2330103
mark,-1,14456183319,2607556
mark,-1,14639486791,2546503
mark,-1,14822471639,2609725
mark,-1,15005935905,3615206
mark,-1,15189875986,3336764
mark,-1,15373417293,3175070
mark,-1,15557295837,6587946
mark,-1,15743697446,3935473
mark,-1,15927895773,2338522
mark,-1,16110632446,2306106
mark,-1,16293508438,2458762
mark,-1,16476334914,2365622
mark,-1,16659301678,2446853
mark,-1,16842013898,2497932
mark,-1,17024513577,2517399
mark,-1,17207408881,2457979
mark,-1,17390102408,2401986
mark,-1,17572489934,2312498
mark,-1,17755118692,2285723
mark,-1,17937434162,2348116
mark,-1,18119951242,2570264
mark,-1,18303392658,2558842
mark,-1,18486479959,2404482
mark,-1,18669642610,3636314
mark,-1,18853989086,3599447
mark,-1,19038034082,3015916
mark,-1,19221868285,6776002
mark,-1,19408669042,4134911
mark,-1,19593553076,2251607
mark,-1,19776347025,2470243
mark,-1,19959764069,2417749
mark,-1,20142819730,2310093
mark,-1,20325824224,2471671
mark,-1,20509412602,2460416
mark,-1,20692340252,2484315
mark,-1,20875555147,2481406
mark,-1,21058722401,2346252
mark,-1,21241527045,2327977
mark,-1,21424793981,2419153
mark,-1,21607695987,2394365
mark,-1,21790740667,2627024
mark,-1,21974336503,2600835
mark,-1,22157360843,2547666
mark,-1,22340990167,3727999
mark,-1,22524828062,3387448
mark,-1,22708323838,3233983
mark,-1,22892380718,6556057
mark,-1,23078876472,3913086
mark,-1,23263408967,2280370
mark,-1,23446160730,2454613
mark,-1,23629396869,2404218
mark,-1,23812425329,2213899
mark,-1,23995362421,2391266
mark,-1,24178691017,2350662
mark,-1,24361308972,2386840
mark,-1,24544794741,2531240
mark,-1,24727855810,2203131
mark,-1,24910525166,2377154
mark,-1,25093603722,2399332
mark,-1,25276573708,2474768
mark,-1,25459747793,2636302
mark,-1,25643008364,2509455
mark,-1,25825837996,2508115
mark,-1,26008939766,3524902
mark,-1,26193020273,3523300
mark,-1,26376613237,3071795
mark,-1,26559970864,6668013
mark,-1,26746265512,3838869
mark,-1,26930435394,2176612
mark,-1,27112749311,2306352
mark,-1,27295944283,2464471
mark,-1,27488048082,2615119
mark,-1,27672902914,2556169
mark,-1,27855823617,2436454
mark,-1,28038407783,2332594
mark,-1,28221056733,2390811
mark,-1,28403681930,2390476
mark,-1,28586505258,2360250
mark,-1,28769349391,2501257
mark,-1,28951978781,2490538
mark,-1,29134602358,2557754
mark,-1,29317471498,2412445
mark,-1,29500089369,2547840
mark,-1,29683561529,3518699
mark,-1,29867758116,3319825
mark,-1,30051604047,3119685
mark,-1,30235826588,6438499
mark,-1,30422274997,3919303
mark,-1,30606840107,2353615
mark,-1,30789800822,2423734
mark,-1,30973139659,2393178
mark,-1,31156187985,2444485
mark,-1,31339534026,2376203
mark,-1,31522974366,2509965
mark,-1,31705933699,2418878
mark,-1,31889206923,2434050
mark,-1,32072447083,2379774
mark,-1,32255507420,2463252
mark,-1,32438728253,2440985
mark,-1,32621762344,2469401
mark,-1,32804693033,2490774
mark,-1,32987682075,2507167
mark,-1,33170240642,2633968
mark,-1,33353421147,3693732
mark,-1,33537318504,3402438
mark,-1,33720625417,3140588
mark,-1,33904250278,6565303
mark,-1,34090337836,3889273
mark,-1,34274739863,2253070
mark,-1,34457268394,2508855
mark,-1,34640280187,2370454
mark,-1,34823112375,2456020
mark,-1,35005998838,2330055
mark,-1,35189030359,2407129
mark,-1,35371775061,2287532
mark,-1,35554480877,2340632
mark,-1,35737177810,2448122
mark,-1,35919921900,2338716
mark,-1,36102752343,2394193
mark,-1,36285538970,2448389
sweep,-1,36288007403,7269
mark,-1,36468318875,2692440
mark,-1,36651703468,2623251
mark,-1,36834376146,2444928
mark,-1,37017166733,3768574
mark,-1,37201063857,3332719
mark,-1,37384472544,2929918
mark,-1,37567793602,6076192
mark,-1,37753349587,3985487
mark,-1,37937528919,2311303
mark,-1,38119784001,2188972
mark,-1,38302371081,2179847
mark,-1,38484697228,2478196
mark,-1,38667209141,2386408
mark,-1,38850095689,2411736
mark,-1,39032328775,2446519
mark,-1,39214924307,2343148
mark,-1,39397697399,2234210
mark,-1,39579910389,2294625
mark,-1,39762638814,2196454
mark,-1,39944885346,2530621
mark,-1,40127635638,2561037
mark,-1,40310598161,2582526
mark,-1,40493100467,2516512
mark,-1,40676135319,3448274
mark,-1,40859405470,3392143
mark,-1,41042502634,3074313
mark,-1,41226224029,6549654
mark,-1,41412965355,3993762
mark,-1,41597721131,2386310
mark,-1,41780845177,2313940
mark,-1,41964083062,2280764
mark,-1,42147095402,2286924
mark,-1,42330289240,2472323
