event_type,gc_thread,start_ns,time_ns
mark,-1,9911433,99308
mark,-1,15935412,62846
mark,-1,20062756,70820
mark,-1,24194379,68308
mark,-1,27325368,42582
mark,-1,30069938,42866
mark,-1,32816523,41040
mark,-1,35423225,30421
mark,-1,37338149,30437
mark,-1,39320262,30067
mark,-1,41235856,29142
mark,-1,43157860,29795
mark,-1,45074416,28821
mark,-1,46997540,29499
mark,-1,48926106,29458
mark,-1,50850796,29944
mark,-1,52764189,28974
mark,-1,54682574,30954
mark,-1,56599388,28893
mark,-1,58517124,29081
mark,-1,60448864,28741
mark,-1,62365870,28956
mark,-1,64279339,28280
mark,-1,66201303,29448
mark,-1,68116005,29147
mark,-1,70045663,28734
mark,-1,71958133,29078
mark,-1,73874475,28778
mark,-1,75789676,28777
mark,-1,77698614,28441
mark,-1,79689031,29144
mark,-1,81602458,28453
mark,-1,83519427,28392
mark,-1,85431163,27978
mark,-1,87345464,27863
mark,-1,89258495,27743
mark,-1,91174314,27940
mark,-1,93084959,27899
mark,-1,95001237,27912
mark,-1,96913534,27362
mark,-1,98869116,44783
mark,-1,100806142,27886
mark,-1,102721174,29044
mark,-1,104637629,27953
mark,-1,106552607,28273
mark,-1,108466121,28015
mark,-1,110379062,27855
mark,-1,112291334,27944
mark,-1,114203690,27834
mark,-1,116117437,27707
mark,-1,118030610,27658
mark,-1,119945016,28148
mark,-1,121859034,28301
mark,-1,123776034,29006
mark,-1,125688699,29126
mark,-1,127604169,28477
mark,-1,129513863,28614
mark,-1,131433685,28591
mark,-1,133343382,28490
mark,-1,135261839,28562
mark,-1,137172709,28769
mark,-1,139091969,28935
mark,-1,141004600,28893
mark,-1,142918037,29045
mark,-1,144829799,28755
mark,-1,146750523,28850
mark,-1,148663970,28689
mark,-1,150577663,28537
mark,-1,152487171,28751
mark,-1,154406003,28664
mark,-1,156318347,28251
mark,-1,158238798,28356
mark,-1,160147800,28828
mark,-1,162069891,28750
mark,-1,163983173,28951
mark,-1,165897113,28965
mark,-1,167808193,28447
mark,-1,169724255,28632
mark,-1,171717843,28858
mark,-1,173629082,28164
mark,-1,175542917,28734
mark,-1,177460056,27914
mark,-1,179374044,28299
mark,-1,181291507,28499
mark,-1,183206746,28656
mark,-1,185122173,28433
mark,-1,187037281,28441
mark,-1,188949119,28603
mark,-1,190862895,28608
mark,-1,192779868,28748
mark,-1,194697577,28628
mark,-1,196608611,28156
mark,-1,198523536,28622
mark,-1,200437836,28372
mark,-1,202352330,28259
mark,-1,204267210,28139
mark,-1,206179898,28653
mark,-1,208096497,28614
mark,-1,210011896,28737
mark,-1,211924226,28623
mark,-1,213836695,28535
mark,-1,215752514,28761
mark,-1,217666016,28125
mark,-1,219581558,27986
mark,-1,221491189,28418
mark,-1,223409352,28446
mark,-1,225318886,27909
mark,-1,227237816,28440
mark,-1,229147271,28421
mark,-1,231067619,29060
mark,-1,232980371,28193
mark,-1,234895699,28568
mark,-1,236805379,28771
mark,-1,238728356,28426
mark,-1,240642975,28196
mark,-1,242555297,28395
mark,-1,244466611,28113
mark,-1,246383928,28471
mark,-1,248294048,28247
mark,-1,250212359,28325
mark,-1,252122137,28528
mark,-1,254042123,28882
mark,-1,255955165,28365
mark,-1,257868226,28419
mark,-1,259778105,28636
mark,-1,261694169,28594
mark,-1,263684869,28471
mark,-1,265596586,28006
mark,-1,267510889,28429
mark,-1,269424261,28184
mark,-1,271337251,27977
mark,-1,273252054,27493
mark,-1,275165555,27540
mark,-1,277076520,28332
mark,-1,278991816,28024
mark,-1,280909092,28693
