event_type,gc_thread,start_ns,time_ns
mark,-1,2665227,77933
mark,-1,4099297,40922
mark,-1,5440396,114123
mark,-1,9523336,137989
mark,-1,11947145,32529
mark,-1,14280974,55486
mark,-1,16484898,33270
mark,-1,18876835,36237
mark,-1,21085108,85763
mark,-1,23304915,33013
mark,-1,25619343,29562
mark,-1,27848897,37723
mark,-1,30233776,28239
mark,-1,32472136,40262
mark,-1,34741186,22545
mark,-1,37061391,64544
mark,-1,39268477,85021
mark,-1,41407986,54070
mark,-1,43678591,38509
mark,-1,45871818,65329
mark,-1,48158478,55799
mark,-1,50401002,61232
mark,-1,52599425,28306
mark,-1,54903605,22825
mark,-1,57141446,38061
mark,-1,59301267,33088
mark,-1,61569751,66339
mark,-1,63760723,24028
mark,-1,66078530,46035
mark,-1,68320496,27532
sweep,-1,68387598,2398
mark,-1,70529870,62888
mark,-1,72810409,52714
mark,-1,75024851,42889
mark,-1,77190867,20446
sweep,-1,77257445,2328
mark,-1,79456662,33791
mark,-1,81647315,52535
mark,-1,83933851,48124
mark,-1,86176466,60015
mark,-1,92956681,66444
mark,-1,97434977,96733
mark,-1,101977389,134172
mark,-1,106585840,37531
mark,-1,111165457,61635
mark,-1,115593787,53755
mark,-1,120114658,37685
mark,-1,124698451,38163
mark,-1,129290152,27080
mark,-1,133737570,95199
mark,-1,138254375,141167
mark,-1,142866088,33952
mark,-1,147454951,33114
mark,-1,151933790,36744
mark,-1,156464357,100942
mark,-1,161050377,39273
mark,-1,165665567,40642
mark,-1,170148369,31100
mark,-1,174666462,47411
mark,-1,179197893,39073
mark,-1,183779730,51522
mark,-1,188266879,34292
mark,-1,192826469,34099
mark,-1,197342546,36796
mark,-1,201924453,41383
mark,-1,206423115,26145
mark,-1,210994133,36937
mark,-1,215519733,48588
mark,-1,220076490,134588
mark,-1,224625775,30954
mark,-1,229198307,42364
mark,-1,233740297,116170
mark,-1,238284920,31932
mark,-1,242782319,36587
mark,-1,247362456,37941
mark,-1,251887179,39515
mark,-1,256393314,31629
sweep,-1,256455031,2379
mark,-1,260863818,53173
mark,-1,265467996,105015
mark,-1,270011337,55355
mark,-1,274494385,81621
mark,-1,279009190,54601
mark,-1,283606393,35540
mark,-1,288157710,51525
mark,-1,292604635,29422
mark,-1,297118846,44756
mark,-1,301693810,38376
mark,-1,306278418,41862
mark,-1,310733777,33347
mark,-1,315250039,29928
mark,-1,319792948,50746
mark,-1,324374747,64954
mark,-1,328822818,84635
mark,-1,333320842,35569
mark,-1,337869844,61790
mark,-1,342449342,43542
mark,-1,346901740,46077
mark,-1,351414738,58072
mark,-1,355959350,36824
mark,-1,360552886,30720
mark,-1,365018639,45441
mark,-1,369562679,40082
mark,-1,374107905,40013
mark,-1,378679695,58314
mark,-1,383177771,34383
mark,-1,387733890,36248
mark,-1,392249377,38004
mark,-1,396812038,42256
mark,-1,401317877,29548
mark,-1,405874564,48803
mark,-1,410413216,33534
mark,-1,414940743,32706
mark,-1,419441098,48012
mark,-1,424020486,50129
mark,-1,428541700,53776
mark,-1,433032162,29734
mark,-1,437520220,44500
mark,-1,442098514,50639
mark,-1,446623508,132329
mark,-1,451160461,39622
mark,-1,455664678,72339
mark,-1,460256516,37648
mark,-1,464787836,54113
mark,-1,469269851,35584
mark,-1,473795028,43587
mark,-1,478405900,40170
mark,-1,482981386,34806
mark,-1,487445557,38978
mark,-1,491977574,32944
mark,-1,496544008,33655
mark,-1,501121249,64873
mark,-1,505585081,78152
mark,-1,510080014,121714
mark,-1,514671879,50722
mark,-1,519263322,45018
mark,-1,523720228,30088
mark,-1,528204360,34603
mark,-1,532753607,133851
mark,-1,537366885,31841
mark,-1,541845320,117886
mark,-1,546376315,57287
mark,-1,550922936,60786
mark,-1,555492866,57786
mark,-1,559975730,88995
mark,-1,564521928,32996
mark,-1,569035319,102424
mark,-1,573633361,32669
mark,-1,578110354,25136
mark,-1,582654122,33611
mark,-1,587164939,37176
mark,-1,591736373,40910
mark,-1,596226108,37564
mark,-1,600787784,40212
mark,-1,605308302,25647
mark,-1,609837831,146510
mark,-1,614412885,26879
mark,-1,618986361,42857
mark,-1,623520640,50493
mark,-1,628013042,89906
mark,-1,632536460,39284
mark,-1,637147121,33920
mark,-1,641680822,36025
mark,-1,646160202,82563
mark,-1,650672166,51272
mark,-1,655283286,35340
mark,-1,659821780,31472
mark,-1,664282421,77603
mark,-1,668804942,57250
mark,-1,673402064,43461
mark,-1,677961493,70940
mark,-1,682393744,150335
mark,-1,686975193,59470
mark,-1,691563074,32763
mark,-1,696157203,29375
mark,-1,700600013,61159
mark,-1,705116668,37328
mark,-1,709680039,51712
mark,-1,714281865,53036
mark,-1,718726897,57155
mark,-1,723210159,42875
mark,-1,727779538,94537
mark,-1,732371324,33464
mark,-1,736847607,55048
mark,-1,741352470,59636
mark,-1,745898308,29894
