event_type,gc_thread,start_ns,time_ns
mark,-1,4426205,33433
mark,-1,7743239,35428
mark,-1,10950743,30755
mark,-1,14121827,31652
mark,-1,17325541,28890
mark,-1,20555785,42111
mark,-1,23743272,32190
mark,-1,26923171,39670
mark,-1,30074695,45813
mark,-1,33184208,22129
mark,-1,36458073,45340
mark,-1,39515227,46509
mark,-1,42629223,41531
mark,-1,45796739,32710
mark,-1,49057554,25446
mark,-1,52185769,34732
mark,-1,55309321,32979
mark,-1,58428715,56370
mark,-1,61459415,23645
mark,-1,64597855,31365
mark,-1,67709259,42947
mark,-1,70815370,32304
mark,-1,73923135,25934
mark,-1,77136819,40216
mark,-1,80244618,40300
mark,-1,83355032,32436
mark,-1,86466777,23193
mark,-1,89590852,36845
mark,-1,92695740,35606
mark,-1,95821133,33726
mark,-1,98930359,33239
mark,-1,101978870,49013
mark,-1,105070938,32793
mark,-1,108193618,37851
mark,-1,111288325,47985
mark,-1,114343815,31653
mark,-1,117524198,12192
mark,-1,120682062,38779
mark,-1,123791022,36304
mark,-1,126888490,26929
mark,-1,130002499,20642
mark,-1,133154876,38240
mark,-1,136262731,37566
mark,-1,139366247,18387
mark,-1,142485693,37515
mark,-1,145597907,35657
mark,-1,148719699,31990
mark,-1,151837139,38966
mark,-1,154957655,29084
mark,-1,158072961,40822
mark,-1,161116413,28343
mark,-1,164227963,41646
mark,-1,167310734,44070
mark,-1,170363720,17799
mark,-1,173530408,33535
mark,-1,176704242,33339
mark,-1,179826074,40679
mark,-1,182945776,41603
mark,-1,186004269,19779
mark,-1,189239706,37988
mark,-1,192426586,28066
mark,-1,195545338,34771
mark,-1,198715951,54827
mark,-1,201774961,21966
mark,-1,204975730,32029
mark,-1,208108106,23937
mark,-1,211296143,18581
mark,-1,214414534,52189
mark,-1,217445152,35740
mark,-1,220554630,39736
mark,-1,223662457,38471
mark,-1,226764707,37246
mark,-1,229818034,18154
mark,-1,232991681,32520
mark,-1,236119022,45342
mark,-1,239177011,48469
mark,-1,242262889,24397
mark,-1,245390926,38220
mark,-1,248487496,53429
mark,-1,251523572,39438
mark,-1,254635414,24297
mark,-1,257757619,37411
mark,-1,260857815,33874
mark,-1,263977231,44662
mark,-1,267029070,31910
mark,-1,270214959,32983
mark,-1,273339521,35979
mark,-1,276398099,17776
mark,-1,279569823,25944
mark,-1,282683841,33764
mark,-1,285800136,55315
mark,-1,288823599,29759
mark,-1,291942002,24765
mark,-1,295054199,52238
mark,-1,298087810,18092
mark,-1,301260804,18765
mark,-1,304385862,37414
mark,-1,307481733,15848
mark,-1,310604563,37524
mark,-1,313717728,35082
mark,-1,316840903,31749
mark,-1,319956775,39129
mark,-1,323073043,40688
mark,-1,326140202,16786
mark,-1,329322550,38613
mark,-1,332434741,28109
mark,-1,335555202,33317
mark,-1,338672527,19095
mark,-1,341815402,38345
mark,-1,344915616,23014
mark,-1,348049222,28364
mark,-1,351175070,32289
mark,-1,354289600,30405
mark,-1,357470048,36030
mark,-1,360517481,24986
mark,-1,363641963,33439
mark,-1,366751534,31324
mark,-1,369859410,34858
mark,-1,372966880,24615
mark,-1,376082856,25168
mark,-1,379199607,27445
mark,-1,382318175,29217
mark,-1,385430624,27624
mark,-1,388539640,27107
mark,-1,391653321,39816
mark,-1,394763339,32802
mark,-1,397860243,23832
mark,-1,400983844,37971
mark,-1,404081365,31412
mark,-1,407199594,46771
mark,-1,410244254,40411
mark,-1,413351879,30069
mark,-1,416457298,38747
mark,-1,419558769,30723
mark,-1,422679505,27308
mark,-1,425791820,20215
mark,-1,432424233,41790
