event_type,gc_thread,start_ns,time_ns
mark,-1,2783196,618277
mark,-1,10028492,566467
mark,-1,26769622,936358
mark,-1,61538727,837729
mark,-1,92381976,998346
mark,-1,122284533,746959
mark,-1,157818285,790583
mark,-1,192844739,631672
mark,-1,228532280,368067
mark,-1,264328494,758277
mark,-1,299656037,717327
mark,-1,335158922,628495
mark,-1,369968831,757846
mark,-1,405323061,752864
mark,-1,440680123,951139
mark,-1,476105988,468396
mark,-1,511421762,299870
mark,-1,547551057,904514
mark,-1,583248080,362325
mark,-1,619297604,743277
mark,-1,654959685,385568
mark,-1,690536191,793198
mark,-1,725636199,592277
mark,-1,760612612,277446
mark,-1,796528716,729498
mark,-1,831700364,621065
mark,-1,866332571,792057
mark,-1,901394003,627222
mark,-1,936449300,948160
mark,-1,971555255,274758
mark,-1,1007639841,756096
mark,-1,1042755302,783774
mark,-1,1078094265,626869
mark,-1,1113149149,575696
mark,-1,1148229696,109492
mark,-1,1184146855,768021
mark,-1,1219506431,826499
mark,-1,1254996637,890837
mark,-1,1289919799,611974
mark,-1,1325320600,611425
mark,-1,1360433786,857704
mark,-1,1395751229,554351
mark,-1,1431202791,741244
mark,-1,1466377778,622614
mark,-1,1501257263,829960
mark,-1,1537312931,322898
mark,-1,1573167613,607088
mark,-1,1608713592,765733
mark,-1,1643708708,263402
mark,-1,1679626736,831088
mark,-1,1714991017,803077
mark,-1,1750004203,563231
mark,-1,1785222967,497251
mark,-1,1820431890,386949
mark,-1,1855939332,866306
mark,-1,1891058274,476109
mark,-1,1926363696,586510
mark,-1,1961590447,572855
mark,-1,1996896163,784629
mark,-1,2032005573,762457
mark,-1,2066876569,783846
mark,-1,2101912048,620558
mark,-1,2136740830,767649
mark,-1,2172377422,759981
mark,-1,2207702683,1205237
mark,-1,2237306371,924700
mark,-1,2268739566,726697
mark,-1,2301199379,601372
mark,-1,2332465779,1046338
mark,-1,2361161101,929046
mark,-1,2390789890,892274
mark,-1,2425470319,312256
mark,-1,2461474457,753277
mark,-1,2496694721,587876
mark,-1,2532596696,736443
mark,-1,2567965496,892625
mark,-1,2603191311,357661
mark,-1,2638809166,777236
mark,-1,2673626168,528756
mark,-1,2708662123,719337
mark,-1,2743986528,799805
mark,-1,2779082625,612047
mark,-1,2814487444,669067
mark,-1,2849616227,870682
mark,-1,2884536342,526286
mark,-1,2919660760,293999
mark,-1,2955568990,832466
mark,-1,2990587481,462511
mark,-1,3026059935,380496
mark,-1,3061544771,630486
mark,-1,3097500093,763194
mark,-1,3133020497,723946
mark,-1,3168064119,798664
mark,-1,3203049018,795144
mark,-1,3237942302,777000
mark,-1,3273491674,910635
mark,-1,3309104378,363815
mark,-1,3344354814,725081
mark,-1,3379951270,634572
mark,-1,3415462772,599552
mark,-1,3451153481,707198
mark,-1,3486060836,785349
mark,-1,3521688987,550089
mark,-1,3556630119,1156538
mark,-1,3586420116,933365
mark,-1,3618504095,784535
mark,-1,3648407528,951276
mark,-1,3678067659,822228
mark,-1,3756613344,1187018
mark,-1,3825753895,815150
mark,-1,3895605469,822232
mark,-1,3967311824,962714
mark,-1,4036665233,677078
mark,-1,4108310961,746169
mark,-1,4180166857,904730
mark,-1,4250638194,751713
mark,-1,4322569085,712554
mark,-1,4394028788,984769
mark,-1,4465178311,861481
mark,-1,4536483063,901147
mark,-1,4606297240,761341
mark,-1,4677761049,795481
mark,-1,4749331859,1135641
mark,-1,4817485556,749637
mark,-1,4889426288,748842
mark,-1,4960939165,1022317
mark,-1,5028282379,795120
mark,-1,5100025812,768618
mark,-1,5170807959,738133
mark,-1,5242270613,902548
mark,-1,5311298837,881177
mark,-1,5382051615,903024
mark,-1,5451969750,785115
mark,-1,5523483663,1071114
mark,-1,5595469470,752169
mark,-1,5667389539,816794
mark,-1,5739197342,891345
mark,-1,5807650216,848684
mark,-1,5878169075,814746
mark,-1,5949994748,865396
mark,-1,6018039858,930232
mark,-1,6090648592,807406
mark,-1,6162642679,780480
mark,-1,6235050334,870782
mark,-1,6306691750,816422
mark,-1,6377541907,1118125
mark,-1,6449625692,869417
mark,-1,6520903521,1007885
mark,-1,6592298665,902897
mark,-1,6663963606,1116622
mark,-1,6734334984,1104991
mark,-1,6803824783,944126
mark,-1,6871671526,840181
mark,-1,6941959401,686354
mark,-1,7013542834,720551
mark,-1,7085273051,736484
mark,-1,7156913179,763823
mark,-1,7228299370,908764
mark,-1,7297214733,905387
mark,-1,7368194102,862136
mark,-1,7439263549,892610
mark,-1,7509472236,851963
mark,-1,7581496262,857254
mark,-1,7653252458,930110
mark,-1,7723267023,1006310
mark,-1,7793821213,841914
mark,-1,7865837257,731347
mark,-1,7936896224,985882
mark,-1,8007342604,1113611
mark,-1,8077133229,857493
mark,-1,8148267328,776898
mark,-1,8219730265,859463
mark,-1,8291154794,840679
mark,-1,8362054225,1211298
mark,-1,8433132410,873297
mark,-1,8503685575,783772
mark,-1,8574884518,1093985
mark,-1,8644493212,913249
mark,-1,8713375428,836440
mark,-1,8784683807,1083835
mark,-1,8854123943,736909
mark,-1,8926074656,793749
mark,-1,8997156068,877148
mark,-1,9067631365,790833
mark,-1,9138989795,754087
mark,-1,9210633290,825459
mark,-1,9282533606,761011
mark,-1,9354139854,923715
mark,-1,9425075996,963796
mark,-1,9493052525,1114526
mark,-1,9563805227,1302858
mark,-1,9628263155,780936
mark,-1,9700534893,1386218
mark,-1,9765867836,1589230
mark,-1,9828708623,666302
mark,-1,9901022526,1728815
mark,-1,9963829018,898937
mark,-1,10034646918,1106887
mark,-1,10104642000,1052220
mark,-1,10174767232,896836
mark,-1,10244673778,828518
mark,-1,10316924162,835237
mark,-1,10388171287,921625
mark,-1,10459788003,907248
mark,-1,10529921854,793896
mark,-1,10600987655,906915
mark,-1,10672275620,910742
mark,-1,10740927577,921229
mark,-1,10810259040,810610
mark,-1,10882428196,771608
mark,-1,10953897203,870953
mark,-1,11024779139,767521
mark,-1,11095932050,1028697
mark,-1,11167433874,766081
mark,-1,11238087500,947418
mark,-1,11309398031,825362
mark,-1,11379960012,989677
mark,-1,11448063310,848092
mark,-1,11518811119,1166136
mark,-1,11590820983,900129
mark,-1,11660658048,1016113
mark,-1,11730579916,1124589
mark,-1,11799374332,903240
mark,-1,11870510794,778566
mark,-1,11942357663,912909
mark,-1,12011528886,1098478
mark,-1,12083602230,815946
mark,-1,12152890625,1092104
mark,-1,12224973505,766225
mark,-1,12297032740,683040
mark,-1,12368935753,1038974
mark,-1,12437268874,806216
mark,-1,12507732671,755206
mark,-1,12579579154,761863
mark,-1,12651725590,956474
mark,-1,12722226656,1136550
mark,-1,12794190880,941820
mark,-1,12864956991,891359
mark,-1,12935283305,758440
mark,-1,13007102234,918496
mark,-1,13077468530,964587
mark,-1,13145424985,1012743
mark,-1,13217110531,761771
mark,-1,13289124875,1110510
mark,-1,13361601664,785432
mark,-1,13433258071,896640
mark,-1,13504988762,967971
mark,-1,13576460129,865004
mark,-1,13648031493,819220
mark,-1,13718573813,843461
mark,-1,13789230753,834716
mark,-1,13859281450,834656
mark,-1,13930876620,819367
mark,-1,14002460811,978010
mark,-1,14071881000,998103
mark,-1,14142601378,782161
mark,-1,14213578743,971796
mark,-1,14284888659,930930
mark,-1,14354727678,763999
mark,-1,14425799320,928370
mark,-1,14496357978,1007437
mark,-1,14565731149,1100295
mark,-1,14637723294,939080
mark,-1,14705640784,912654
mark,-1,14774702554,693412
mark,-1,14846565716,953841
mark,-1,14915385313,775370
mark,-1,14987257937,945292
mark,-1,15056882677,1103261
mark,-1,15127031909,745984
mark,-1,15199117191,842818
mark,-1,15268851825,948200
mark,-1,15338930756,762129
mark,-1,15409343349,714566
mark,-1,15479197856,1163259
mark,-1,15547201912,497673
mark,-1,15618470297,757400
mark,-1,15689373592,1086591
sweep,-1,15690472616,61811
mark,-1,15761620149,685710
mark,-1,15834329235,601404
mark,-1,15906032408,687721
mark,-1,15977744774,934476
mark,-1,16047296773,713552
mark,-1,16119107616,994350
mark,-1,16188700481,731458
mark,-1,16260616634,781290
mark,-1,16330467652,738398
mark,-1,16400958823,833696
mark,-1,16471237213,666208
mark,-1,16542959584,781386
mark,-1,16614668705,697597
mark,-1,16686873835,888086
mark,-1,16757793845,768075
mark,-1,16829191683,855963
mark,-1,16900195418,894560
mark,-1,16972329249,971570
mark,-1,17042120011,964352
mark,-1,17110940078,760811
mark,-1,17182794464,902070
mark,-1,17253384060,712312
mark,-1,17325311250,912524
mark,-1,17397393437,737562
mark,-1,17469135409,986250
mark,-1,17540244641,926314
mark,-1,17612174691,919641
mark,-1,17681900073,750740
mark,-1,17753412213,795699
mark,-1,17824328720,912063
mark,-1,17891520978,858675
mark,-1,17963901154,919083
mark,-1,18033463930,928900
mark,-1,18103014252,831545
mark,-1,18172256927,732702
mark,-1,18243602770,975783
mark,-1,18314230033,677773
mark,-1,18386659673,846767
mark,-1,18456810320,788604
mark,-1,18526855762,978246
mark,-1,18599702233,738745
mark,-1,18671361493,739222
mark,-1,18742905707,755862
mark,-1,18814906676,849774
mark,-1,18886953652,1134999
mark,-1,18958635621,811149
mark,-1,19030157226,795162
mark,-1,19101448169,801391
mark,-1,19171623101,835067
mark,-1,19241278807,789596
mark,-1,19312512136,945112
mark,-1,19383667134,768065
mark,-1,19454524790,832119
mark,-1,19525370446,793451
mark,-1,19596116973,888033
mark,-1,19665165004,1086591
mark,-1,19735290942,801671
mark,-1,19806652975,1222421
mark,-1,19876938485,920275
mark,-1,19949886013,911019
mark,-1,20021169584,1022078
mark,-1,20091059162,1232831
mark,-1,20163042318,1338299
mark,-1,20232614566,867396
mark,-1,20304167964,1098138
mark,-1,20371942691,836530
mark,-1,20442546022,769920
mark,-1,20514630065,773942
mark,-1,20586329898,945866
mark,-1,20656955779,1131728
mark,-1,20726336713,802422
mark,-1,20798246712,948569
mark,-1,20868729503,869593
mark,-1,20936735066,672548
mark,-1,21008272580,726539
mark,-1,21080683230,859823
mark,-1,21148942344,748409
mark,-1,21220271419,760886
mark,-1,21292119912,837886
mark,-1,21362574234,734485
mark,-1,21434742255,736078
mark,-1,21506614118,920964
mark,-1,21577345032,841226
mark,-1,21649367766,1170853
mark,-1,21716628008,716432
mark,-1,21788649395,841868
mark,-1,21859030113,746078
mark,-1,21930804092,1207202
mark,-1,22000674298,899431
mark,-1,22070386465,706760
mark,-1,22141497843,829162
mark,-1,22210728915,743608
mark,-1,22282454067,941140
mark,-1,22352057612,782082
mark,-1,22424360613,940705
mark,-1,22494517956,848743
mark,-1,22564833427,919566
mark,-1,22634087791,646029
mark,-1,22706793195,737206
mark,-1,22778446406,714202
mark,-1,22851094455,758641
mark,-1,22922507926,844869
