event_type,gc_thread,start_ns,time_ns
mark,-1,29615080,23789
mark,-1,42901884,10831
mark,-1,55293051,9138
mark,-1,67513429,8404
mark,-1,79706448,7854
mark,-1,91900047,7541
mark,-1,104094093,7553
mark,-1,116289733,7354
mark,-1,128486154,7710
mark,-1,140683491,7482
mark,-1,153596650,7554
mark,-1,166414318,7137
mark,-1,178623872,7497
mark,-1,190815757,7240
mark,-1,203635021,7446
mark,-1,216472108,7403
mark,-1,228745349,7273
mark,-1,240992723,7308
mark,-1,253185509,7307
mark,-1,265498840,7266
mark,-1,277712546,7384
mark,-1,289926243,7123
mark,-1,302122216,7378
mark,-1,314316226,7179
mark,-1,326512012,7543
mark,-1,338703594,7052
mark,-1,351354413,7418
mark,-1,364029925,7116
mark,-1,376251907,7218
mark,-1,388448217,7067
mark,-1,400641918,7205
mark,-1,412841487,7068
mark,-1,425037152,7309
mark,-1,437234657,7355
mark,-1,449630714,7188
mark,-1,462038448,6943
mark,-1,474441071,7224
mark,-1,486845046,7129
mark,-1,499173307,7489
mark,-1,511468458,7121
mark,-1,523731336,7400
mark,-1,535921488,7013
mark,-1,548110032,7053
mark,-1,560299909,6922
mark,-1,572497254,7224
mark,-1,584695220,7020
mark,-1,597470339,7228
mark,-1,610306972,7327
mark,-1,622564149,7120
mark,-1,634755854,7141
mark,-1,646946880,7050
mark,-1,659135339,6948
mark,-1,671326033,7055
mark,-1,683516530,6991
mark,-1,695730075,7154
mark,-1,708054187,7219
mark,-1,720296380,7156
mark,-1,732495461,6960
mark,-1,745229827,7390
mark,-1,758036257,6977
mark,-1,770307086,7226
mark,-1,782572214,7088
mark,-1,794764613,7304
mark,-1,806959204,7002
mark,-1,819154537,7175
mark,-1,831351010,6897
mark,-1,843736910,7483
mark,-1,856149846,7060
mark,-1,868373201,7228
mark,-1,880566064,7060
mark,-1,892763580,7310
mark,-1,904954258,6986
mark,-1,917143857,7170
mark,-1,929336631,6969
mark,-1,941541200,7210
mark,-1,953748015,7025
mark,-1,965939238,7213
mark,-1,978167826,6905
mark,-1,990403305,7142
mark,-1,1002648198,6904
mark,-1,1014846435,7204
mark,-1,1027168337,7440
mark,-1,1039466998,7343
mark,-1,1052107256,7318
mark,-1,1064301869,7162
mark,-1,1076496283,6943
mark,-1,1088724355,7132
mark,-1,1100960587,7051
mark,-1,1114100446,7151
mark,-1,1127436786,6806
mark,-1,1140339043,7087
mark,-1,1153147953,6882
mark,-1,1165460146,7127
mark,-1,1177654550,6887
mark,-1,1189841186,7019
mark,-1,1202023813,7004
