event_type,gc_thread,start_ns,time_ns
mark,-1,9875017,47198
mark,-1,16185170,22356
mark,-1,20287276,18653
mark,-1,24359164,17203
mark,-1,27703732,12796
mark,-1,30450595,11990
mark,-1,33210801,12507
mark,-1,35976437,10278
mark,-1,38196264,9890
mark,-1,40503135,10015
mark,-1,42729812,10494
mark,-1,44992082,12424
mark,-1,47269068,10037
mark,-1,49515490,9546
mark,-1,51847081,9158
mark,-1,54056261,9648
mark,-1,56314683,9497
mark,-1,58537794,9170
mark,-1,60762212,9253
mark,-1,63023333,9797
mark,-1,65228253,8911
mark,-1,67447906,9181
mark,-1,69650384,8861
mark,-1,71872679,9654
mark,-1,74103879,10673
mark,-1,76314174,10476
mark,-1,78517746,9559
mark,-1,80748270,10094
mark,-1,82997705,10028
mark,-1,85185359,9572
mark,-1,87479962,9914
mark,-1,89673248,9100
mark,-1,91964793,9699
mark,-1,94170600,9445
mark,-1,96396686,9635
mark,-1,98601511,9568
mark,-1,100823763,9473
mark,-1,103079780,9556
mark,-1,105273515,9125
mark,-1,107573189,9540
mark,-1,109791007,8878
mark,-1,112080311,9341
mark,-1,114296591,8973
mark,-1,116537352,9379
mark,-1,118763850,9807
mark,-1,120994371,9216
mark,-1,123143819,10268
mark,-1,125303302,9204
mark,-1,127386238,9286
mark,-1,129523829,8943
mark,-1,131601842,11200
mark,-1,133689052,9825
mark,-1,135771303,9548
mark,-1,137850361,9290
mark,-1,139943343,8641
mark,-1,142019979,9222
mark,-1,144103265,9240
mark,-1,146192883,8837
mark,-1,148290266,9359
mark,-1,150391213,8862
mark,-1,152475673,9262
mark,-1,154554281,8766
mark,-1,156634541,9161
mark,-1,158734666,9110
mark,-1,160812048,9024
mark,-1,162914518,8749
mark,-1,165006726,8735
mark,-1,167089758,8943
mark,-1,169174500,8872
mark,-1,171259519,9020
mark,-1,173339301,8677
mark,-1,175421059,9199
mark,-1,177520637,8729
mark,-1,179618458,8931
mark,-1,181694972,8988
mark,-1,183779898,9061
mark,-1,185861679,10384
mark,-1,187944452,9152
mark,-1,190024122,9051
mark,-1,192104770,9269
mark,-1,194187039,8636
mark,-1,196272312,9008
mark,-1,198349364,8750
mark,-1,200454229,8735
mark,-1,202561033,9019
mark,-1,204644440,8947
mark,-1,206750202,8923
mark,-1,208827632,8638
mark,-1,210920613,8807
mark,-1,212998233,8931
mark,-1,215084216,9047
mark,-1,217184161,8825
mark,-1,219274443,8855
mark,-1,221374662,8823
mark,-1,223474278,8966
mark,-1,225555346,8796
mark,-1,227640020,8959
mark,-1,229721302,8728
mark,-1,231817111,8765
mark,-1,233894930,8684
mark,-1,235979929,8865
mark,-1,238058246,9220
mark,-1,240141935,10502
mark,-1,242225851,9480
mark,-1,244423425,9569
mark,-1,246507403,9044
mark,-1,248614645,9248
mark,-1,250695186,9319
mark,-1,252774653,9227
mark,-1,255003539,9308
mark,-1,257191449,9214
mark,-1,259298458,9143
mark,-1,261465533,8771
mark,-1,263657864,9533
mark,-1,265765406,8718
mark,-1,267891293,8884
mark,-1,269978011,8796
mark,-1,272061101,9125
mark,-1,274161049,8595
mark,-1,276244595,9026
mark,-1,278321935,8851
mark,-1,280406521,8803
mark,-1,282484379,8739
mark,-1,284575591,8842
mark,-1,286661275,9142
mark,-1,288746127,8894
mark,-1,290834025,8713
mark,-1,292909479,9142
mark,-1,295007017,8616
mark,-1,297088936,8856
mark,-1,299176223,9120
mark,-1,301251879,8798
mark,-1,303334341,8782
mark,-1,305412571,8830
mark,-1,307493827,9057
mark,-1,309573713,8907
mark,-1,311654577,9611
mark,-1,313731863,9074
mark,-1,315820038,9135
mark,-1,317897887,9128
mark,-1,320003001,9249
mark,-1,322087399,8799
mark,-1,324186271,9181
mark,-1,326284100,8980
mark,-1,328379662,9136
mark,-1,330460091,9047
mark,-1,332542212,8918
mark,-1,334621410,8781
mark,-1,336705199,8777
mark,-1,338789787,8991
mark,-1,340866196,8791
mark,-1,342948045,8885
mark,-1,345027531,8837
mark,-1,347109293,8844
mark,-1,349193267,8910
mark,-1,351284874,9041
mark,-1,353387707,8714
mark,-1,355480371,8901
mark,-1,357557957,9030
mark,-1,359646346,9150
mark,-1,361726950,8963
mark,-1,363815948,8743
mark,-1,365913878,9125
mark,-1,368014843,9000
mark,-1,370099601,8615
mark,-1,372179409,9043
mark,-1,374259292,8843
mark,-1,376344547,8975
mark,-1,378419661,8760
mark,-1,380505547,8934
mark,-1,382583916,8537
mark,-1,384664833,9153
mark,-1,386770405,8502
mark,-1,388853153,8627
mark,-1,390952837,8457
mark,-1,393034381,8786
mark,-1,395134094,8818
mark,-1,397224427,8425
mark,-1,399309971,8934
mark,-1,401385894,8912
mark,-1,403476000,9160
mark,-1,405556055,8738
mark,-1,407638310,8807
mark,-1,409726449,8483
mark,-1,411806496,9034
mark,-1,413894274,8642
mark,-1,415988038,9075
mark,-1,418071130,8527
mark,-1,420287154,9247
mark,-1,422370506,8581
mark,-1,424459237,8884
mark,-1,426553920,8969
mark,-1,428661618,9190
mark,-1,430744990,8633
mark,-1,432842526,8681
mark,-1,434943367,8422
mark,-1,437042971,8611
mark,-1,439124963,8759
mark,-1,441204847,8715
mark,-1,443307248,9094
mark,-1,445383996,8736
