event_type,gc_thread,start_ns,time_ns
sweep,-1,44700403,153
mark,-1,44703680,24031
sweep,-1,44733197,2215
concsweep,1,44764066,7753
concsweep,0,44764858,8677
collection,-1,44703614,111267
sweep,-1,82678175,60
mark,-1,82678502,15581
sweep,-1,82697963,1049
concsweep,1,82728689,6860
concsweep,0,82729232,42412
collection,-1,82678469,94156
sweep,-1,120626886,55
mark,-1,120627142,14636
sweep,-1,120645567,946
concsweep,1,120675982,6890
concsweep,0,120676710,14015
collection,-1,120627116,97846
sweep,-1,158564555,56
mark,-1,158564875,13820
sweep,-1,158582512,990
concsweep,1,158613812,6915
concsweep,0,158614334,48058
collection,-1,158564851,275521
sweep,-1,192994221,85
mark,-1,192994616,18357
sweep,-1,193016346,1014
concsweep,1,193056412,7454
concsweep,0,193057761,94212
collection,-1,192994575,364874
