event_type,gc_thread,start_ns,time_ns
sweep,-1,4903238,80
mark,-1,4905306,69057
sweep,-1,4979502,1442
concsweep,1,5009007,16366
concsweep,0,5009236,16416
collection,-1,4905271,151019
sweep,-1,8370808,78
mark,-1,8371129,69933
sweep,-1,8444747,1374
concsweep,1,8474547,17124
concsweep,0,8475072,17011
collection,-1,8371100,124945
sweep,-1,11798536,88
mark,-1,11798771,63714
sweep,-1,11866023,1179
concsweep,1,11896076,10205
concsweep,0,11897826,19233
collection,-1,11798746,140125
sweep,-1,15132951,67
mark,-1,15133174,67799
sweep,-1,15204338,1133
concsweep,1,15233896,17999
concsweep,0,15235969,28104
collection,-1,15133149,131110
sweep,-1,18516673,77
mark,-1,18516920,54849
sweep,-1,18575528,1171
concsweep,1,18605266,8337
concsweep,0,18607349,16556
collection,-1,18516896,110738
sweep,-1,21823011,81
mark,-1,21823243,49936
sweep,-1,21876525,917
concsweep,1,21906434,11018
concsweep,0,21908535,41574
collection,-1,21823217,154377
sweep,-1,25116781,66
mark,-1,25117007,50297
sweep,-1,25170742,918
concsweep,1,25200753,8631
concsweep,0,25202922,36784
collection,-1,25116984,125701
sweep,-1,28400749,61
mark,-1,28401012,50791
sweep,-1,28455049,927
concsweep,1,28484242,3206
concsweep,0,28486119,2314
sweep,-1,28460644,33756
collection,-1,28400986,93667
mark,-1,28494745,55715
concsweep,1,28576929,94
sweep,-1,28553272,31962
concsweep,0,28584346,1182
collection,-1,28494716,91242
sweep,-1,36638197,205
mark,-1,36638756,104452
sweep,-1,36747748,1969
concsweep,1,36780522,25547
concsweep,0,36781139,39513
collection,-1,36638732,182187
sweep,-1,43421622,171
mark,-1,43422118,119277
sweep,-1,43547326,1997
concsweep,1,43581529,29508
concsweep,0,43581519,34415
collection,-1,43422094,232760
sweep,-1,50132779,247
mark,-1,50133342,116497
sweep,-1,50255922,1790
concsweep,1,50290924,20496
concsweep,0,50290915,34405
collection,-1,50133317,192183
sweep,-1,56802619,245
mark,-1,56803144,140804
sweep,-1,56948898,1613
concsweep,1,56982623,28339
concsweep,0,56982616,33536
collection,-1,56803120,251658
sweep,-1,63481659,234
mark,-1,63482168,159412
sweep,-1,63646591,1428
concsweep,1,63680361,20845
concsweep,0,63680367,34859
collection,-1,63482143,233615
sweep,-1,70171814,96
mark,-1,70172118,168939
sweep,-1,70344872,1287
concsweep,1,70379418,21269
concsweep,0,70380448,32894
collection,-1,70172094,241626
sweep,-1,76860358,73
mark,-1,76860647,149962
sweep,-1,77014291,1073
concsweep,1,77046402,31661
concsweep,0,77047169,36225
collection,-1,76860621,223060
sweep,-1,83522411,135
mark,-1,83522733,170360
sweep,-1,83696667,1083
concsweep,1,83727448,20271
concsweep,0,83728086,28551
collection,-1,83522707,239708
sweep,-1,90428232,109
mark,-1,90428712,159429
sweep,-1,90592515,1389
concsweep,1,90624377,19938
concsweep,0,90624759,29057
collection,-1,90428669,230094
sweep,-1,97102413,140
mark,-1,97102753,158737
sweep,-1,97264969,1245
concsweep,1,97296383,21118
concsweep,0,97297186,35639
collection,-1,97102729,230600
sweep,-1,103756153,75
mark,-1,103756425,149640
sweep,-1,103909507,1258
concsweep,1,103941291,31239
concsweep,0,103941706,36725
collection,-1,103756398,222176
sweep,-1,110423051,67
mark,-1,110423331,155423
sweep,-1,110582820,1099
concsweep,1,110614349,20288
concsweep,0,110614998,28059
collection,-1,110423306,225185
sweep,-1,117093321,77
mark,-1,117093623,150606
sweep,-1,117247860,953
concsweep,1,117279473,19880
concsweep,0,117279858,35721
collection,-1,117093597,222388
sweep,-1,123747634,137
mark,-1,123748019,157308
sweep,-1,123908805,1111
concsweep,1,123940481,20560
concsweep,0,123940903,31603
collection,-1,123747994,225996
sweep,-1,130408030,78
mark,-1,130408311,149292
sweep,-1,130561209,983
concsweep,1,130595596,17974
collection,-1,130408285,219087
concsweep,0,130596019,31272
sweep,-1,137084555,60
mark,-1,137085036,158028
sweep,-1,137246528,1119
concsweep,1,137278487,28445
concsweep,0,137278996,35394
collection,-1,137085009,229594
sweep,-1,143746926,62
mark,-1,143747200,151013
sweep,-1,143901916,993
concsweep,1,143933003,18678
concsweep,0,143933239,30785
collection,-1,143747175,220610
sweep,-1,150409408,52
mark,-1,150409715,154720
sweep,-1,150568107,1192
concsweep,1,150598440,20165
concsweep,0,150599099,28790
collection,-1,150409689,224990
sweep,-1,157066299,74
mark,-1,157066601,151576
sweep,-1,157221521,1010
concsweep,1,157253398,30981
concsweep,0,157253902,33689
collection,-1,157066578,221343
sweep,-1,163716042,54
mark,-1,163716346,156442
sweep,-1,163876279,1044
concsweep,1,163907863,19887
concsweep,0,163908301,35944
collection,-1,163716322,228420
sweep,-1,170367604,144
mark,-1,170367947,146076
sweep,-1,170517686,942
concsweep,1,170548520,28621
concsweep,0,170548819,28523
collection,-1,170367923,216335
sweep,-1,177019909,62
mark,-1,177020168,157008
sweep,-1,177191800,1123
concsweep,1,177216608,29283
collection,-1,177020145,233179
concsweep,0,177216311,36869
sweep,-1,183694106,54
mark,-1,183694357,148229
sweep,-1,183845962,1026
concsweep,1,183877941,19141
collection,-1,183694332,220511
concsweep,0,183878201,36524
sweep,-1,190358385,72
mark,-1,190358645,158599
sweep,-1,190520854,1076
concsweep,1,190552511,21235
concsweep,0,190553089,27259
collection,-1,190358621,228326
sweep,-1,197044900,77
mark,-1,197045190,158299
sweep,-1,197286744,1135
concsweep,1,197317683,29429
concsweep,0,197317873,29454
collection,-1,197045167,309401
sweep,-1,203791553,93
mark,-1,203791856,161773
sweep,-1,203957161,1062
concsweep,1,203988954,20415
collection,-1,203791830,233898
concsweep,0,203989282,36307
sweep,-1,210477907,148
mark,-1,210478258,152970
sweep,-1,210634803,949
concsweep,1,210666395,18436
concsweep,0,210667011,35610
collection,-1,210478231,224655
sweep,-1,217144516,76
mark,-1,217144824,157988
sweep,-1,217306384,989
concsweep,1,217337156,20678
concsweep,0,217337634,35020
collection,-1,217144797,228237
sweep,-1,223814701,134
mark,-1,223815056,147948
sweep,-1,223966400,1113
concsweep,1,223998497,18282
collection,-1,223815030,219778
concsweep,0,223998912,35770
sweep,-1,230483668,82
mark,-1,230483972,155456
