event_type,gc_thread,start_ns,time_ns
sweep,-1,7146150,280
mark,-1,7150495,35641
sweep,-1,7193949,2959
concsweep,1,7221590,13336
concsweep,0,7220528,14777
collection,-1,7150419,132510
sweep,-1,11670372,68
mark,-1,11670701,16787
sweep,-1,11691190,1153
concsweep,1,11722573,8065
concsweep,0,11722024,23017
collection,-1,11670674,107082
sweep,-1,14866070,58
mark,-1,14866376,14837
sweep,-1,14884849,1012
concsweep,1,14917199,7857
concsweep,0,14915422,26030
collection,-1,14866350,108342
sweep,-1,18028691,50
mark,-1,18028931,14304
sweep,-1,18046516,903
concsweep,1,18078885,8065
concsweep,0,18077220,23050
collection,-1,18028911,103911
sweep,-1,21216377,58
mark,-1,21216653,12438
sweep,-1,21232542,882
concsweep,1,21264608,8076
concsweep,0,21262602,23422
collection,-1,21216632,103563
sweep,-1,24407322,56
mark,-1,24407620,12835
sweep,-1,24423877,824
concsweep,1,24455843,7871
concsweep,0,24453695,23181
collection,-1,24407601,101666
sweep,-1,27593889,54
mark,-1,27594159,13385
sweep,-1,27610837,864
concsweep,1,27642544,7675
concsweep,0,27640550,23353
collection,-1,27594140,102702
sweep,-1,30770078,51
mark,-1,30770363,16220
sweep,-1,30789863,831
concsweep,1,30821695,7941
concsweep,0,30819764,23571
collection,-1,30770340,108730
sweep,-1,33934696,49
mark,-1,33934946,12147
sweep,-1,33950519,807
concsweep,1,33981937,7620
concsweep,0,33980311,23152
collection,-1,33934927,101269
sweep,-1,37110922,48
mark,-1,37111190,12376
sweep,-1,37127035,814
concsweep,1,37157533,7782
concsweep,0,37155614,24636
collection,-1,37111168,102562
sweep,-1,40271435,46
mark,-1,40271688,12570
sweep,-1,40287727,797
concsweep,1,40319358,8055
concsweep,0,40318443,24715
collection,-1,40271663,103985
sweep,-1,43463371,59
mark,-1,43463699,13151
sweep,-1,43480191,819
concsweep,1,43511605,7789
concsweep,0,43511280,22166
collection,-1,43463676,103149
sweep,-1,46618287,66
mark,-1,46618587,12131
sweep,-1,46633998,849
concsweep,1,46665960,7381
concsweep,0,46665497,21882
collection,-1,46618565,102412
sweep,-1,49775840,51
mark,-1,49776131,12216
sweep,-1,49791724,781
concsweep,1,49823626,7815
concsweep,0,49823352,24052
collection,-1,49776107,103677
sweep,-1,52941437,52
mark,-1,52941747,11210
sweep,-1,52956657,908
concsweep,1,52988322,7588
concsweep,0,52988039,21745
collection,-1,52941720,101386
sweep,-1,56101475,45
mark,-1,56101778,12080
sweep,-1,56117397,827
concsweep,1,56148005,7285
concsweep,0,56147879,23089
collection,-1,56101757,101421
sweep,-1,59268602,49
mark,-1,59268899,11683
sweep,-1,59283904,772
concsweep,1,59315748,7591
concsweep,0,59315433,21843
collection,-1,59268874,86506
sweep,-1,62616148,81
