event_type,gc_thread,start_ns,time_ns
sweep,-1,45890840,97
mark,-1,45892922,24709
sweep,-1,45922677,1609
concsweep,1,45956683,7142
concsweep,0,45956674,105076
collection,-1,45892877,168973
sweep,-1,85259838,95
mark,-1,85260101,17652
sweep,-1,85281145,1294
concsweep,1,85311807,7078
concsweep,0,85312200,107459
collection,-1,85260074,270310
sweep,-1,124603475,57
mark,-1,124603711,16706
sweep,-1,124623737,1081
concsweep,1,124654442,7294
concsweep,0,124654713,107458
collection,-1,124603685,268712
sweep,-1,163931764,60
mark,-1,163931994,16664
sweep,-1,163951893,1049
concsweep,1,163983247,6986
concsweep,0,163983765,106121
collection,-1,163931965,268752
sweep,-1,203255737,63
mark,-1,203255973,15591
sweep,-1,203274826,1075
concsweep,1,203308578,6861
concsweep,0,203308882,90329
collection,-1,203255946,143790
sweep,-1,242759667,69
mark,-1,242759861,15792
sweep,-1,242779158,1327
concsweep,1,242809962,6832
concsweep,0,242810261,107114
collection,-1,242759837,165830
sweep,-1,282102626,67
mark,-1,282102847,14295
sweep,-1,282120579,1032
concsweep,1,282152192,6849
concsweep,0,282152572,105970
collection,-1,282102819,164446
sweep,-1,321411409,56
mark,-1,321411721,13689
sweep,-1,321428749,893
concsweep,1,321459977,6820
concsweep,0,321460756,105879
collection,-1,321411693,266366
sweep,-1,359756122,87
mark,-1,359756478,17482
sweep,-1,359777301,1074
concsweep,1,359800416,156
concsweep,0,359778772,23354
collection,-1,359756444,115908
