event_type,gc_thread,start_ns,time_ns
sweep,-1,1243114412,228
mark,-1,1243120302,72241
sweep,-1,1243203774,2853
concsweep,1,1243230930,6562391
concsweep,0,1243219678,6591066
collection,-1,1243120245,6709104
sweep,-1,2181745234,190
mark,-1,2181746632,136639
sweep,-1,2181893756,2897
sweep,-1,2181916711,5532
sweep,-1,2181938115,16233
concsweep,1,2181934173,6481136
concsweep,0,2181934167,6484684
collection,-1,2181746588,6685971
sweep,-1,3117026003,222
mark,-1,3117027093,167426
sweep,-1,3117204728,11428
concsweep,1,3117231554,6479557
concsweep,0,3117220919,6500623
collection,-1,3117027050,6736493
sweep,-1,4045888034,270
mark,-1,4045889300,74517
sweep,-1,4045973062,3039
concsweep,1,4046000169,6502479
concsweep,0,4045988379,6514296
collection,-1,4045889245,6628047
sweep,-1,4984150770,164
mark,-1,4984151702,161070
sweep,-1,4984322221,2492
concsweep,1,4984360650,6503703
concsweep,0,4984360660,6516460
collection,-1,4984151667,6738561
sweep,-1,5915424486,176
mark,-1,5915425426,166136
sweep,-1,5915601258,11004
concsweep,1,5915621280,6490840
concsweep,0,5915626293,6491938
collection,-1,5915425389,6693210
sweep,-1,6848533682,158
mark,-1,6848534693,73986
sweep,-1,6848617809,2647
concsweep,1,6848645367,6501394
concsweep,0,6848634318,6515882
collection,-1,6848534656,6616245
sweep,-1,7782783233,170
mark,-1,7782784233,59468
sweep,-1,7782854194,2455
concsweep,1,7782891636,6537481
concsweep,0,7782891623,6540021
collection,-1,7782784197,6671177
sweep,-1,8711497035,203
mark,-1,8711498258,71729
sweep,-1,8711579885,2521
concsweep,1,8711618399,6556742
concsweep,0,8711618402,6572020
collection,-1,8711498224,6699450
sweep,-1,9643221981,241
mark,-1,9643223354,162398
sweep,-1,9643391757,2483
sweep,-1,9643425596,14637
concsweep,1,9643423388,6506640
concsweep,0,9643423391,6506660
collection,-1,9643223320,6730606
sweep,-1,10576507834,263
mark,-1,10576508958,165295
sweep,-1,10576684040,2519
concsweep,1,10576723822,6533087
concsweep,0,10576723816,6533238
collection,-1,10576508923,6761980
