event_type,gc_thread,start_ns,time_ns
sweep,-1,424567490,240
mark,-1,424573887,157822
sweep,-1,424742479,3028
sweep,-1,424776427,30828
concsweep,1,424770242,7986756
concsweep,0,424759784,7997549
collection,-1,424573842,8189639
sweep,-1,628208254,516
mark,-1,628209356,3253736
sweep,-1,631473197,2982
sweep,-1,631500747,32790
concsweep,0,631489804,7768642
collection,-1,628209330,11049974
concsweep,1,631500326,7758103
sweep,-1,833642549,332
mark,-1,833643573,3267190
sweep,-1,836920052,2786
sweep,-1,836941737,49819
concsweep,1,836958865,7827605
concsweep,0,836958854,7827634
collection,-1,833643548,11149942
sweep,-1,1038414809,270
mark,-1,1038415606,3218155
sweep,-1,1041643527,2649
sweep,-1,1041667573,48692
concsweep,1,1041683187,7756785
collection,-1,1038415578,11026579
concsweep,0,1041683181,7756809
sweep,-1,1242814172,214
mark,-1,1242814877,3255400
sweep,-1,1246079628,2638
sweep,-1,1246103551,34502
concsweep,1,1246119785,7729974
concsweep,0,1246119786,7735599
collection,-1,1242814853,11049110
sweep,-1,1449813515,212
mark,-1,1449814208,3237442
sweep,-1,1453061190,10988
sweep,-1,1453088105,15126
concsweep,1,1453080877,7728503
concsweep,0,1453085046,7733354
collection,-1,1449814182,11005292
sweep,-1,1653858883,210
mark,-1,1653859594,3243382
sweep,-1,1657112293,2613
sweep,-1,1657137132,46793
concsweep,1,1657150501,7706012
concsweep,0,1657150509,7706025
collection,-1,1653859567,11002681
sweep,-1,1858496463,266
mark,-1,1858497255,3200209
sweep,-1,1861707049,2631
sweep,-1,1861730586,50227
concsweep,1,1861747564,7749833
concsweep,0,1861747564,7749855
collection,-1,1858497229,11007088
sweep,-1,2062775185,223
mark,-1,2062775891,3245962
sweep,-1,2066031560,2560
sweep,-1,2066053683,36088
concsweep,0,2066071397,7740525
collection,-1,2062775868,11039180
concsweep,1,2066071406,7740496
sweep,-1,2267374214,208
mark,-1,2267375058,3242537
sweep,-1,2270627821,2594
sweep,-1,2270652709,49257
concsweep,0,2270667041,7858538
collection,-1,2267375034,11151633
concsweep,1,2270667048,7858548
sweep,-1,2473817070,152
mark,-1,2473817694,3265151
sweep,-1,2477092387,2946
sweep,-1,2477117183,37458
concsweep,0,2477135771,7773956
collection,-1,2473817669,11094707
concsweep,1,2477135770,7773974
sweep,-1,2678547689,310
mark,-1,2678548468,3269146
sweep,-1,2681827392,2505
sweep,-1,2681849664,38581
concsweep,1,2681868119,7737091
concsweep,0,2681868128,7738651
collection,-1,2678548442,11064966
sweep,-1,2883996845,190
mark,-1,2883998114,3249065
sweep,-1,2887254362,2689
sweep,-1,2887278234,29750
concsweep,1,2887288324,7727014
concsweep,0,2887288932,7729154
collection,-1,2883998078,11020304
sweep,-1,3088497167,213
mark,-1,3088497879,3248473
sweep,-1,3091758075,2815
sweep,-1,3091783198,34376
concsweep,1,3091799379,7693829
concsweep,0,3091799380,7693854
collection,-1,3088497855,11001424
sweep,-1,3293736336,217
mark,-1,3293737156,3301652
sweep,-1,3297128679,11090
sweep,-1,3297157224,13166
concsweep,1,3297147745,7700306
concsweep,0,3297153177,7694854
collection,-1,3293737128,11117059
sweep,-1,3497715556,318
mark,-1,3497716909,3257103
sweep,-1,3500983332,2467
sweep,-1,3501006016,49383
concsweep,0,3501022290,7794459
collection,-1,3497716882,11102194
concsweep,1,3501022287,7794466
sweep,-1,3703327468,219
mark,-1,3703328182,3269893
sweep,-1,3706607980,2833
sweep,-1,3706632726,34373
collection,-1,3703328154,11069995
concsweep,0,3706647711,7750454
concsweep,1,3706647709,7750465
sweep,-1,3909933173,264
mark,-1,3909933932,3290671
sweep,-1,3913233932,2534
sweep,-1,3913253402,20084
concsweep,1,3913242651,7816456
collection,-1,3909933904,11127747
concsweep,0,3913242633,7816815
sweep,-1,4114287435,209
mark,-1,4114288115,3259312
sweep,-1,4117556668,11269
sweep,-1,4117583762,33672
concsweep,0,4117572470,7739582
collection,-1,4114288089,11024616
concsweep,1,4117583460,7728613
sweep,-1,4320604925,355
mark,-1,4320606035,3327260
sweep,-1,4323942649,10778
sweep,-1,4323969956,14674
concsweep,0,4323967094,7691745
collection,-1,4320606006,11055127
concsweep,1,4323962390,7696463
sweep,-1,4525353468,248
mark,-1,4525354239,3269426
sweep,-1,4528633810,11012
sweep,-1,4528665905,41392
concsweep,1,4528676276,7797973
concsweep,0,4528676269,7798039
collection,-1,4525354216,11126265
sweep,-1,4729118612,146
mark,-1,4729119273,3264581
sweep,-1,4732393624,2705
sweep,-1,4732418392,34862
concsweep,1,4732433718,7705631
concsweep,0,4732433720,7711740
collection,-1,4729119247,11027700
sweep,-1,4933767866,277
mark,-1,4933768689,3262828
sweep,-1,4937040875,2485
sweep,-1,4937063440,36140
concsweep,1,4937080374,7763863
collection,-1,4933768663,11078460
concsweep,0,4937080375,7763872
sweep,-1,5137903596,275
mark,-1,5137904416,3299875
sweep,-1,5141213626,3175
sweep,-1,5141237501,57626
concsweep,1,5141254834,7865356
concsweep,0,5141254827,7865381
collection,-1,5137904392,11222490
sweep,-1,5343853501,246
mark,-1,5343854295,3303717
sweep,-1,5347167336,11013
sweep,-1,5347195364,13632
concsweep,1,5347186828,7742569
collection,-1,5343854267,11076529
concsweep,0,5347191711,7737668
sweep,-1,5547986697,224
mark,-1,5547987593,3219872
sweep,-1,5551217536,2652
sweep,-1,5551241829,50337
concsweep,1,5551258802,7745778
concsweep,0,5551258789,7751922
collection,-1,5547987567,11026276
sweep,-1,5752141537,308
mark,-1,5752142333,3266345
sweep,-1,5755418051,2746
sweep,-1,5755442782,50570
concsweep,1,5755458735,7702772
concsweep,0,5755458729,7710911
collection,-1,5752142305,11029206
sweep,-1,5956874623,316
mark,-1,5956875599,3319671
sweep,-1,5960205029,11063
sweep,-1,5960239372,26073
concsweep,1,5960247044,7691611
concsweep,0,5960247052,7691611
collection,-1,5956875571,11068220
sweep,-1,6160907151,296
mark,-1,6160908001,3292033
sweep,-1,6164209851,2595
sweep,-1,6164234151,47903
concsweep,1,6164249670,7690881
concsweep,0,6164249664,7691633
collection,-1,6160907975,11038562
sweep,-1,6367100895,343
mark,-1,6367101861,3355188
sweep,-1,6370466549,10909
sweep,-1,6370494438,14058
concsweep,0,6370490391,7745730
collection,-1,6367101841,11138587
concsweep,1,6370485725,7750378
sweep,-1,6571492185,242
mark,-1,6571492959,3291859
sweep,-1,6574794239,2644
sweep,-1,6574818386,33318
concsweep,1,6574833985,7763664
collection,-1,6571492936,11107164
concsweep,0,6574833985,7763682
sweep,-1,6774778681,283
mark,-1,6774779529,3300250
sweep,-1,6778089466,2923
sweep,-1,6778111512,33695
concsweep,1,6778128399,7852572
collection,-1,6774779504,11204595
concsweep,0,6778128403,7852559
sweep,-1,6979118573,206
mark,-1,6979119281,3318685
sweep,-1,6982447503,2689
sweep,-1,6982472334,36386
concsweep,0,6982488868,7770333
concsweep,1,6982488875,7770339
collection,-1,6979119256,11146239
sweep,-1,7183380459,241
mark,-1,7183381488,3338589
sweep,-1,7186729757,2644
sweep,-1,7186751286,36425
