event_type,gc_thread,start_ns,time_ns
sweep,-1,1834539023,204
mark,-1,1834545148,157093
sweep,-1,1834713716,2550
sweep,-1,1834717742,76213
concsweep,1,1834753946,6442588
concsweep,0,1834753960,6462700
collection,-1,1834545114,6674921
sweep,-1,3453528930,182
mark,-1,3453530093,172168
sweep,-1,3453710505,2485
sweep,-1,3453721783,43956
concsweep,0,3453745133,6500018
concsweep,1,3453745453,6499467
collection,-1,3453530059,6768792
sweep,-1,5077504392,200
mark,-1,5077505558,154238
sweep,-1,5077669571,10954
sweep,-1,5077698038,49491
concsweep,1,5077709814,6414951
concsweep,0,5077709808,6424040
collection,-1,5077505518,6662766
sweep,-1,6694938390,229
mark,-1,6694939614,155605
sweep,-1,6695105945,2484
sweep,-1,6695113990,50421
concsweep,1,6695143757,6445343
concsweep,0,6695143887,6472736
collection,-1,6694939581,6688047
