event_type,gc_thread,start_ns,time_ns
sweep,-1,7689372,184
mark,-1,7692633,182636
sweep,-1,7881419,2475
sweep,-1,7899325,1457
concsweep,1,7903968,8398
concsweep,0,7883233,33930
collection,-1,7692591,225380
sweep,-1,21234705,64
mark,-1,21235219,136598
sweep,-1,21377077,1894
sweep,-1,21389477,30178
concsweep,1,21411281,14916
concsweep,0,21411297,17972
collection,-1,21235189,195089
sweep,-1,32791622,180
mark,-1,32792505,159760
sweep,-1,32958747,2550
sweep,-1,32963303,31030
concsweep,1,32991739,24452
concsweep,0,32991747,27570
collection,-1,32792474,229518
sweep,-1,58432600,213
mark,-1,58433568,149976
sweep,-1,58593607,2338
sweep,-1,58613109,38603
concsweep,1,58630620,70124
concsweep,0,58630626,83713
collection,-1,58433530,321751
sweep,-1,82399471,213
mark,-1,82400398,155433
sweep,-1,82563698,2377
sweep,-1,82576087,59114
concsweep,1,82600507,74846
concsweep,0,82597564,77970
collection,-1,82400372,331411
sweep,-1,106402420,202
mark,-1,106403697,143536
sweep,-1,106557114,2393
sweep,-1,106577631,57882
concsweep,1,106597188,71868
concsweep,0,106597204,73227
collection,-1,106403669,267722
sweep,-1,130358759,251
mark,-1,130359811,143825
sweep,-1,130514070,2557
sweep,-1,130533051,41391
concsweep,1,130552079,71531
concsweep,0,130552087,85281
collection,-1,130359786,278500
sweep,-1,154300856,214
mark,-1,154301861,142182
sweep,-1,154453827,2451
sweep,-1,154475729,52623
concsweep,1,154491538,75284
concsweep,0,154491537,75569
collection,-1,154301833,285376
sweep,-1,178255776,193
mark,-1,178256669,140789
sweep,-1,178406899,2567
sweep,-1,178425420,57157
concsweep,1,178444434,72343
concsweep,0,178444450,72576
collection,-1,178256643,261422
sweep,-1,202299533,219
mark,-1,202300541,144464
sweep,-1,202455293,2428
sweep,-1,202464980,65531
concsweep,1,202493099,69126
concsweep,0,202493106,70654
collection,-1,202300513,264696
sweep,-1,226271502,228
mark,-1,226272633,149679
sweep,-1,226432269,2292
sweep,-1,226441286,50767
concsweep,1,226471082,73509
concsweep,0,226471081,73850
collection,-1,226272598,283769
sweep,-1,250295336,204
mark,-1,250296485,152240
sweep,-1,250458396,2335
sweep,-1,250480384,36209
concsweep,1,250496003,74649
concsweep,0,250496011,76762
collection,-1,250296459,301888
sweep,-1,274302003,203
mark,-1,274303161,142174
sweep,-1,274454169,2350
sweep,-1,274458353,52528
concsweep,1,274487359,73037
concsweep,0,274487359,73399
collection,-1,274303135,264609
sweep,-1,298316189,184
mark,-1,298317167,144186
sweep,-1,298471353,2524
sweep,-1,298480306,67316
concsweep,1,298509548,71075
concsweep,0,298509556,71450
collection,-1,298317142,265055
sweep,-1,322344469,212
mark,-1,322345475,141600
sweep,-1,322582278,2584
sweep,-1,322607100,50581
concsweep,1,322619715,71449
concsweep,0,322619714,77351
collection,-1,322345451,362321
sweep,-1,346457474,166
mark,-1,346458440,142294
sweep,-1,346610672,2356
sweep,-1,346614885,48146
concsweep,1,346648650,65507
concsweep,0,346648666,116739
collection,-1,346458409,310546
sweep,-1,370569304,169
mark,-1,370570386,144063
sweep,-1,370724613,2569
sweep,-1,370745577,50874
concsweep,1,370762020,68856
concsweep,0,370762032,74651
collection,-1,370570350,312835
sweep,-1,394724517,152
mark,-1,394725388,147194
sweep,-1,394882548,2443
sweep,-1,394891687,47978
concsweep,1,394919167,69631
concsweep,0,394919175,69968
collection,-1,394725350,282118
sweep,-1,418870032,189
mark,-1,418870873,144395
sweep,-1,419024905,2377
sweep,-1,419034824,47668
concsweep,1,419063322,65594
concsweep,0,419063328,72981
collection,-1,418870844,314595
sweep,-1,442980090,196
mark,-1,442980768,136152
sweep,-1,443125295,2000
sweep,-1,443129153,64178
concsweep,1,443160026,59073
concsweep,0,443160033,62430
collection,-1,442980718,242799
sweep,-1,467065119,173
mark,-1,467065731,139907
sweep,-1,467213665,2014
sweep,-1,467235778,30177
concsweep,1,467248969,62770
concsweep,0,467248960,66695
collection,-1,467065689,250395
sweep,-1,491131043,198
mark,-1,491131697,133390
sweep,-1,491273003,2262
sweep,-1,491275916,63651
concsweep,1,491308817,56726
concsweep,0,491308833,64988
collection,-1,491131653,242975
sweep,-1,516151580,169
mark,-1,516152485,137777
sweep,-1,516298421,2300
sweep,-1,516308265,28744
concsweep,1,516303415,65428
concsweep,0,516302457,77610
collection,-1,516152458,236999
sweep,-1,541500462,197
mark,-1,541501202,134984
sweep,-1,541644350,2325
sweep,-1,541654598,11784
concsweep,1,541648434,67047
concsweep,0,541647980,103679
collection,-1,541501178,251397
sweep,-1,566826431,181
mark,-1,566827107,144218
sweep,-1,566979261,2398
sweep,-1,566989720,26920
concsweep,1,566983839,63385
concsweep,0,566983850,71413
collection,-1,566827053,240360
sweep,-1,590893115,233
mark,-1,590893843,130785
sweep,-1,591032882,10872
sweep,-1,591059150,28493
concsweep,1,591071157,59510
concsweep,0,591071166,72342
collection,-1,590893819,317977
sweep,-1,615002602,86
mark,-1,615003293,126212
sweep,-1,615135889,10679
sweep,-1,615162105,23917
concsweep,1,615171345,54084
concsweep,0,615170492,70738
collection,-1,615003241,238153
sweep,-1,639097807,184
mark,-1,639098523,131853
sweep,-1,639238203,10708
sweep,-1,639262723,38948
concsweep,1,639276223,55185
concsweep,0,639276219,60778
collection,-1,639098476,257728
sweep,-1,663218237,89
mark,-1,663218858,127246
sweep,-1,663353522,10250
sweep,-1,663377040,27639
concsweep,0,663390153,110190
collection,-1,663218811,281748
concsweep,1,663390153,53430
sweep,-1,687396091,85
mark,-1,687396647,128132
sweep,-1,687532006,2008
sweep,-1,687539351,49126
concsweep,1,687565707,50783
concsweep,0,687565713,51098
collection,-1,687396613,221390
sweep,-1,711458710,62
mark,-1,711459219,125677
sweep,-1,711591599,2052
sweep,-1,711598962,46278
concsweep,1,711624934,47989
concsweep,0,711624941,50754
collection,-1,711459179,228147
sweep,-1,735505662,64
mark,-1,735506146,125081
sweep,-1,735638115,2223
sweep,-1,735645832,37681
concsweep,1,735671200,48007
concsweep,0,735671209,52190
collection,-1,735506106,231556
sweep,-1,759549144,79
mark,-1,759549725,125987
sweep,-1,759682700,2192
sweep,-1,759690468,36960
concsweep,1,759716353,50147
concsweep,0,759716360,52714
collection,-1,759549686,231972
sweep,-1,783607136,106
mark,-1,783607710,137766
sweep,-1,783752761,2159
sweep,-1,783756740,43223
concsweep,1,783787202,46506
concsweep,0,783787209,54357
collection,-1,783607670,234202
sweep,-1,807737027,90
mark,-1,807737567,120515
sweep,-1,807863447,2095
sweep,-1,807886347,22018
concsweep,1,807895908,49484
concsweep,0,807895631,53117
collection,-1,807737529,229114
sweep,-1,831854171,78
mark,-1,831854680,126673
sweep,-1,831986367,2033
sweep,-1,831992290,36472
concsweep,1,832017895,47381
concsweep,0,832017608,48156
collection,-1,831854632,230151
sweep,-1,855933926,101
mark,-1,855934477,126988
sweep,-1,856068214,2054
sweep,-1,856075676,46183
concsweep,1,856102041,45532
concsweep,0,856102064,45926
collection,-1,855934418,214262
sweep,-1,880014135,67
mark,-1,880014683,123019
sweep,-1,880143624,1831
sweep,-1,880150892,36538
concsweep,1,880177737,45640
concsweep,0,880177727,47934
collection,-1,880014625,226851
sweep,-1,904075969,109
mark,-1,904076550,121926
sweep,-1,904204817,1968
sweep,-1,904211764,35955
concsweep,1,904237575,44900
concsweep,0,904237582,45320
collection,-1,904076525,225127
sweep,-1,928129988,83
mark,-1,928130521,125989
sweep,-1,928263447,2070
sweep,-1,928270771,47207
concsweep,1,928300773,41061
concsweep,0,928300767,41575
collection,-1,928130473,212241
sweep,-1,952237883,78
mark,-1,952238429,123132
sweep,-1,952368404,2094
sweep,-1,952375870,43595
concsweep,1,952401956,42464
concsweep,0,952401963,44545
collection,-1,952238368,208352
sweep,-1,976293688,80
mark,-1,976294168,121958
sweep,-1,976421136,2053
sweep,-1,976428390,59401
concsweep,1,976453692,52389
concsweep,0,976453708,58851
collection,-1,976294129,218887
sweep,-1,1000376116,65
mark,-1,1000376862,127006
sweep,-1,1000509040,1831
sweep,-1,1000518010,33346
concsweep,1,1000542088,40930
concsweep,0,1000542077,49959
collection,-1,1000376837,224828
sweep,-1,1025049859,90
mark,-1,1025050581,134079
sweep,-1,1025190946,2473
sweep,-1,1025199237,32050
concsweep,1,1025194188,61727
concsweep,0,1025193065,63270
collection,-1,1025050528,206455
sweep,-1,1049489995,153
mark,-1,1049490572,124852
sweep,-1,1049620764,2075
sweep,-1,1049628178,41605
concsweep,1,1049653132,45946
concsweep,0,1049653103,47704
collection,-1,1049490541,217559
sweep,-1,1073640230,72
mark,-1,1073640784,122284
sweep,-1,1073768049,1896
sweep,-1,1073775179,35232
concsweep,1,1073802701,46416
concsweep,0,1073802172,62255
collection,-1,1073640759,225524
sweep,-1,1097737738,195
mark,-1,1097738568,120033
sweep,-1,1097862987,1805
sweep,-1,1097869815,38863
concsweep,1,1097896038,39509
concsweep,0,1097895050,42376
collection,-1,1097738543,231060
sweep,-1,1121793814,135
mark,-1,1121794394,118113
sweep,-1,1121917544,1736
sweep,-1,1121924467,34687
concsweep,1,1121951966,41232
concsweep,0,1121951745,41799
collection,-1,1121794357,218356
sweep,-1,1145804518,142
mark,-1,1145805087,125791
sweep,-1,1145937525,1930
sweep,-1,1145944502,45226
concsweep,1,1145972696,40068
collection,-1,1145805047,208284
concsweep,0,1145972705,40524
sweep,-1,1169820799,66
mark,-1,1169821284,119957
sweep,-1,1169946465,1803
sweep,-1,1169953500,39584
concsweep,1,1169978739,38203
concsweep,0,1169978755,39884
collection,-1,1169821251,197506
sweep,-1,1193860345,67
mark,-1,1193860839,122014
sweep,-1,1193988639,1912
sweep,-1,1193995648,39018
concsweep,1,1194021554,37718
concsweep,0,1194021561,38439
collection,-1,1193860807,199933
sweep,-1,1217907919,73
mark,-1,1217908548,119420
sweep,-1,1218033562,1775
sweep,-1,1218040425,33781
concsweep,1,1218066197,41400
concsweep,0,1218066191,41749
collection,-1,1217908523,200402
sweep,-1,1241909271,73
mark,-1,1241909786,118848
sweep,-1,1242034813,1817
sweep,-1,1242041825,33105
concsweep,1,1242067716,38219
concsweep,0,1242067724,38543
collection,-1,1241909754,199156
sweep,-1,1265960211,205
mark,-1,1265960823,118985
sweep,-1,1266084811,2409
sweep,-1,1266092375,38173
concsweep,1,1266117449,36041
concsweep,0,1266117022,39334
collection,-1,1265960798,196087
sweep,-1,1289986700,139
mark,-1,1289987243,127679
sweep,-1,1290120627,1764
sweep,-1,1290124281,42351
concsweep,1,1290153002,37574
concsweep,0,1290152380,38803
collection,-1,1289987215,205138
sweep,-1,1314026305,61
mark,-1,1314026770,112141
sweep,-1,1314144397,1902
sweep,-1,1314147057,44736
concsweep,1,1314177630,35811
concsweep,0,1314177297,36480
collection,-1,1314026745,220151
sweep,-1,1338042706,91
mark,-1,1338043174,120315
sweep,-1,1338169170,1857
sweep,-1,1338177766,30907
concsweep,1,1338202168,39208
concsweep,0,1338201867,41309
collection,-1,1338043141,202418
sweep,-1,1362062292,135
mark,-1,1362147575,120424
sweep,-1,1362273664,1891
sweep,-1,1362279708,33158
concsweep,1,1362306806,36739
concsweep,0,1362306530,37771
collection,-1,1362147527,202910
sweep,-1,1386284022,80
mark,-1,1386284543,119209
sweep,-1,1386408489,2099
sweep,-1,1386416312,29886
concsweep,1,1386440216,38094
concsweep,0,1386440226,55853
collection,-1,1386284508,212633
sweep,-1,1410297983,78
mark,-1,1410298703,118006
sweep,-1,1410421700,1846
sweep,-1,1410428642,36722
concsweep,1,1410454378,36234
concsweep,0,1410454086,37148
collection,-1,1410298675,192669
sweep,-1,1434328713,70
mark,-1,1434329116,118753
sweep,-1,1434453171,2207
sweep,-1,1434460805,37531
concsweep,1,1434486133,34369
concsweep,0,1434486140,34735
collection,-1,1434329090,191977
sweep,-1,1458402999,75
mark,-1,1458403547,121102
sweep,-1,1458530412,1686
sweep,-1,1458538966,28629
concsweep,1,1458561918,39173
concsweep,0,1458561898,55942
collection,-1,1458403514,272629
sweep,-1,1482402738,84
mark,-1,1482403298,119422
sweep,-1,1482528313,1867
sweep,-1,1482535288,35589
concsweep,1,1482559668,34484
concsweep,0,1482559599,36082
collection,-1,1482403267,192782
sweep,-1,1506633416,205
mark,-1,1506634082,126630
sweep,-1,1506765784,10540
sweep,-1,1506782076,24284
concsweep,1,1506777889,47167
concsweep,0,1506787982,39221
collection,-1,1506634059,194003
sweep,-1,1531356118,145
mark,-1,1531356620,122119
sweep,-1,1531483926,10307
sweep,-1,1531501768,20266
concsweep,1,1531495874,50104
concsweep,0,1531505837,40403
collection,-1,1531356598,202589
sweep,-1,1555410855,74
mark,-1,1555411315,117686
sweep,-1,1555534300,10130
sweep,-1,1555559789,19341
concsweep,1,1555569421,40084
concsweep,0,1555568351,50151
collection,-1,1555411290,219193
sweep,-1,1579482980,79
mark,-1,1579483498,119503
sweep,-1,1579608420,10164
sweep,-1,1579632528,20044
concsweep,1,1579642381,38676
concsweep,0,1579642769,39791
collection,-1,1579483472,204770
sweep,-1,1603616772,139
mark,-1,1603617329,119977
sweep,-1,1603742343,1736
sweep,-1,1603750831,33668
concsweep,1,1603774132,37157
concsweep,0,1603774125,70602
collection,-1,1603617303,277824
sweep,-1,1627652212,144
mark,-1,1627652831,119736
sweep,-1,1627777319,1784
sweep,-1,1627784253,31821
concsweep,1,1627810094,37224
concsweep,0,1627809968,37675
collection,-1,1627652806,197941
