event_type,gc_thread,start_ns,time_ns
sweep,-1,42445273,61
mark,-1,42446630,12391
sweep,-1,42468580,811
concsweep,4,42538824,218
concsweep,3,42539238,229
concsweep,6,42539732,233
concsweep,2,42539412,222
concsweep,1,42539602,196
concsweep,7,42538500,9761
concsweep,5,42538385,10387
concsweep,0,42523507,126973
collection,-1,42446604,409941
sweep,-1,66012735,73
mark,-1,66013037,8744
sweep,-1,66029677,603
concsweep,3,66101406,225
concsweep,6,66101610,216
concsweep,7,66102081,225
concsweep,1,66101797,192
concsweep,5,66102350,193
concsweep,4,66089414,19603
concsweep,2,66102242,222
concsweep,0,66089287,152109
collection,-1,66013004,428112
sweep,-1,89555986,42
mark,-1,89556234,7986
sweep,-1,89571730,578
concsweep,1,89638419,235
concsweep,7,89638800,223
concsweep,4,89639035,192
concsweep,2,89638580,250
concsweep,3,89638163,9663
concsweep,5,89637950,10229
concsweep,6,89639205,225
concsweep,0,89626228,130670
collection,-1,89556203,366303
sweep,-1,113177477,51
mark,-1,113177678,7451
sweep,-1,113192567,587
concsweep,2,113259316,238
concsweep,4,113259752,212
concsweep,6,113259473,222
concsweep,3,113260029,233
concsweep,1,113260067,192
concsweep,5,113259144,9272
concsweep,7,113258866,10067
concsweep,0,113247117,163559
collection,-1,113177662,402955
sweep,-1,134356910,46
mark,-1,134357192,9901
sweep,-1,134374937,586
concsweep,4,134444720,282
concsweep,1,134445197,199
concsweep,6,134445525,191
concsweep,3,134444981,225
concsweep,7,134444586,9480
concsweep,5,134444261,10765
concsweep,2,134445376,221
concsweep,0,134431748,91319
collection,-1,134357177,264954
