event_type,gc_thread,start_ns,time_ns
sweep,-1,12294822,196
mark,-1,12298804,107428
sweep,-1,12432436,2885
concsweep,7,12477332,10575
concsweep,7,12488916,84
concsweep,5,12488673,355
concsweep,3,12489259,252
concsweep,2,12490153,224
concsweep,1,12489432,212
concsweep,4,12489700,236
concsweep,0,12463904,55153
collection,-1,12298704,220614
sweep,-1,18596223,151
mark,-1,18596620,54421
sweep,-1,18667020,5732
concsweep,1,18675509,209
concsweep,2,18672970,3567
concsweep,4,18677599,212
concsweep,1,18676840,73
concsweep,4,18679160,134
concsweep,6,18669560,10542
concsweep,5,18670974,18729
concsweep,0,18665477,26788
collection,-1,18596582,98146
sweep,-1,24009937,83
mark,-1,24010218,73462
sweep,-1,24094264,1140
sweep,-1,24109143,2915
concsweep,2,24138071,605
concsweep,2,24139717,114
concsweep,2,24140083,75
concsweep,2,24140461,75
concsweep,2,24140813,75
concsweep,2,24141125,74
concsweep,2,24141437,74
sweep,-1,24129856,12801
collection,-1,24010194,153257
concsweep,0,24137887,25369
sweep,-1,27430976,102
mark,-1,27431327,56154
sweep,-1,27497866,1353
sweep,-1,27533189,3074
concsweep,5,27560281,244
concsweep,1,27560768,212
concsweep,3,27561373,241
concsweep,4,27561913,237
concsweep,2,27561618,250
concsweep,7,27556269,14307
concsweep,0,27538112,33806
collection,-1,27431299,144482
concsweep,6,27561948,228
sweep,-1,30901238,118
mark,-1,30901562,53179
sweep,-1,30965344,994
concsweep,2,30972314,25018
concsweep,2,30998495,136
concsweep,2,30998881,73
concsweep,2,30999193,73
concsweep,2,30999553,74
concsweep,2,30999886,72
concsweep,6,30976342,30577
concsweep,0,31006011,2958
collection,-1,30901537,110689
sweep,-1,34228440,98
mark,-1,34228703,45888
sweep,-1,34286728,871
concsweep,6,34290368,13882
concsweep,6,34305333,92
concsweep,6,34305926,137
concsweep,6,34306602,141
concsweep,6,34307167,134
concsweep,6,34307815,158
concsweep,2,34289468,31528
concsweep,0,34287429,35097
collection,-1,34228677,95526
sweep,-1,36699339,63
mark,-1,36699547,42545
sweep,-1,36750568,828
concsweep,6,36798823,666
concsweep,6,36800463,112
concsweep,6,36800810,74
concsweep,6,36801114,72
concsweep,6,36801474,73
concsweep,6,36801825,75
concsweep,2,36798703,16994
concsweep,0,36756282,61381
collection,-1,36699520,140571
sweep,-1,39256006,68
mark,-1,39256317,41897
sweep,-1,39306745,13280
concsweep,6,39311766,13163
concsweep,6,39325944,75
concsweep,6,39326297,74
concsweep,6,39326602,74
concsweep,6,39326906,73
concsweep,6,39327261,75
concsweep,6,39327571,75
concsweep,0,39348402,4731
collection,-1,39256298,112678
sweep,-1,41708166,70
mark,-1,41740436,41586
sweep,-1,41789988,793
sweep,-1,41846379,5560
concsweep,4,41859989,216
concsweep,7,41860167,222
concsweep,3,41861060,226
concsweep,1,41860277,192
concsweep,2,41860498,236
concsweep,5,41859323,4857
concsweep,6,41860707,224
concsweep,0,41844082,32644
collection,-1,41740413,142311
sweep,-1,44208819,78
mark,-1,44209085,72269
sweep,-1,44289807,677
concsweep,2,44362293,237
concsweep,7,44362656,252
concsweep,4,44348796,15357
concsweep,1,44362035,664
concsweep,6,44362504,237
concsweep,3,44361848,13354
concsweep,5,44361390,17811
concsweep,0,44348610,32245
collection,-1,44209057,179391
sweep,-1,46361423,70
mark,-1,46361652,40816
sweep,-1,46410923,710
concsweep,4,46459865,229
concsweep,0,46415151,46901
concsweep,4,46463174,73
concsweep,2,46459972,231
concsweep,6,46420239,39795
concsweep,2,46466768,76
concsweep,6,46467082,138
collection,-1,46361633,111212
concsweep,7,46459703,430
sweep,-1,48773311,44
mark,-1,48773568,37947
sweep,-1,48818973,650
concsweep,5,48891396,217
concsweep,7,48891740,193
concsweep,6,48879196,13708
concsweep,4,48891537,221
concsweep,3,48892006,192
concsweep,2,48879019,23968
concsweep,0,48878362,25663
concsweep,1,48891887,195
collection,-1,48773541,149627
sweep,-1,51288217,83
mark,-1,51288464,38032
sweep,-1,51334183,636
concsweep,3,51406989,240
concsweep,6,51407484,241
concsweep,4,51407267,211
concsweep,2,51407633,259
concsweep,5,51393464,21285
concsweep,7,51406675,9414
concsweep,0,51393640,24191
concsweep,1,51406809,686
collection,-1,51288434,138284
sweep,-1,53706695,56
mark,-1,53706969,37455
sweep,-1,53751938,653
concsweep,7,53823792,223
concsweep,5,53824164,226
concsweep,2,53824522,192
concsweep,4,53823987,228
concsweep,1,53824711,191
concsweep,6,53824346,224
concsweep,3,53811015,30228
concsweep,0,53810881,31621
collection,-1,53706942,138931
sweep,-1,56181264,52
mark,-1,56181430,69195
sweep,-1,56258516,669
sweep,-1,56314349,1610
concsweep,3,56325312,257
concsweep,2,56325544,244
concsweep,6,56325766,254
concsweep,1,56325926,211
concsweep,7,56325006,7321
concsweep,5,56325132,659
concsweep,4,56324736,19655
collection,-1,56181410,167753
concsweep,0,56311666,37198
sweep,-1,58279822,65
mark,-1,58280019,31260
sweep,-1,58318817,608
concsweep,3,58389539,272
concsweep,1,58389978,213
concsweep,6,58390456,214
concsweep,4,58389773,224
concsweep,2,58390216,240
concsweep,7,58389190,14884
concsweep,5,58388608,16594
concsweep,0,58375866,30760
collection,-1,58279996,141778
sweep,-1,60699069,33
mark,-1,60699271,59346
sweep,-1,60765813,671
concsweep,7,60833555,280
concsweep,3,60834077,219
concsweep,4,60833739,193
concsweep,6,60833852,220
concsweep,1,60833392,12910
concsweep,2,60834239,224
concsweep,5,60832780,20435
concsweep,0,60818434,38945
collection,-1,60699245,164526
sweep,-1,62911570,51
mark,-1,62911716,41803
sweep,-1,62961377,627
sweep,-1,62992771,25462
concsweep,3,63032395,259
concsweep,2,63033004,250
concsweep,4,63032289,387
concsweep,7,63032636,246
concsweep,6,63033138,264
concsweep,5,63032173,6691
collection,-1,62911699,129741
concsweep,0,63019246,22042
concsweep,1,63032814,212
sweep,-1,65304476,50
mark,-1,65304721,68078
sweep,-1,65380106,648
sweep,-1,65382565,975
sweep,-1,65386104,1516
sweep,-1,65410370,21500
sweep,-1,65432835,749
sweep,-1,65436079,1348
concsweep,7,65449888,224
concsweep,4,65450300,216
concsweep,3,65450842,218
concsweep,1,65450147,191
concsweep,5,65449533,4036
concsweep,2,65450710,195
concsweep,6,65450522,232
concsweep,0,65434159,22060
collection,-1,65304699,159986
sweep,-1,67408354,54
mark,-1,67408557,68997
sweep,-1,67485034,611
sweep,-1,67487288,588
sweep,-1,67516142,674
concsweep,3,67554226,238
concsweep,2,67554867,244
concsweep,4,67554061,611
concsweep,1,67554745,211
concsweep,5,67553236,10855
concsweep,7,67553925,12209
concsweep,6,67554442,233
concsweep,0,67537976,40433
collection,-1,67408534,170573
sweep,-1,69501589,52
mark,-1,69501845,68643
sweep,-1,69577779,750
concsweep,4,69644339,271
concsweep,6,69644785,218
concsweep,3,69644535,221
concsweep,2,69644927,227
concsweep,7,69644068,14394
concsweep,1,69643904,14754
concsweep,5,69644157,14876
concsweep,0,69630961,41022
collection,-1,69501819,173663
sweep,-1,71579032,45
mark,-1,71579263,36855
sweep,-1,71623794,673
sweep,-1,71678110,2069
concsweep,7,71693276,242
concsweep,4,71693847,215
concsweep,3,71693107,677
concsweep,2,71693480,240
concsweep,6,71693720,252
concsweep,1,71692998,7645
concsweep,5,71692334,15333
collection,-1,71579239,140536
concsweep,0,71677162,42306
sweep,-1,73958791,49
mark,-1,73959040,35085
sweep,-1,74001342,650
sweep,-1,74053302,574
concsweep,4,74071192,338
concsweep,2,74071738,230
concsweep,3,74071975,219
concsweep,6,74071488,212
concsweep,1,74070987,8496
concsweep,7,74070770,11813
concsweep,5,74072080,219
collection,-1,73959016,132616
concsweep,0,74055465,36012
sweep,-1,76342182,33
mark,-1,76342383,65173
sweep,-1,76415359,624
sweep,-1,76469930,1067
concsweep,1,76482620,210
concsweep,2,76482990,250
concsweep,7,76483345,253
concsweep,3,76482879,239
concsweep,6,76483212,250
concsweep,4,76482285,8507
concsweep,5,76481729,19169
collection,-1,76342360,166430
concsweep,0,76469004,39177
sweep,-1,78493867,34
mark,-1,78494086,57931
sweep,-1,78559937,638
concsweep,5,78631888,340
concsweep,4,78632392,243
concsweep,7,78632783,250
concsweep,3,78632520,240
concsweep,2,78633173,240
concsweep,6,78632946,247
concsweep,1,78618992,33784
concsweep,0,78618868,42273
collection,-1,78494062,193465
sweep,-1,80807933,41
mark,-1,80808202,36559
sweep,-1,80851794,613
sweep,-1,80906347,1127
sweep,-1,80916790,1906
concsweep,4,80921492,234
concsweep,2,80922007,223
concsweep,1,80921626,194
concsweep,3,80921726,228
concsweep,5,80921146,12314
concsweep,7,80921264,14937
concsweep,6,80922146,222
concsweep,0,80906487,31139
collection,-1,80808173,134470
sweep,-1,83191208,50
mark,-1,83191444,68453
sweep,-1,83267662,681
sweep,-1,83324219,1140
concsweep,1,83336807,281
concsweep,3,83337240,240
concsweep,6,83337006,243
concsweep,2,83337349,240
concsweep,5,83336006,10106
concsweep,7,83336399,11254
concsweep,4,83336577,17179
concsweep,0,83320711,39813
collection,-1,83191418,169591
sweep,-1,85306897,46
mark,-1,85307156,36889
sweep,-1,85351376,640
sweep,-1,85406330,1010
concsweep,2,85418039,285
concsweep,3,85418432,219
concsweep,6,85418292,224
concsweep,1,85417923,708
concsweep,4,85417820,6997
concsweep,5,85417414,10425
concsweep,7,85417662,17344
concsweep,0,85404468,33771
collection,-1,85307131,131521
sweep,-1,87668345,54
mark,-1,87668572,36733
sweep,-1,87713039,617
sweep,-1,87770000,1096
concsweep,3,87784451,256
concsweep,1,87784926,242
concsweep,6,87784647,236
concsweep,2,87785030,259
concsweep,4,87784231,750
concsweep,7,87784030,10864
concsweep,5,87783598,13699
concsweep,0,87767681,46571
collection,-1,87668550,151013
sweep,-1,90062759,40
mark,-1,90062933,36720
sweep,-1,90106888,639
concsweep,4,90179801,257
concsweep,7,90180067,367
concsweep,3,90167427,13333
concsweep,2,90180258,229
