event_type,gc_thread,start_ns,time_ns
sweep,-1,13944263,166
mark,-1,13947629,44863
concsweep,4,14019603,224
concsweep,5,14020105,222
concsweep,4,14021260,144
concsweep,5,14021650,73
concsweep,1,14013068,10143
sweep,-1,14016812,8109
concsweep,2,14014933,9957
concsweep,3,14017520,10506
concsweep,0,14010597,18616
collection,-1,13947546,82118
sweep,-1,21455857,119
mark,-1,21456333,66819
sweep,-1,21537519,1765
concsweep,2,21545088,193
concsweep,2,21546397,89
concsweep,2,21546717,74
concsweep,3,21546875,239
concsweep,4,21539200,11318
concsweep,6,21542307,11130
concsweep,1,21543934,11788
collection,-1,21456295,135181
concsweep,0,21537625,53628
sweep,-1,27594539,73
mark,-1,27594829,47729
sweep,-1,27652470,920
sweep,-1,27682456,1347
concsweep,4,27716464,237
concsweep,3,27716889,232
concsweep,2,27716608,235
concsweep,6,27716717,193
concsweep,5,27717291,212
concsweep,0,27694134,31621
collection,-1,27594801,133021
concsweep,1,27717130,193
concsweep,7,27711449,8056
sweep,-1,32051094,79
mark,-1,32051354,27746
sweep,-1,32089253,831
concsweep,4,32156145,200
concsweep,2,32156631,241
concsweep,3,32156944,226
concsweep,6,32156805,195
concsweep,1,32157202,192
concsweep,5,32157324,226
concsweep,7,32151508,7867
concsweep,0,32130597,33229
collection,-1,32051327,129744
sweep,-1,36432414,89
mark,-1,36432705,33233
sweep,-1,36474140,651
sweep,-1,36534463,5946
concsweep,7,36544354,245
concsweep,4,36544562,242
concsweep,6,36545232,251
concsweep,5,36545440,217
concsweep,2,36544177,2954
concsweep,3,36545321,194
concsweep,0,36528057,27241
collection,-1,36432685,127684
concsweep,1,36544923,217
sweep,-1,39818611,57
mark,-1,39818813,11859
sweep,-1,39838701,649
sweep,-1,39861196,1043
concsweep,2,39909863,250
concsweep,3,39910092,247
concsweep,6,39910693,195
concsweep,1,39910388,191
concsweep,5,39910585,194
concsweep,7,39909607,8848
concsweep,4,39909500,10463
concsweep,0,39893638,27954
collection,-1,39818793,104548
sweep,-1,43288646,56
mark,-1,43288931,26417
sweep,-1,43323481,584
sweep,-1,43385579,4678
concsweep,6,43391194,237
concsweep,5,43391992,270
concsweep,2,43391381,243
concsweep,7,43391633,240
concsweep,3,43392053,247
concsweep,1,43390797,7379
concsweep,0,43377633,23453
collection,-1,43288901,112597
concsweep,4,43390915,766
sweep,-1,46675483,87
mark,-1,46675712,30218
sweep,-1,46714051,556
sweep,-1,46775886,5339
concsweep,1,46785524,197
concsweep,5,46786248,247
concsweep,7,46785687,247
concsweep,4,46785277,668
concsweep,2,46785107,5491
concsweep,6,46786150,228
concsweep,0,46769054,27782
concsweep,3,46785865,237
collection,-1,46675696,136169
sweep,-1,50171385,64
mark,-1,50171626,9929
sweep,-1,50189616,571
concsweep,2,50237766,192
concsweep,1,50237965,196
concsweep,2,50239093,74
concsweep,2,50239566,75
concsweep,2,50239882,76
concsweep,2,50240194,74
concsweep,2,50240503,74
concsweep,0,50193857,63091
collection,-1,50171610,90548
sweep,-1,53583330,50
mark,-1,53583536,34282
sweep,-1,53625593,694
sweep,-1,53628848,948
concsweep,1,53672211,221
concsweep,1,53673337,75
concsweep,1,53673734,140
concsweep,1,53674118,74
concsweep,1,53674428,74
concsweep,1,53674739,74
concsweep,1,53675074,75
concsweep,0,53630570,63454
collection,-1,53583514,115007
sweep,-1,56969434,49
mark,-1,56969627,27266
sweep,-1,57004267,606
sweep,-1,57026026,1028
concsweep,2,57077396,251
concsweep,7,57077620,218
concsweep,3,57078116,237
concsweep,5,57077848,193
concsweep,1,57078242,224
concsweep,4,57076957,10461
concsweep,6,57077204,11256
concsweep,0,57058601,30762
collection,-1,56969607,121025
sweep,-1,60300149,62
mark,-1,60300351,29013
sweep,-1,60336707,603
concsweep,4,60406797,237
concsweep,5,60407090,236
concsweep,3,60407419,238
concsweep,1,60406557,612
concsweep,2,60407344,242
concsweep,6,60406344,10433
concsweep,7,60406169,12051
concsweep,0,60390484,50280
collection,-1,60300330,149344
sweep,-1,63671775,62
mark,-1,63671978,19689
sweep,-1,63699353,562
concsweep,1,63752887,670
concsweep,5,63753006,570
concsweep,1,63756021,113
concsweep,5,63758346,114
concsweep,4,63752399,10075
sweep,-1,63754212,8850
concsweep,2,63752238,12079
concsweep,3,63752631,10186
concsweep,0,63752483,13391
collection,-1,63671921,165668
sweep,-1,67063854,57
