event_type,gc_thread,start_ns,time_ns
sweep,-1,11178599,184
mark,-1,11182175,42249
sweep,-1,11251130,1752
concsweep,3,11252928,397
concsweep,4,11254495,574
concsweep,4,11256275,120
concsweep,3,11255958,416
concsweep,5,11258808,191
concsweep,1,11245961,26540
concsweep,0,11237186,35887
concsweep,2,11245208,27316
collection,-1,11182070,124828
sweep,-1,17282180,146
mark,-1,17282749,19168
sweep,-1,17316262,1635
concsweep,2,17373061,202
concsweep,2,17374417,134
concsweep,4,17375333,206
concsweep,2,17375884,116
concsweep,7,17375878,208
concsweep,5,17376430,206
concsweep,3,17376298,208
concsweep,0,17344131,47140
collection,-1,17282706,148083
sweep,-1,22431161,75
mark,-1,22431519,17370
sweep,-1,22462497,1462
concsweep,2,22524756,288
concsweep,2,22526151,140
concsweep,2,22526968,134
concsweep,4,22527129,216
concsweep,6,22527886,216
concsweep,3,22527299,211
concsweep,7,22527429,214
concsweep,0,22490339,46106
collection,-1,22431482,139977
sweep,-1,26279837,32
mark,-1,26280155,11809
sweep,-1,26302419,948
concsweep,2,26364755,208
concsweep,0,26337327,28024
concsweep,7,26367101,226
concsweep,4,26367290,348
concsweep,1,26368007,195
concsweep,3,26368525,192
concsweep,6,26367522,226
concsweep,5,26368300,207
collection,-1,26280129,107360
sweep,-1,29732267,56
mark,-1,29732494,10869
sweep,-1,29753619,860
concsweep,0,29787827,27571
concsweep,2,29816064,236
concsweep,2,29817314,73
concsweep,3,29818527,189
concsweep,6,29819231,191
concsweep,1,29819512,189
concsweep,4,29818659,190
concsweep,5,29819789,192
collection,-1,29732467,106054
sweep,-1,33195642,55
mark,-1,33195815,11006
sweep,-1,33217297,824
concsweep,2,33276722,216
concsweep,2,33278110,142
concsweep,0,33251176,27081
concsweep,2,33278641,74
concsweep,4,33278741,191
concsweep,6,33279412,192
concsweep,1,33279965,192
concsweep,5,33280191,230
collection,-1,33195789,106151
sweep,-1,35843715,61
mark,-1,35843959,7928
sweep,-1,35859953,641
concsweep,2,35929566,316
concsweep,2,35931056,74
concsweep,4,35931533,413
concsweep,3,35932360,200
concsweep,6,35931790,226
sweep,-1,35932813,5676
concsweep,7,35918968,20710
concsweep,0,35917927,22749
concsweep,5,35932516,208
collection,-1,35843941,115025
sweep,-1,38248591,52
mark,-1,38248789,7854
sweep,-1,38264256,705
sweep,-1,38313946,7756
concsweep,2,38328901,218
concsweep,3,38330898,429
concsweep,7,38331173,305
concsweep,4,38331885,215
concsweep,5,38331301,207
concsweep,1,38332128,206
collection,-1,38248772,90891
concsweep,0,38316836,22656
concsweep,6,38331561,215
sweep,-1,40631347,49
mark,-1,40631611,7627
sweep,-1,40677067,833
sweep,-1,40710805,24154
concsweep,0,40730601,10739
concsweep,2,40744840,225
concsweep,2,40746116,74
concsweep,2,40746429,75
concsweep,2,40746741,75
concsweep,6,40747925,230
concsweep,7,40748200,228
concsweep,4,40748436,193
collection,-1,40631594,123895
sweep,-1,43064397,51
mark,-1,43064658,8250
sweep,-1,43081762,645
concsweep,2,43085219,42109
concsweep,2,43128535,119
concsweep,2,43128907,74
concsweep,2,43129215,73
concsweep,2,43129515,76
concsweep,2,43129849,74
concsweep,2,43130158,75
concsweep,0,43124769,29458
collection,-1,43064642,108484
sweep,-1,45443965,33
mark,-1,45444130,8365
sweep,-1,45459954,618
concsweep,3,45531531,233
concsweep,6,45531819,234
concsweep,4,45531626,231
concsweep,5,45532316,229
concsweep,2,45517338,20092
concsweep,7,45532017,225
concsweep,1,45532187,192
concsweep,0,45518845,33994
collection,-1,45444114,127783
sweep,-1,47840076,47
mark,-1,47840302,7889
sweep,-1,47856180,615
concsweep,2,47927196,232
concsweep,4,47927702,240
concsweep,6,47928127,225
concsweep,7,47927936,234
concsweep,1,47928580,192
concsweep,3,47915296,19659
concsweep,0,47915370,21482
concsweep,5,47928240,220
collection,-1,47840285,110560
sweep,-1,50224529,30
mark,-1,50224696,7245
sweep,-1,50239136,649
sweep,-1,50287864,7910
concsweep,4,50305910,229
concsweep,2,50306329,230
concsweep,7,50306521,240
concsweep,6,50306752,227
concsweep,1,50307348,194
concsweep,3,50306968,223
concsweep,5,50307209,229
concsweep,0,50293368,23226
collection,-1,50224679,92334
sweep,-1,52585123,55
mark,-1,52585343,7544
sweep,-1,52600658,581
sweep,-1,52648869,8874
concsweep,3,52667089,320
concsweep,4,52667613,231
concsweep,6,52668144,209
concsweep,2,52668398,224
concsweep,0,52655421,13868
concsweep,7,52667309,256
concsweep,5,52668302,212
collection,-1,52585327,93314
concsweep,1,52667853,215
sweep,-1,54940099,54
mark,-1,54940307,7814
sweep,-1,54955706,587
sweep,-1,55024739,2813
concsweep,4,55027689,208
concsweep,2,55028154,192
concsweep,6,55028345,228
concsweep,7,55028946,224
concsweep,5,55028658,230
concsweep,3,55016246,19779
concsweep,1,55029004,191
concsweep,0,55016285,31901
collection,-1,54940290,108513
sweep,-1,57321846,46
mark,-1,57321985,7021
sweep,-1,57336018,640
sweep,-1,57385036,7164
concsweep,3,57402536,220
concsweep,4,57402885,223
concsweep,1,57403437,191
concsweep,5,57403669,224
concsweep,7,57402722,225
concsweep,6,57403104,224
concsweep,2,57403911,222
concsweep,0,57389348,22730
collection,-1,57321968,91114
sweep,-1,59680535,34
mark,-1,59701858,7878
sweep,-1,59717254,680
sweep,-1,59750004,23855
concsweep,0,59771766,11552
concsweep,7,59787422,226
concsweep,3,59787814,232
concsweep,5,59788343,218
concsweep,6,59788590,202
concsweep,4,59787568,221
concsweep,1,59788660,199
collection,-1,59701835,93536
concsweep,2,59788071,226
sweep,-1,62060473,43
mark,-1,62060635,7090
sweep,-1,62074979,617
sweep,-1,62123109,7743
concsweep,6,62141093,227
concsweep,4,62141426,233
concsweep,5,62142240,202
concsweep,7,62141269,223
concsweep,3,62141625,221
concsweep,1,62141926,220
concsweep,2,62142204,305
concsweep,0,62127932,23347
collection,-1,62060619,91311
sweep,-1,64415425,39
mark,-1,64415565,7522
sweep,-1,64430856,637
sweep,-1,64463719,23816
concsweep,0,64485300,11525
concsweep,4,64500851,307
concsweep,7,64501116,191
concsweep,5,64501735,230
concsweep,1,64501924,197
concsweep,2,64501348,230
concsweep,3,64501476,231
concsweep,6,64502045,207
collection,-1,64415548,93281
sweep,-1,66773412,34
mark,-1,66773552,7149
sweep,-1,66788004,581
sweep,-1,66836305,8035
concsweep,4,66854094,227
concsweep,2,66854350,234
concsweep,7,66854889,224
concsweep,1,66855336,246
concsweep,3,66854641,227
concsweep,6,66855180,222
concsweep,0,66842274,22228
collection,-1,66773535,91738
concsweep,5,66855449,208
sweep,-1,69126122,35
mark,-1,69126274,7107
sweep,-1,69140583,619
concsweep,6,69212134,225
concsweep,5,69212627,196
concsweep,1,69212974,189
concsweep,7,69212293,226
concsweep,2,69212867,223
concsweep,4,69199225,19806
concsweep,0,69199464,22116
concsweep,3,69212474,229
collection,-1,69126257,108130
sweep,-1,71497969,29
