event_type,gc_thread,start_ns,time_ns
sweep,-1,12431710,46
mark,-1,12433058,13799
sweep,-1,12455648,787
concsweep,3,12522798,193
concsweep,3,12524164,73
concsweep,3,12525077,74
concsweep,4,12525292,215
concsweep,7,12513953,12644
concsweep,1,12525428,190
concsweep,2,12525563,231
concsweep,0,12509919,20411
collection,-1,12433031,126577
sweep,-1,23951683,77
mark,-1,23951903,9818
sweep,-1,23969522,849
concsweep,3,24040147,191
concsweep,7,24034044,6848
concsweep,6,24030508,10470
concsweep,7,24041695,104
concsweep,5,24029885,10470
concsweep,1,24043038,309
concsweep,2,24042763,206
concsweep,0,24030407,24833
collection,-1,23951883,134846
sweep,-1,35390176,49
mark,-1,35390354,8446
sweep,-1,35407705,639
concsweep,3,35411393,28962
concsweep,3,35441323,134
concsweep,3,35441692,74
concsweep,3,35441996,74
concsweep,3,35442349,73
concsweep,3,35442656,73
concsweep,6,35416109,30551
concsweep,0,35455862,28070
collection,-1,35390336,123939
sweep,-1,46592485,67
mark,-1,46592649,7412
sweep,-1,46607739,597
concsweep,4,46678664,263
concsweep,3,46678938,223
concsweep,6,46679700,212
concsweep,1,46679030,191
concsweep,2,46678435,9702
concsweep,5,46677995,10469
concsweep,0,46673526,16430
concsweep,7,46678130,10554
collection,-1,46592633,121383
sweep,-1,57820442,34
mark,-1,57820640,7648
sweep,-1,57836140,686
concsweep,6,57904433,224
concsweep,7,57904970,224
concsweep,2,57904149,626
concsweep,4,57904837,193
concsweep,5,57903998,9952
concsweep,1,57903800,10287
concsweep,3,57904600,225
concsweep,0,57890825,45411
collection,-1,57820622,206835
sweep,-1,69025003,35
mark,-1,69025134,7693
sweep,-1,69040346,652
concsweep,5,69107951,233
concsweep,2,69108443,231
concsweep,6,69108211,220
concsweep,4,69108726,255
concsweep,7,69107719,9766
concsweep,0,69095064,23552
concsweep,1,69107341,10234
concsweep,3,69108639,220
collection,-1,69025117,119885
sweep,-1,80241436,36
mark,-1,80241579,7389
sweep,-1,80256359,609
concsweep,2,80328432,221
concsweep,4,80328795,191
concsweep,6,80329349,223
concsweep,7,80328570,224
concsweep,1,80329457,191
concsweep,5,80315903,20061
concsweep,3,80329100,242
concsweep,0,80315929,33451
collection,-1,80241562,139145
sweep,-1,91476796,35
mark,-1,91476926,6841
sweep,-1,91491000,587
concsweep,6,91561602,244
concsweep,3,91562157,219
concsweep,7,91561773,228
concsweep,2,91562275,226
concsweep,5,91561401,9495
concsweep,1,91560986,10327
concsweep,0,91545538,27009
concsweep,4,91561951,221
collection,-1,91476909,118821
sweep,-1,102683972,36
mark,-1,102684174,7502
sweep,-1,102698966,605
concsweep,4,102771281,230
concsweep,7,102771524,216
collection,-1,102684151,207318
concsweep,5,102771798,226
concsweep,3,102772052,218
concsweep,2,102771969,295
concsweep,1,102771035,9868
concsweep,6,102770698,10316
concsweep,0,102754714,45906
sweep,-1,113906333,34
mark,-1,113906473,7233
sweep,-1,113921195,594
concsweep,6,113990509,219
concsweep,4,113990998,221
concsweep,7,113990328,623
concsweep,3,113990745,222
concsweep,1,113989762,10367
concsweep,5,113990221,10385
concsweep,0,113974373,27143
concsweep,2,113991089,222
collection,-1,113906457,118856
sweep,-1,125189580,35
mark,-1,125189763,6959
sweep,-1,125204848,565
concsweep,6,125251288,223
concsweep,4,125212084,39558
concsweep,6,125252589,89
concsweep,4,125252975,133
concsweep,6,125253285,76
concsweep,4,125253695,74
concsweep,6,125254012,75
concsweep,0,125251019,44844
collection,-1,125189746,136581
sweep,-1,136429484,58
mark,-1,136429678,6699
sweep,-1,136443678,615
concsweep,4,136500135,19717
concsweep,5,136520734,226
concsweep,6,136520942,227
concsweep,2,136521222,232
concsweep,3,136521858,220
concsweep,1,136521498,190
concsweep,7,136521692,221
concsweep,0,136503365,33504
collection,-1,136429662,138063
sweep,-1,147656594,33
mark,-1,147656735,7300
sweep,-1,147671196,591
concsweep,2,147739027,231
concsweep,6,147739444,223
concsweep,3,147739864,227
concsweep,7,147739598,221
concsweep,1,147738785,9695
concsweep,5,147738645,10140
concsweep,4,147739997,192
concsweep,0,147726369,46209
collection,-1,147656719,207068
sweep,-1,158869904,35
mark,-1,158870080,7424
sweep,-1,158884774,620
concsweep,7,158952395,217
concsweep,1,158952186,623
concsweep,3,158952565,219
concsweep,2,158952773,218
concsweep,4,158952900,193
concsweep,5,158951850,10403
concsweep,0,158939587,23631
concsweep,6,158951991,10446
collection,-1,158870058,119511
sweep,-1,170100874,38
mark,-1,170101013,7235
sweep,-1,170115677,584
concsweep,3,170185356,216
concsweep,2,170185070,691
concsweep,7,170185205,593
concsweep,6,170185731,228
concsweep,4,170185598,224
concsweep,1,170184817,10362
concsweep,0,170169200,27857
concsweep,5,170184959,10324
collection,-1,170100997,119453
