event_type,gc_thread,start_ns,time_ns
sweep,-1,915854694,62
mark,-1,915858905,69075
sweep,-1,915948394,1726
concsweep,5,916013287,1548534
concsweep,1,916012783,1552581
concsweep,7,916013216,1553781
concsweep,3,916012233,1556022
concsweep,4,916012447,1556975
concsweep,6,916012995,1557277
concsweep,2,916012033,1565514
concsweep,0,915999492,1580517
collection,-1,915858877,1739336
sweep,-1,1567025954,202
mark,-1,1567026969,184396
sweep,-1,1567231250,1142
sweep,-1,1567252229,3062
sweep,-1,1567255849,39238
concsweep,5,1567297107,1536891
concsweep,6,1567297707,1538069
concsweep,1,1567296846,1543922
concsweep,7,1567296918,1546949
concsweep,3,1567297947,1547020
concsweep,4,1567297451,1549298
concsweep,2,1567298046,1552282
collection,-1,1567026941,1840632
concsweep,0,1567282482,1584805
sweep,-1,2216415306,144
mark,-1,2216415965,152835
sweep,-1,2216588030,1084
sweep,-1,2216590258,766
sweep,-1,2216614588,920
sweep,-1,2216641219,695
sweep,-1,2216650238,2038
concsweep,5,2216648291,1533566
concsweep,3,2216659586,1524515
concsweep,2,2216658434,1526321
concsweep,7,2216659366,1522565
concsweep,4,2216659684,1525299
concsweep,1,2216659135,1530533
concsweep,6,2216648158,1547977
concsweep,0,2216648268,1554627
collection,-1,2216415939,1809599
sweep,-1,2866082751,146
mark,-1,2866083394,95340
sweep,-1,2866197307,1010
concsweep,1,2866262770,1524552
concsweep,7,2866261941,1528861
concsweep,2,2866261957,1532407
concsweep,5,2866261986,1533281
concsweep,4,2866262191,1533614
concsweep,3,2866262870,1534928
concsweep,6,2866262525,1533342
concsweep,0,2866245136,1565136
collection,-1,2866083369,1734798
sweep,-1,3516128617,100
mark,-1,3516129115,113321
sweep,-1,3516259801,982
sweep,-1,3516280431,41225
concsweep,2,3516326051,1520197
concsweep,6,3516326356,1522264
concsweep,1,3516327278,1524044
concsweep,7,3516326653,1524936
concsweep,4,3516327150,1526584
concsweep,3,3516326076,1528625
concsweep,5,3516326954,1528468
concsweep,0,3516310551,1567682
collection,-1,3516129098,1767759
sweep,-1,4166250359,109
mark,-1,4166250911,98135
sweep,-1,4166366554,1190
sweep,-1,4166429214,2098
concsweep,4,4166431370,1530013
concsweep,1,4166431440,1531729
concsweep,2,4166432152,1532754
concsweep,6,4166432003,1534566
concsweep,5,4166432693,1535140
concsweep,7,4166432768,1536397
concsweep,3,4166432452,1535566
concsweep,0,4166419540,1564308
collection,-1,4166250888,1734658
sweep,-1,4816310378,212
mark,-1,4816311072,97407
sweep,-1,4816425299,942
concsweep,5,4816491784,1539023
concsweep,4,4816492895,1541221
concsweep,3,4816450235,1584701
concsweep,6,4816492219,1543379
concsweep,7,4816492020,1544876
concsweep,1,4816492507,1542689
concsweep,2,4816492791,1542906
concsweep,0,4816479184,1571272
collection,-1,4816311051,1769043
sweep,-1,5466343891,234
mark,-1,5466344626,80711
sweep,-1,5466443878,1219
sweep,-1,5466500189,6383
concsweep,3,5466507637,1526989
concsweep,7,5466508445,1527520
concsweep,1,5466507392,1527317
concsweep,2,5466508171,1531739
concsweep,6,5466508351,1531594
concsweep,5,5466507142,1533999
concsweep,4,5466506881,1545267
concsweep,0,5466495071,1564823
collection,-1,5466344605,1724777
sweep,-1,6118804397,237
mark,-1,6118805541,92697
sweep,-1,6118914768,1259
concsweep,3,6118999704,1533684
concsweep,2,6119000080,1534053
concsweep,1,6119001297,1538090
concsweep,4,6118936106,1604529
concsweep,7,6119000192,1541543
concsweep,6,6119001081,1541160
concsweep,5,6118999893,1542092
collection,-1,6118805519,1741060
concsweep,0,6118957100,1587819
sweep,-1,6769491688,169
mark,-1,6769492413,58991
sweep,-1,6769569748,1046
sweep,-1,6769588299,47227
concsweep,4,6769570755,1583876
concsweep,5,6769646158,1509269
concsweep,2,6769647601,1509455
concsweep,6,6769647223,1510865
concsweep,1,6769647185,1511372
concsweep,3,6769646790,1516155
concsweep,7,6769647514,1517732
collection,-1,6769492389,1680238
concsweep,0,6769624582,1547966
sweep,-1,7420618862,199
mark,-1,7420619702,173262
sweep,-1,7420813670,18239
concsweep,7,7420893304,1510533
concsweep,3,7420893136,1512076
concsweep,5,7420893165,1514434
concsweep,6,7420893512,1518186
concsweep,1,7420893748,1520739
concsweep,4,7420808983,1610725
concsweep,2,7420893656,1527484
concsweep,0,7420854513,1570488
collection,-1,7420619676,1822632
