event_type,gc_thread,start_ns,time_ns
sweep,-1,550041231,105
mark,-1,550046671,97883
sweep,-1,550163959,1611
sweep,-1,550166904,57322
concsweep,5,550233455,1589623
concsweep,1,550233023,1590412
concsweep,6,550232251,1593132
concsweep,3,550232387,1591428
concsweep,7,550232684,1595227
concsweep,4,550233234,1596481
concsweep,2,550233518,1596717
concsweep,0,550215889,1615962
collection,-1,550046642,1785605
sweep,-1,819397419,189
mark,-1,819397870,57620
sweep,-1,819470985,1142
sweep,-1,819488430,39864
concsweep,4,819538385,1556153
concsweep,1,819538477,1559803
concsweep,5,819537874,1561011
concsweep,2,819537746,1561520
concsweep,7,819538183,1563128
concsweep,6,819538633,1563793
concsweep,3,819537551,1568454
concsweep,0,819521608,1586748
collection,-1,819397844,1716559
sweep,-1,1088500277,178
mark,-1,1088500703,75324
sweep,-1,1088592013,1340
sweep,-1,1088617878,28935
concsweep,3,1088658475,1547750
concsweep,7,1088658356,1549252
concsweep,1,1088657847,1553401
concsweep,2,1088657671,1554051
concsweep,4,1088658038,1553847
concsweep,6,1088658700,1554881
concsweep,5,1088658231,1556036
concsweep,0,1088641723,1574210
collection,-1,1088500678,1716892
sweep,-1,1357510120,160
mark,-1,1357510565,133561
sweep,-1,1357660484,1120
sweep,-1,1357661886,53815
concsweep,2,1357725027,1527454
concsweep,3,1357726340,1527368
concsweep,4,1357726082,1528884
concsweep,1,1357725405,1533461
concsweep,6,1357725112,1534252
concsweep,5,1357725260,1536308
concsweep,7,1357726217,1537622
concsweep,0,1357709014,1556490
collection,-1,1357510541,1755769
sweep,-1,1626758278,178
mark,-1,1626758839,65692
sweep,-1,1626840166,1014
sweep,-1,1626842418,53800
concsweep,4,1626904308,1502354
concsweep,6,1626903552,1505639
concsweep,2,1626903100,1506633
concsweep,7,1626903257,1506848
concsweep,3,1626903712,1507141
concsweep,5,1626904179,1507896
concsweep,1,1626902391,1507523
concsweep,0,1626890042,1523039
collection,-1,1626758817,1658974
sweep,-1,1896132621,136
mark,-1,1896133024,106776
sweep,-1,1896251979,1015
sweep,-1,1896253427,55405
concsweep,3,1896320534,1496767
concsweep,6,1896320293,1499723
concsweep,5,1896319919,1501882
concsweep,4,1896320891,1502795
concsweep,7,1896320793,1501169
concsweep,1,1896319742,1506260
concsweep,2,1896320021,1503689
concsweep,0,1896303887,1523312
collection,-1,1896133002,1695346
sweep,-1,2165144293,181
mark,-1,2165144799,98005
sweep,-1,2165258630,1106
sweep,-1,2165260030,55086
concsweep,4,2165328355,1508645
concsweep,3,2165329054,1508488
concsweep,1,2165327262,1511145
concsweep,6,2165328672,1510423
concsweep,5,2165329237,1511759
concsweep,2,2165328102,1513549
concsweep,7,2165329324,1519067
concsweep,0,2165310249,1543958
collection,-1,2165144781,1712222
sweep,-1,2434326167,181
mark,-1,2434326767,53489
sweep,-1,2434396843,1091
sweep,-1,2434399079,55108
concsweep,2,2434461733,1482977
concsweep,1,2434462066,1487402
concsweep,3,2434462360,1488493
concsweep,4,2434462602,1489085
concsweep,5,2434463057,1486721
concsweep,7,2434462832,1490199
concsweep,6,2434463099,1491432
collection,-1,2434326749,1629404
concsweep,0,2434445141,1510869
sweep,-1,2703614866,193
mark,-1,2703615330,110983
sweep,-1,2703743152,1363
sweep,-1,2703798069,4628
concsweep,3,2703812967,1490445
concsweep,2,2703798454,1505563
concsweep,5,2703811910,1493796
concsweep,4,2703812485,1495468
concsweep,7,2703812289,1496169
concsweep,6,2703812818,1497677
concsweep,1,2703811166,1496998
concsweep,0,2703798316,1513811
collection,-1,2703615309,1698477
sweep,-1,2972680222,194
mark,-1,2972680725,75845
sweep,-1,2972771263,1188
sweep,-1,2972773745,53221
concsweep,5,2972835332,1475070
concsweep,7,2972834577,1477887
concsweep,6,2972835603,1481364
concsweep,3,2972835000,1482494
concsweep,2,2972834708,1483229
concsweep,1,2972834436,1485057
concsweep,0,2972821786,1498928
concsweep,4,2972835525,1482361
collection,-1,2972680702,1640422
sweep,-1,3241678945,189
mark,-1,3241679465,120507
sweep,-1,3241816155,1156
sweep,-1,3241835307,702
sweep,-1,3241856411,11396
concsweep,2,3241877278,1501600
concsweep,6,3241878099,1501605
concsweep,4,3241878710,1504484
concsweep,1,3241877913,1508127
concsweep,3,3241878403,1504835
concsweep,0,3241863850,1523507
concsweep,5,3241877595,1508335
collection,-1,3241679446,1714064
concsweep,7,3241878628,1504914
sweep,-1,3510653808,214
mark,-1,3510654346,47055
sweep,-1,3510717806,1365
sweep,-1,3510721033,53700
concsweep,1,3510778640,1474306
concsweep,5,3510778896,1475329
concsweep,3,3510779778,1476633
concsweep,4,3510779300,1478498
concsweep,2,3510779520,1476984
concsweep,7,3510779059,1480905
concsweep,6,3510779857,1482748
concsweep,0,3510767435,1496488
collection,-1,3510654325,1611794
sweep,-1,3779653315,190
mark,-1,3779653983,60353
sweep,-1,3779729423,1404
sweep,-1,3779732141,54940
concsweep,6,3779792482,1474393
concsweep,2,3779792950,1474756
concsweep,4,3779793534,1475184
concsweep,3,3779793680,1474093
concsweep,1,3779792627,1480161
concsweep,7,3779794091,1480195
concsweep,5,3779792828,1482552
collection,-1,3779653963,1623708
concsweep,0,3779779774,1497877
sweep,-1,4048451863,192
mark,-1,4048452344,58287
sweep,-1,4048526854,1184
sweep,-1,4048546831,39304
concsweep,1,4048602727,1477079
concsweep,6,4048602192,1478556
concsweep,7,4048602681,1479877
concsweep,4,4048602033,1478994
concsweep,3,4048602405,1482677
concsweep,5,4048601457,1486198
concsweep,2,4048601826,1489258
collection,-1,4048452324,1640434
concsweep,0,4048564307,1528376
sweep,-1,4316989610,193
mark,-1,4316990149,46582
sweep,-1,4317053156,1473
sweep,-1,4317054885,51897
concsweep,3,4317119764,1493169
concsweep,1,4317119027,1495422
concsweep,7,4317119851,1495473
concsweep,5,4317119692,1497847
concsweep,2,4317118394,1501051
concsweep,6,4317118766,1501682
concsweep,4,4317119389,1498105
concsweep,0,4317101689,1520477
collection,-1,4316990126,1632122
sweep,-1,4585837088,199
mark,-1,4585837565,55132
sweep,-1,4585908894,1050
sweep,-1,4585927485,648
concsweep,3,4585974523,1496277
concsweep,6,4585973505,1499533
concsweep,1,4585973991,1501267
concsweep,7,4585974200,1501873
concsweep,2,4585973625,1505001
concsweep,5,4585973792,1505240
concsweep,4,4585974414,1507752
concsweep,0,4585958940,1524599
collection,-1,4585837546,1652102
sweep,-1,4854813294,195
mark,-1,4854813778,51219
sweep,-1,4854879808,1243
sweep,-1,4854903531,35448
concsweep,2,4854953758,1485697
concsweep,7,4854952815,1489166
concsweep,3,4854952201,1490464
concsweep,1,4854953195,1491263
concsweep,6,4854953921,1490807
concsweep,4,4854953034,1492142
concsweep,5,4854953511,1492674
collection,-1,4854813759,1634010
concsweep,0,4854932671,1515178
sweep,-1,5123753458,186
mark,-1,5123753936,72927
sweep,-1,5123842274,1135
sweep,-1,5123844814,54630
concsweep,7,5123912735,1477682
concsweep,3,5123912577,1479394
concsweep,5,5123912121,1480840
concsweep,6,5123911319,1482172
concsweep,4,5123912931,1477630
concsweep,1,5123912441,1480833
concsweep,2,5123912220,1489377
collection,-1,5123753916,1649701
concsweep,0,5123894096,1509395
sweep,-1,5392616185,202
mark,-1,5392616654,46999
sweep,-1,5392680020,1138
sweep,-1,5392703501,30014
concsweep,2,5392746490,1484960
concsweep,1,5392747522,1485145
concsweep,7,5392747070,1486213
concsweep,5,5392746685,1487627
concsweep,6,5392746814,1488469
concsweep,3,5392747178,1489474
concsweep,4,5392747292,1492178
concsweep,0,5392729487,1514072
collection,-1,5392616635,1632186
sweep,-1,5662206477,180
mark,-1,5662206957,53538
sweep,-1,5662275789,1270
sweep,-1,5662278476,55230
concsweep,5,5662337459,1486001
concsweep,2,5662338230,1487315
concsweep,3,5662338405,1488361
concsweep,7,5662337865,1490212
concsweep,1,5662338524,1491354
concsweep,6,5662337987,1492118
concsweep,4,5662339031,1492357
collection,-1,5662206937,1625195
concsweep,0,5662324867,1507565
sweep,-1,5931858778,212
mark,-1,5931859246,118493
sweep,-1,5931991022,1206
sweep,-1,5931992726,54089
concsweep,1,5932059192,1472776
concsweep,3,5932058415,1474591
concsweep,4,5932059436,1474979
concsweep,5,5932058741,1478583
concsweep,6,5932059620,1479042
concsweep,2,5932057668,1482594
concsweep,7,5932058978,1486186
concsweep,0,5932041804,1504305
collection,-1,5931859226,1687574
sweep,-1,6201218765,516
mark,-1,6201219626,64748
sweep,-1,6201301314,1396
sweep,-1,6201304135,53061
concsweep,4,6201364214,1485649
concsweep,5,6201363958,1488579
concsweep,6,6201364326,1490542
concsweep,3,6201363718,1491542
concsweep,2,6201363079,1493170
concsweep,1,6201363791,1491409
concsweep,7,6201364054,1498543
concsweep,0,6201349541,1514639
collection,-1,6201219601,1647631
sweep,-1,6470459925,207
mark,-1,6470460576,62537
sweep,-1,6470539452,1190
sweep,-1,6470557373,604
sweep,-1,6470582167,718
sweep,-1,6470591701,579
concsweep,6,6470601146,1490927
concsweep,7,6470601018,1491481
concsweep,3,6470601290,1493524
concsweep,5,6470600901,1495385
concsweep,4,6470601514,1495833
concsweep,1,6470600433,1499043
concsweep,2,6470600776,1499518
concsweep,0,6470588086,1513263
collection,-1,6470460555,1642908
sweep,-1,6739653677,191
mark,-1,6739654247,45810
sweep,-1,6739716856,1073
sweep,-1,6739730433,43774
concsweep,2,6739777637,1480120
concsweep,1,6739778137,1479710
concsweep,7,6739778413,1484245
concsweep,5,6739778291,1485941
concsweep,3,6739778650,1486141
concsweep,6,6739778923,1486648
concsweep,0,6739766509,1501210
concsweep,4,6739778903,1486707
collection,-1,6739654229,1618519
sweep,-1,7008784628,191
mark,-1,7008785103,49273
sweep,-1,7008849411,1441
sweep,-1,7008852201,54290
concsweep,3,7008915895,1492841
concsweep,6,7008916011,1495381
concsweep,7,7008915352,1498130
concsweep,4,7008915541,1498526
concsweep,5,7008915763,1499822
concsweep,1,7008914932,1501568
concsweep,2,7008915122,1501973
concsweep,0,7008898682,1519990
collection,-1,7008785082,1637436
sweep,-1,7277876149,188
mark,-1,7277876639,56122
sweep,-1,7277948346,1103
sweep,-1,7277950814,52674
concsweep,1,7278012825,1480025
concsweep,4,7278013950,1484060
concsweep,5,7278013256,1486278
concsweep,6,7278014272,1486370
concsweep,3,7278013658,1484442
concsweep,7,7278014162,1485573
concsweep,0,7277996513,1507635
concsweep,2,7278013457,1489325
collection,-1,7277876611,1637967
sweep,-1,7546907108,193
mark,-1,7546907674,53944
sweep,-1,7546977271,1133
sweep,-1,7546979800,53778
concsweep,5,7547043047,1480708
concsweep,2,7547042879,1481956
concsweep,1,7547042656,1483090
concsweep,4,7547043867,1484159
concsweep,6,7547043514,1485342
concsweep,3,7547043411,1482438
concsweep,7,7547042312,1487531
concsweep,0,7547026395,1504291
collection,-1,7546907648,1623621
sweep,-1,7815794903,189
mark,-1,7815795405,45422
sweep,-1,7815856971,1176
sweep,-1,7815861408,50744
concsweep,6,7815923853,1474710
concsweep,1,7815923479,1478322
concsweep,4,7815923734,1474920
concsweep,2,7815923051,1480728
concsweep,7,7815922788,1479294
concsweep,3,7815922594,1485920
concsweep,5,7815923291,1487469
concsweep,0,7815905828,1506146
collection,-1,7815795385,1620363
sweep,-1,8084714574,145
mark,-1,8084715011,60489
sweep,-1,8084791356,1375
sweep,-1,8084793701,54348
concsweep,1,8084855647,1478924
concsweep,6,8084855976,1481319
concsweep,2,8084855098,1483764
concsweep,4,8084856330,1481181
concsweep,7,8084856521,1484688
concsweep,5,8084856712,1482348
concsweep,3,8084855863,1491712
concsweep,0,8084841861,1507154
collection,-1,8084714992,1635998
sweep,-1,8353817094,131
mark,-1,8353817501,77491
sweep,-1,8353910342,1260
sweep,-1,8353912736,54595
concsweep,2,8353981588,1481125
concsweep,6,8353982243,1481871
concsweep,3,8353981634,1483012
concsweep,4,8353982619,1485597
concsweep,1,8353982493,1486547
concsweep,7,8353982189,1487656
concsweep,5,8353981880,1487372
collection,-1,8353817481,1656083
concsweep,0,8353961798,1511664
sweep,-1,8622650357,204
mark,-1,8622650911,79970
sweep,-1,8622746690,1061
sweep,-1,8622748434,53229
concsweep,6,8622809612,1480848
concsweep,3,8622809228,1483540
concsweep,4,8622809435,1483556
concsweep,2,8622808279,1488517
concsweep,5,8622808526,1487915
concsweep,1,8622808368,1489290
concsweep,7,8622809785,1496598
collection,-1,8622650891,1657735
concsweep,0,8622796329,1512332
sweep,-1,8891727282,194
mark,-1,8891727796,72592
sweep,-1,8891816215,1134
