event_type,gc_thread,start_ns,time_ns
sweep,-1,1823109,49
mark,-1,1824468,16875
sweep,-1,1851137,921
sweep,-1,1887580,1825
concsweep,4,1851547,43938
concsweep,4,1896531,88
concsweep,4,1897061,75
concsweep,4,1897446,75
concsweep,4,1897761,200
concsweep,0,1894827,3108
concsweep,4,1898260,73
concsweep,4,1900371,75
collection,-1,1824441,91723
sweep,-1,2630097,63
mark,-1,2630382,11129
concsweep,4,2650579,7726
sweep,-1,2656397,3042
concsweep,6,2659369,207
concsweep,4,2660927,147
concsweep,5,2657914,194
concsweep,2,2661272,218
concsweep,3,2653899,11399
concsweep,7,2656105,11564
concsweep,0,2650147,19052
collection,-1,2630355,42415
sweep,-1,3384360,27
mark,-1,3384491,13181
concsweep,2,3409705,75
concsweep,2,3410442,111
concsweep,2,3410929,128
concsweep,5,3411137,97
concsweep,4,3404864,9936
sweep,-1,3409093,6178
concsweep,1,3408258,10664
concsweep,6,3408480,11425
concsweep,0,3404572,16791
collection,-1,3384467,38129
sweep,-1,4138215,26
mark,-1,4138407,8558
concsweep,7,4159653,133
concsweep,7,4160605,82
concsweep,4,4160453,113
concsweep,1,4163120,135
sweep,-1,4160278,3281
concsweep,2,4155280,10289
concsweep,3,4156491,9611
concsweep,5,4158123,11087
concsweep,0,4153728,17065
collection,-1,4138378,34258
sweep,-1,4887444,33
mark,-1,4887626,9645
concsweep,1,4909956,73
concsweep,1,4910657,133
concsweep,1,4911034,73
concsweep,2,4911578,153
sweep,-1,4910601,3803
concsweep,7,4905332,9945
concsweep,4,4906045,9725
concsweep,6,4908356,11356
collection,-1,4887603,33531
concsweep,0,4903892,17050
sweep,-1,5636989,26
mark,-1,5637274,10048
concsweep,5,5659257,93
concsweep,5,5659988,105
concsweep,5,5660674,128
concsweep,7,5660794,124
sweep,-1,5659308,1994
concsweep,1,5655170,10148
concsweep,2,5656462,9786
concsweep,3,5657582,10963
concsweep,0,5653901,16422
collection,-1,5637257,38421
sweep,-1,6390084,26
mark,-1,6390250,9094
concsweep,6,6413385,94
concsweep,6,6414135,127
concsweep,6,6414496,75
sweep,-1,6413963,967
concsweep,1,6415448,134
concsweep,4,6407718,9728
concsweep,5,6410332,9785
concsweep,7,6412072,11017
concsweep,0,6406968,17201
collection,-1,6390232,37800
sweep,-1,7137938,19
mark,-1,7138066,10263
concsweep,3,7160792,134
concsweep,3,7161599,72
concsweep,3,7162086,73
concsweep,4,7161999,106
sweep,-1,7161751,3572
concsweep,6,7156607,10233
concsweep,1,7157958,9757
concsweep,2,7159463,11465
collection,-1,7138049,34657
concsweep,0,7155097,17491
sweep,-1,7886391,35
mark,-1,7886676,8827
concsweep,7,7908518,73
concsweep,6,7910337,87
sweep,-1,7909169,3434
collection,-1,7886659,143747
concsweep,1,7911931,124
concsweep,2,7913351,208
concsweep,3,7903450,9978
concsweep,4,7904563,9580
concsweep,5,7906857,10368
concsweep,0,7902195,16349
sweep,-1,8756378,19
mark,-1,8756705,9702
concsweep,2,8778741,149
concsweep,2,8779796,182
concsweep,3,8779725,200
concsweep,4,8780636,148
sweep,-1,8778646,4634
concsweep,7,8774980,9844
concsweep,6,8776062,10158
concsweep,1,8777175,11074
concsweep,0,8773088,16841
collection,-1,8756684,33547
sweep,-1,9506546,31
mark,-1,9506697,8934
concsweep,5,9528277,86
concsweep,5,9528925,124
concsweep,5,9529341,74
concsweep,7,9530014,144
sweep,-1,9528854,3652
concsweep,2,9523873,9755
concsweep,3,9524881,10052
concsweep,4,9525636,10246
concsweep,0,9522300,14868
collection,-1,9506679,32399
sweep,-1,10262867,45
mark,-1,10263088,10914
concsweep,1,10287968,74
concsweep,1,10288773,74
concsweep,1,10289137,74
concsweep,2,10289742,162
sweep,-1,10288283,3694
concsweep,5,10282937,9640
concsweep,7,10284725,10038
concsweep,6,10286256,11442
concsweep,0,10281247,17644
collection,-1,10263066,36099
sweep,-1,11018006,20
mark,-1,11018128,8981
concsweep,4,11038964,93
concsweep,4,11039729,72
concsweep,4,11040040,75
concsweep,4,11040343,73
sweep,-1,11040624,3243
concsweep,1,11035176,9916
concsweep,3,11036281,9490
concsweep,2,11038121,11170
concsweep,0,11033772,17223
collection,-1,11018105,35093
sweep,-1,11768803,19
mark,-1,11768915,9482
concsweep,6,11790438,86
concsweep,6,11791245,160
concsweep,6,11791844,70
concsweep,1,11792059,151
concsweep,4,11785395,9649
sweep,-1,11790531,4979
concsweep,5,11787912,10006
concsweep,7,11788833,10833
concsweep,0,11785191,15775
collection,-1,11768898,35591
sweep,-1,12521731,18
mark,-1,12521866,8767
concsweep,2,12543636,87
concsweep,2,12544388,74
concsweep,4,12544399,87
concsweep,2,12544753,75
sweep,-1,12544392,3187
concsweep,6,12538982,9956
concsweep,3,12540241,9578
concsweep,1,12542197,11083
concsweep,0,12537283,17151
collection,-1,12521847,33967
sweep,-1,13268327,19
mark,-1,13268438,9399
concsweep,7,13291352,91
concsweep,7,13291988,75
concsweep,7,13292385,77
concsweep,6,13293054,151
sweep,-1,13292010,3040
concsweep,4,13285517,9893
concsweep,2,13288026,9692
concsweep,5,13289602,11553
concsweep,0,13284811,17813
collection,-1,13268419,34991
sweep,-1,14019136,18
mark,-1,14019263,8665
concsweep,1,14039830,74
concsweep,4,14040369,86
concsweep,1,14040566,75
concsweep,2,14042740,145
sweep,-1,14039916,4950
collection,-1,14019240,53812
concsweep,7,14035653,9985
concsweep,3,14036606,9926
concsweep,6,14038263,9935
concsweep,0,14034409,15126
sweep,-1,14799174,36
mark,-1,14799487,9501
concsweep,2,14823420,74
concsweep,2,14824090,73
concsweep,2,14824410,123
concsweep,7,14825024,150
sweep,-1,14823626,3369
concsweep,4,14817147,9758
concsweep,1,14819996,9583
concsweep,5,14821491,10963
concsweep,0,14816357,17128
collection,-1,14799469,36176
sweep,-1,15553736,29
mark,-1,15553890,7986
concsweep,6,15574917,93
concsweep,4,15575517,156
concsweep,6,15575834,76
sweep,-1,15575505,2491
concsweep,1,15578191,73
concsweep,2,15570360,10099
concsweep,3,15571337,9801
concsweep,7,15573063,10945
concsweep,0,15568588,16881
collection,-1,15553872,38247
sweep,-1,16301686,28
mark,-1,16301849,8628
concsweep,5,16323392,88
concsweep,5,16324000,73
concsweep,5,16324344,74
concsweep,5,16324648,75
concsweep,4,16317773,9516
sweep,-1,16324151,3809
concsweep,6,16320241,9564
concsweep,1,16321876,11063
concsweep,0,16317238,16812
collection,-1,16301831,32926
sweep,-1,17050259,28
mark,-1,17050409,8683
concsweep,7,17071122,87
concsweep,7,17071878,80
concsweep,4,17071745,88
concsweep,6,17074041,144
sweep,-1,17071347,4570
concsweep,2,17067330,9800
concsweep,5,17068361,9935
concsweep,3,17069403,10523
concsweep,0,17065617,15857
collection,-1,17050391,32004
sweep,-1,17798233,33
mark,-1,17798368,8851
concsweep,1,17820241,75
concsweep,1,17820956,73
concsweep,1,17821273,72
sweep,-1,17820775,1152
concsweep,2,17821770,156
concsweep,7,17815354,9585
concsweep,4,17816104,10002
concsweep,6,17818470,11064
concsweep,0,17813862,17095
collection,-1,17798351,37527
sweep,-1,18560834,33
mark,-1,18560995,8542
concsweep,2,18584023,74
concsweep,2,18584679,73
concsweep,2,18584991,74
sweep,-1,18584427,965
concsweep,7,18585536,149
concsweep,1,18578919,9929
concsweep,5,18580768,10563
concsweep,3,18581482,10952
concsweep,0,18576904,17102
collection,-1,18560977,38334
sweep,-1,19308580,19
mark,-1,19308695,8505
concsweep,6,19329037,86
concsweep,6,19329725,73
concsweep,6,19330134,72
concsweep,1,19330579,122
sweep,-1,19329252,4674
concsweep,2,19325189,9793
concsweep,7,19326243,9575
concsweep,4,19327690,10752
concsweep,0,19323596,15901
collection,-1,19308676,31732
sweep,-1,20058404,20
mark,-1,20058530,9311
concsweep,3,20080318,87
concsweep,3,20080923,73
concsweep,3,20081238,75
concsweep,3,20081541,118
sweep,-1,20081483,3371
concsweep,6,20075904,9604
concsweep,1,20077574,10199
concsweep,5,20078903,10287
concsweep,0,20074460,16144
collection,-1,20058512,32891
sweep,-1,20890361,19
mark,-1,20890536,9213
concsweep,4,20912518,88
concsweep,4,20913230,73
concsweep,4,20913602,73
concsweep,4,20913907,73
sweep,-1,20913401,3664
concsweep,3,20907592,9639
concsweep,2,20909681,9997
concsweep,7,20910967,10586
concsweep,0,20906494,16436
collection,-1,20890517,33741
sweep,-1,21639905,20
mark,-1,21640046,8333
concsweep,5,21661313,87
concsweep,5,21662003,73
concsweep,5,21662464,167
concsweep,3,21662853,195
sweep,-1,21662178,3267
concsweep,6,21656755,9924
concsweep,4,21658201,9628
concsweep,1,21659734,11129
concsweep,0,21655133,16954
collection,-1,21640027,33072
sweep,-1,22395927,19
mark,-1,22396049,9763
concsweep,7,22418104,86
concsweep,7,22418762,74
concsweep,7,22419078,72
concsweep,7,22419440,75
sweep,-1,22418521,2081
concsweep,5,22414034,10039
concsweep,3,22415276,10069
concsweep,2,22417356,10459
concsweep,0,22412896,16377
collection,-1,22396031,38571
sweep,-1,23142941,33
mark,-1,23143076,8619
concsweep,1,23164562,74
concsweep,1,23165249,76
concsweep,1,23165564,123
concsweep,5,23166257,144
sweep,-1,23165478,3121
concsweep,7,23159748,9603
concsweep,6,23161440,9766
concsweep,4,23163033,11368
concsweep,0,23158360,17651
collection,-1,23143058,39981
sweep,-1,23892830,19
mark,-1,23892975,8844
concsweep,2,23914603,87
concsweep,2,23915210,75
concsweep,2,23915596,139
concsweep,7,23916322,167
sweep,-1,23915516,3221
concsweep,1,23909943,10160
concsweep,5,23911443,9570
concsweep,3,23912735,10778
concsweep,0,23908481,16320
collection,-1,23892957,33260
sweep,-1,24640794,22
mark,-1,24640910,8873
concsweep,4,24661519,89
concsweep,4,24662147,74
concsweep,4,24662452,75
concsweep,4,24662802,73
sweep,-1,24661772,5067
concsweep,2,24657704,9719
concsweep,7,24658842,10340
concsweep,6,24660257,10390
concsweep,0,24656304,16134
collection,-1,24640893,34161
sweep,-1,25393067,18
mark,-1,25393175,8812
concsweep,3,25413691,87
concsweep,3,25414367,74
concsweep,3,25414672,75
concsweep,3,25415021,74
sweep,-1,25414117,4692
concsweep,1,25409975,9935
concsweep,4,25411111,9575
concsweep,5,25412677,10373
concsweep,0,25408397,15873
collection,-1,25393156,32634
sweep,-1,26139500,25
mark,-1,26139650,8437
concsweep,6,26160798,87
concsweep,6,26161396,76
concsweep,6,26161715,74
concsweep,6,26162156,76
sweep,-1,26161872,3091
concsweep,2,26156253,9695
concsweep,3,26157383,9561
concsweep,7,26159222,10830
concsweep,0,26154701,16409
collection,-1,26139632,32492
sweep,-1,26893953,19
mark,-1,26894071,8858
concsweep,5,26917023,87
concsweep,2,26918838,156
concsweep,3,26920108,152
concsweep,7,26922139,147
concsweep,1,26912470,9832
concsweep,6,26913403,10003
concsweep,4,26915189,10946
concsweep,0,26910118,17420
collection,-1,26894049,37808
sweep,-1,27773868,20
mark,-1,27774011,8524
concsweep,7,27794296,86
concsweep,7,27795112,74
concsweep,7,27795540,180
concsweep,1,27796056,128
sweep,-1,27794305,3124
concsweep,5,27790890,9617
concsweep,2,27791812,10486
concsweep,3,27792818,10756
concsweep,0,27788985,15830
collection,-1,27773993,31312
sweep,-1,28523825,18
mark,-1,28523966,9672
concsweep,4,28546539,88
concsweep,4,28547228,76
