timestamp_us,collection,mark_time_us,sweep_time_us
1539652679432653,0,32,15
1539652679447921,1,10,8
1539652679462588,2,9,8
1539652679477283,3,9,7
1539652679491966,4,8,8
1539652679506925,5,7,8
1539652679521923,6,8,7
1539652679536689,7,8,7
1539652679551437,8,7,8
1539652679566222,9,13,8
1539652679581489,10,8,8
1539652679596444,11,7,8
1539652679611279,12,9,7
1539652679626145,13,8,7
1539652679640893,14,8,7
1539652679655814,15,8,7
1539652679670805,16,7,8
1539652679685633,17,7,8
1539652679700395,18,7,7
1539652679715160,19,9,7
1539652679729987,20,8,7
1539652679744803,21,7,7
1539652679759922,22,8,7
1539652679774999,23,7,8
1539652679790069,24,8,7
1539652679804828,25,7,8
1539652679819667,26,7,7
1539652679834484,27,7,7
1539652679849292,28,7,8
1539652679864100,29,7,8
1539652679878960,30,8,7
1539652679893807,31,8,8
1539652679908619,32,7,8
1539652679923448,33,8,7
1539652679938264,34,8,7
1539652679953017,35,8,8
1539652679967819,36,7,7
1539652679982867,37,7,8
1539652679997811,38,7,8
1539652680020325,39,36,31
1539652680035717,40,15,8
1539652680050962,41,18,10
1539652680065997,42,8,9
1539652680081166,43,8,8
1539652680095998,44,8,7
1539652680110745,45,8,7
1539652680125819,46,8,7
1539652680140752,47,8,7
1539652680155680,48,8,7
1539652680170878,49,8,7
1539652680186135,50,8,8
1539652680201107,51,7,9
1539652680215958,52,8,7
1539652680230755,53,7,7
1539652680245523,54,8,7
1539652680260451,55,7,8
1539652680275248,56,7,8
1539652680290196,57,8,7
1539652680305275,58,7,8
1539652680320346,59,7,8
1539652680335263,60,7,8
1539652680350159,61,7,7
1539652680365030,62,8,8
1539652680379905,63,7,7
1539652680394735,64,7,7
1539652680409536,65,7,7
1539652680424348,66,8,7
1539652680439298,67,7,7
1539652680454133,68,8,7
1539652680468909,69,7,8
1539652680483751,70,8,7
1539652680498572,71,7,7
1539652680513386,72,8,8
1539652680528149,73,7,8
1539652680542958,74,8,7
1539652680557796,75,7,7
1539652680572577,76,7,7
1539652680587367,77,7,8
1539652680602183,78,7,7
1539652680617331,79,7,8
1539652680632326,80,7,8
1539652680647197,81,7,8
1539652680662021,82,7,7
1539652680676825,83,7,8
1539652680691668,84,8,7
1539652680706488,85,7,7
1539652680721301,86,7,7
1539652680736142,87,7,8
1539652680750991,88,7,7
1539652680765792,89,8,7
1539652680780623,90,8,7
1539652680795410,91,7,7
1539652680810187,92,7,8
1539652680825082,93,7,8
1539652680839908,94,8,7
1539652680854902,95,7,7
1539652680870116,96,7,8
1539652680885091,97,7,7
1539652680900128,98,7,7
1539652680915097,99,7,8
1539652680930292,100,7,8
1539652680945326,101,8,7
1539652680960184,102,7,7
1539652680974997,103,8,7
1539652680989814,104,7,7
1539652681005581,105,35,30
1539652681020965,106,35,30
1539652681036578,107,29,16
1539652681052102,108,19,10
1539652681067357,109,8,8
1539652681082397,110,8,8
1539652681097244,111,7,8
1539652681112055,112,8,8
1539652681127157,113,7,7
1539652681142169,114,7,8
1539652681157089,115,7,8
1539652681171942,116,8,8
1539652681186878,117,7,8
1539652681201704,118,7,8
1539652681216482,119,7,7
1539652681231335,120,8,8
1539652681246182,121,8,7
1539652681261352,122,8,7
1539652681276563,123,7,8
1539652681291608,124,7,7
1539652681306494,125,7,8
1539652681321357,126,7,8
1539652681336323,127,8,7
1539652681351359,128,8,7
1539652681366516,129,7,8
1539652681381581,130,8,8
1539652681396446,131,8,7
1539652681411282,132,8,7
1539652681426068,133,7,8
1539652681440928,134,8,7
1539652681455948,135,8,9
1539652681470876,136,8,7
1539652681485711,137,8,7
1539652681500662,138,7,8
1539652681515596,139,7,8
1539652681530427,140,7,8
1539652681545249,141,7,7
1539652681560078,142,7,8
1539652681575041,143,7,8
1539652681590172,144,8,8
1539652681605083,145,8,7
1539652681620087,146,8,8
1539652681635267,147,8,8
1539652681650384,148,7,8
1539652681665225,149,7,7
1539652681680032,150,8,7
1539652681694894,151,8,8
1539652681709679,152,8,7
1539652681724703,153,8,8
1539652681739503,154,7,8
1539652681754617,155,8,7
1539652681769619,156,8,7
1539652681784613,157,8,8
1539652681799436,158,7,7
1539652681814282,159,7,9
1539652681829215,160,8,7
1539652681844066,161,7,7
1539652681858873,162,7,8
1539652681873699,163,7,8
1539652681888628,164,7,8
1539652681903657,165,8,8
1539652681918732,166,8,7
1539652681933619,167,8,7
1539652681948394,168,8,7
1539652681963392,169,7,8
1539652681978424,170,7,8
1539652681993313,171,8,8
1539652682013794,172,59,43
1539652682030612,173,35,14
1539652682046577,174,29,15
1539652682061900,175,11,8
1539652682077200,176,8,8
1539652682092308,177,9,8
1539652682107323,178,8,9
1539652682122544,179,8,8
1539652682137604,180,8,9
1539652682152720,181,8,8
1539652682167750,182,7,8
1539652682182779,183,8,8
1539652682197738,184,7,8
1539652682212673,185,8,8
1539652682227678,186,7,8
1539652682242461,187,7,8
1539652682257290,188,7,8
1539652682272078,189,7,8
1539652682286919,190,7,8
1539652682301884,191,7,8
1539652682316846,192,8,8
1539652682331635,193,7,8
1539652682346450,194,7,7
1539652682361253,195,7,8
1539652682376051,196,7,8
1539652682390854,197,7,8
1539652682405678,198,8,8
1539652682420513,199,8,8
1539652682435351,200,8,7
1539652682450242,201,8,7
1539652682465127,202,8,7
1539652682480088,203,7,8
1539652682494968,204,7,8
1539652682509826,205,8,8
1539652682524634,206,8,7
1539652682539628,207,8,7
1539652682554494,208,8,8
