timestamp_us,collection,mark_time_us,sweep_time_us
1539581436969847,0,86,43
1539581436972941,1,69,35
1539581436975921,2,71,19
1539581436977415,3,44,21
1539581436978917,4,29,21
1539581436983526,5,55,93
1539581436986690,6,54,58
1539581436989829,7,55,55
1539581436992915,8,66,59
1539581436995913,9,66,53
1539581436999005,10,75,53
1539581437002098,11,77,102
1539581437005501,12,82,86
1539581437008698,13,135,83
1539581437012020,14,102,102
1539581437015151,15,99,94
1539581437018298,16,82,89
1539581437021518,17,68,80
1539581437024753,18,78,92
1539581437028074,19,88,93
1539581437031234,20,74,94
1539581437034514,21,69,88
1539581437037823,22,85,63
1539581437041053,23,69,57
1539581437044295,24,47,51
1539581437047387,25,130,57
1539581437050473,26,133,56
1539581437059673,27,84,234
1539581437065891,28,85,219
1539581437072213,29,75,217
1539581437078593,30,78,217
1539581437084922,31,73,220
1539581437091180,32,90,218
1539581437097572,33,81,217
1539581437103961,34,72,223
1539581437110202,35,101,213
1539581437116563,36,76,221
1539581437122894,37,71,231
1539581437129206,38,83,218
1539581437135447,39,99,214
1539581437141831,40,71,215
1539581437148213,41,228,218
1539581437154457,42,86,215
1539581437160819,43,77,214
1539581437167149,44,83,219
1539581437173377,45,81,216
1539581437179712,46,197,222
1539581437186156,47,196,219
1539581437192565,48,101,213
1539581437198758,49,84,236
1539581437205244,50,84,215
1539581437211652,51,107,216
1539581437217908,52,77,218
1539581437224230,53,68,217
1539581437230597,54,72,215
1539581437236946,55,87,219
1539581437243193,56,83,219
1539581437249590,57,125,218
1539581437255992,58,85,218
1539581437262235,59,72,217
1539581437268601,60,82,218
1539581437274952,61,101,216
1539581437281279,62,71,221
1539581437287525,63,76,217
1539581437294026,64,89,217
1539581437300415,65,87,218
1539581437306667,66,75,218
1539581437313045,67,83,222
1539581437319375,68,159,222
1539581437325780,69,72,219
1539581437332124,70,78,219
1539581437338469,71,101,210
1539581437344828,72,100,216
1539581437351083,73,73,216
1539581437357499,74,75,219
1539581437363882,75,102,219
1539581437370116,76,80,217
1539581437376418,77,188,223
1539581437382834,78,215,218
1539581437389259,79,201,219
1539581437395582,80,81,218
1539581437401980,81,84,218
1539581437408335,82,77,215
1539581437414599,83,67,215
1539581437420959,84,89,216
1539581437427298,85,102,217
1539581437433618,86,80,239
1539581437439891,87,97,216
1539581437446236,88,195,221
1539581437452677,89,84,217
1539581437458955,90,91,217
1539581437465316,91,72,219
1539581437471686,92,93,219
1539581437477962,93,74,219
1539581437484260,94,63,218
1539581437490739,95,79,232
1539581437497138,96,73,219
1539581437503417,97,123,224
1539581437509842,98,204,223
1539581437516248,99,183,222
1539581437522587,100,196,220
1539581437528952,101,68,218
1539581437535334,102,84,217
1539581437541785,103,94,217
1539581437548125,104,100,217
1539581437554470,105,85,216
1539581437560833,106,84,215
1539581437567113,107,86,218
1539581437573510,108,96,220
1539581437579921,109,217,226
1539581437586435,110,83,219
