timestamp_us,collection,mark_time_us,sweep_time_us
1539590872030337,0,3356,43
1539590872036839,1,5749,68
1539590872046888,2,8923,183
1539590872057960,3,1815,644
1539590872069481,4,1752,498
1539590872075930,5,1731,527
1539590872082330,6,1935,522
1539590872089581,7,1978,522
1539590872096369,8,1954,520
1539590872103218,9,1974,520
1539590872110722,10,1953,519
1539590872117639,11,1912,520
1539590872124721,12,1906,538
1539590872131630,13,1914,515
1539590872138468,14,2085,505
1539590872145161,15,2152,498
1539590872151748,16,2728,478
1539590872159173,17,2358,490
1539590872166071,18,2439,487
1539590872173167,19,4697,464
1539590872199175,20,1783,1078
1539590872212496,21,1822,1095
1539590872225916,22,1879,1080
1539590872238753,23,1864,1077
1539590872252615,24,1904,1082
1539590872266133,25,2125,1065
1539590872278796,26,3252,1055
1539590872292453,27,6166,1005
1539590872309193,28,1806,1070
1539590872321408,29,1775,1063
1539590872334216,30,1811,1063
1539590872347536,31,1757,1057
1539590872360608,32,1851,1086
1539590872373784,33,2087,1039
1539590872387657,34,3027,1033
1539590872400977,35,6072,996
1539590872417196,36,1762,1107
1539590872429932,37,1830,1064
1539590872443089,38,1842,1063
1539590872456462,39,1800,1088
1539590872470369,40,1908,1063
1539590872483724,41,2069,1049
1539590872497542,42,3085,1043
1539590872511886,43,6093,998
1539590872529630,44,1785,1037
1539590872542837,45,1758,1063
1539590872555946,46,1752,1067
1539590872568964,47,1765,1078
1539590872581956,48,1875,1050
1539590872595139,49,2107,1052
1539590872608579,50,3008,1020
1539590872621743,51,6145,989
1539590872637804,52,1800,1061
1539590872650760,53,1774,1070
1539590872663992,54,1752,1060
1539590872677280,55,1846,1053
1539590872691157,56,1851,1056
1539590872703972,57,2064,1077
1539590872717766,58,3034,1039
1539590872731372,59,6086,989
1539590872747721,60,1754,1058
1539590872760351,61,1801,1084
1539590872773014,62,1774,1077
1539590872786157,63,1823,1049
1539590872799828,64,1823,1063
1539590872813117,65,2088,1043
1539590872826481,66,3035,1031
1539590872839776,67,5989,982
1539590872855369,68,1731,1058
1539590872868572,69,1758,1075
1539590872881441,70,1782,1064
1539590872894181,71,1786,1066
1539590872907626,72,1894,1056
1539590872920729,73,2105,1076
1539590872933583,74,3069,1027
1539590872947306,75,5968,1010
1539590872963712,76,1771,1060
1539590872976894,77,1746,1091
1539590872990000,78,1791,1057
1539590873003687,79,1787,1071
1539590873016907,80,1859,1071
1539590873030304,81,2091,1062
1539590873044505,82,3287,1037
1539590873058511,83,6479,1002
1539590873075375,84,1904,1085
