timestamp_us,collection,mark_time_us,sweep_time_us
1539580050267967,0,70,39
1539580050273524,1,61,18
1539580050278950,2,68,17
1539580050284471,3,67,19
1539580050289812,4,60,17
1539580050295126,5,68,19
1539580050300371,6,61,16
1539580050305540,7,58,16
1539580050310757,8,60,17
1539580050315968,9,60,17
1539580050321151,10,61,17
1539580050326285,11,58,16
1539580050331450,12,59,17
1539580050336635,13,61,15
1539580050341762,14,59,16
1539580050346895,15,58,16
1539580050352059,16,58,16
1539580050357249,17,60,16
1539580050362394,18,60,17
1539580050367534,19,58,16
1539580050372710,20,59,16
1539580050377915,21,61,16
1539580050383045,22,59,16
1539580050388204,23,58,18
1539580050393397,24,58,16
1539580050398602,25,60,16
1539580050403769,26,60,17
1539580050408944,27,59,16
1539580050414251,28,60,17
1539580050419509,29,60,16
1539580050424707,30,59,16
1539580050429871,31,58,16
1539580050435068,32,59,16
1539580050440276,33,60,16
1539580050445441,34,60,16
1539580050450650,35,59,15
1539580050455882,36,59,16
1539580050461129,37,61,16
1539580050466291,38,59,16
1539580050471457,39,58,16
1539580050476642,40,59,16
1539580050481850,41,60,16
1539580050486998,42,75,18
1539580050492577,43,59,16
1539580050498253,44,66,20
1539580050503814,45,67,18
1539580050509213,46,60,18
1539580050514563,47,59,17
1539580050520008,48,64,18
1539580050525434,49,61,16
1539580050530789,50,61,17
1539580050536243,51,65,18
1539580050541636,52,59,17
1539580050546922,53,61,16
1539580050552121,54,59,16
1539580050557303,55,58,16
1539580050562498,56,59,16
1539580050567726,57,60,16
1539580050572888,58,60,15
1539580050578080,59,58,16
1539580050583307,60,59,17
1539580050588565,61,60,16
1539580050593737,62,59,16
1539580050598888,63,58,16
1539580050604076,64,59,16
1539580050609291,65,61,16
1539580050614504,66,61,18
1539580050619739,67,58,16
1539580050624976,68,59,16
1539580050630227,69,60,15
1539580050635392,70,59,16
1539580050640542,71,58,16
1539580050645723,72,58,15
1539580050650947,73,60,18
1539580050656115,74,60,16
1539580050661304,75,58,15
1539580050666485,76,58,16
1539580050671696,77,60,16
1539580050676859,78,59,16
1539580050682011,79,57,17
1539580050687207,80,59,16
1539580050692433,81,60,16
1539580050697587,82,59,16
1539580050702751,83,58,16
1539580050707954,84,59,16
1539580050713199,85,61,17
1539580050718335,86,59,16
1539580050723483,87,58,16
1539580050728680,88,58,16
1539580050733888,89,60,16
1539580050739052,90,59,17
1539580050744216,91,58,16
1539580050749410,92,58,16
1539580050754631,93,60,16
1539580050759794,94,60,16
1539580050764963,95,57,16
1539580050770155,96,59,15
1539580050775405,97,61,16
1539580050780576,98,59,17
1539580050785787,99,58,15
1539580050791054,100,59,16
