timestamp_us,collection,mark_time_us,sweep_time_us
1539581832025239,0,1418,44
1539581832028484,1,2003,194
1539581832066818,2,2518,232
1539581832087365,3,1494,312
1539581832131153,4,2977,779
1539581832156115,5,2662,612
1539581832191009,6,4948,511
1539581832227117,7,1510,541
1539581832249996,8,2960,591
1539581832290263,9,3206,531
1539581832315453,10,3048,641
1539581832331693,11,1445,498
1539581832350032,12,4755,514
1539581832372627,13,2727,509
1539581832397007,14,2528,503
1539581832420925,15,2242,576
1539581832444058,16,1782,503
1539581832467045,17,1635,609
1539581832492291,18,1502,502
1539581832514537,19,1498,634
1539581832548863,20,2386,529
1539581832574624,21,2247,622
1539581832597825,22,1735,501
1539581832628011,23,2575,598
1539581832653847,24,2558,519
1539581832677821,25,2168,607
1539581832708834,26,3141,507
1539581832732610,27,2889,628
1539581832759020,28,2529,502
1539581832782975,29,2355,609
1539581832814352,30,3169,510
1539581832838267,31,2574,602
1539581832864033,32,2636,528
1539581832902644,33,1198,521
1539581832922559,34,4872,480
1539581832958273,35,1372,525
1539581832980852,36,1424,616
1539581833019735,37,3233,546
1539581833059265,38,1358,535
1539581833082034,39,1528,636
1539581833127318,40,4759,501
1539581833163127,41,1350,557
1539581833184922,42,1349,612
1539581833223206,43,2896,513
1539581833247059,44,2520,580
1539581833270536,45,1947,507
1539581833301662,46,2914,649
1539581833327437,47,2771,508
1539581833352046,48,2254,504
1539581833386112,49,4750,508
1539581833422105,50,1349,533
1539581833444720,51,1444,610
1539581833478770,52,2334,520
1539581833504150,53,2005,508
1539581833539399,54,4989,548
1539581833575589,55,1345,531
1539581833612556,56,3185,582
1539581833633777,57,2172,504
1539581833656967,58,2245,640
1539581833695086,59,4849,504
1539581833717861,60,2689,513
1539581833754881,61,1394,622
1539581833779812,62,1166,518
1539581833812803,63,2274,590
1539581833836379,64,1782,510
1539581833858967,65,1696,609
1539581833898944,66,4926,501
1539581833921729,67,2708,511
1539581833957809,68,1640,668
1539581833991858,69,2069,528
1539581834014526,70,1792,623
1539581834047726,71,2964,533
1539581834072260,72,2417,598
1539581834096356,73,2057,510
1539581834135941,74,1140,538
1539581834174037,75,2811,619
1539581834194407,76,1787,522
1539581834217432,77,1697,617
1539581834257529,78,4818,515
1539581834280521,79,2847,602
1539581834306660,80,2779,509
1539581834331207,81,2420,603
1539581834350666,82,1497,504
1539581834382703,83,2497,607
1539581834407420,84,2114,495
1539581834430596,85,1856,580
1539581834468070,86,4934,493
1539581834507280,87,1619,542
1539581834539034,88,2582,632
1539581834576726,89,1439,640
1539581834620825,90,4891,505
1539581834658993,91,1625,551
1539581834681608,92,1422,609
1539581834723077,93,4885,496
1539581834759465,94,1355,536
1539581834796119,95,3319,585
1539581834822733,96,3127,504
1539581834846384,97,2390,551
1539581834871977,98,2561,529
1539581834896045,99,2155,580
1539581834919630,100,1820,515
1539581834942343,101,1621,597
1539581834962779,102,1113,519
1539581835001045,103,3196,626
1539581835027860,104,3114,531
1539581835053100,105,2235,500
1539581835092026,106,1473,653
