timestamp_us,collection,mark_time_us,sweep_time_us
1539598563360506,0,142,53
1539598563375025,1,149,101
1539598563388190,2,116,70
1539598563401052,3,111,68
1539598563413889,4,107,62
1539598563426657,5,105,63
1539598563439488,6,119,67
1539598563452326,7,111,66
1539598563465141,8,108,65
1539598563477969,9,120,65
1539598563491260,10,150,123
1539598563505259,11,147,103
1539598563518638,12,112,68
1539598563531989,13,122,71
1539598563544959,14,112,65
1539598563557686,15,109,64
1539598563570420,16,108,62
1539598563583142,17,108,64
1539598563595868,18,108,62
1539598563608598,19,105,60
1539598563621365,20,112,65
1539598563634082,21,108,61
1539598563646830,22,106,62
1539598563659689,23,118,70
1539598563672548,24,109,63
1539598563685374,25,107,63
1539598563698200,26,110,62
1539598563711054,27,107,65
1539598563723896,28,106,61
1539598563736732,29,106,63
1539598563749603,30,107,66
1539598563762438,31,105,64
1539598563775275,32,118,66
1539598563788074,33,130,70
1539598563800816,34,118,69
1539598563813604,35,122,70
1539598563826348,36,125,74
1539598563839127,37,120,70
1539598563851888,38,118,75
1539598563864666,39,115,68
1539598563877473,40,128,76
1539598563906970,41,162,249
1539598563933794,42,172,234
1539598563960784,43,160,235
1539598563987586,44,158,232
1539598564014956,45,200,272
1539598564042596,46,157,248
1539598564069817,47,173,239
1539598564096839,48,158,236
1539598564123729,49,163,234
1539598564150671,50,166,245
1539598564177489,51,162,231
1539598564204401,52,161,236
1539598564231219,53,161,232
1539598564258102,54,160,239
1539598564284998,55,152,227
1539598564311899,56,159,225
1539598564338897,57,172,232
1539598564365875,58,171,233
1539598564392931,59,162,230
1539598564419924,60,154,231
1539598564446989,61,162,233
1539598564474078,62,145,230
1539598564502026,63,159,250
1539598564529561,64,167,240
1539598564556592,65,160,231
1539598564583576,66,162,239
1539598564610509,67,160,231
1539598564637572,68,161,232
1539598564664662,69,170,232
1539598564691537,70,161,233
1539598564718461,71,161,234
1539598564745290,72,165,231
1539598564772329,73,159,235
1539598564799327,74,156,229
1539598564826231,75,157,236
1539598564853211,76,162,233
1539598564880020,77,159,233
1539598564906931,78,196,238
1539598564933737,79,177,236
1539598564960668,80,162,229
1539598564987630,81,161,236
1539598565015068,82,170,242
1539598565042755,83,159,247
1539598565069741,84,160,232
1539598565096628,85,164,240
1539598565123427,86,156,231
1539598565150313,87,159,247
1539598565177315,88,161,238
1539598565204188,89,157,234
1539598565231138,90,159,233
1539598565257970,91,155,236
1539598565285191,92,161,232
1539598565312559,93,149,232
1539598565340088,94,161,238
1539598565367426,95,161,235
1539598565394625,96,160,243
1539598565422024,97,165,239
1539598565449298,98,158,233
1539598565476605,99,164,233
1539598565504960,100,146,250
1539598565532466,101,156,245
1539598565559986,102,171,237
1539598565587143,103,170,239
1539598565614718,104,164,249
1539598565641895,105,156,233
1539598565669185,106,154,226
1539598565696552,107,153,230
1539598565723843,108,158,234
1539598565751133,109,160,236
1539598565778376,110,157,234
1539598565805659,111,159,230
1539598565832872,112,161,232
1539598565860297,113,157,231
1539598565887765,114,166,231
1539598565915000,115,163,235
1539598565942368,116,158,236
1539598565969561,117,159,234
1539598565996897,118,161,242
1539598566024382,119,163,274
1539598566051997,120,156,238
1539598566079340,121,166,237
1539598566106518,122,160,230
1539598566133822,123,161,234
1539598566161091,124,176,240
1539598566188392,125,160,233
1539598566215727,126,150,230
1539598566243170,127,173,238
1539598566270663,128,165,236
1539598566297998,129,158,231
1539598566325404,130,154,235
1539598566352723,131,158,233
1539598566380039,132,180,241
1539598566407375,133,156,229
1539598566434785,134,161,248
1539598566462211,135,157,235
1539598566489799,136,178,276
1539598566517715,137,154,241
1539598566544663,138,159,232
1539598566571600,139,160,235
1539598566598606,140,170,234
1539598566625436,141,166,228
1539598566652370,142,162,236
1539598566679286,143,158,233
1539598566706327,144,159,236
1539598566733248,145,157,229
1539598566760131,146,157,235
1539598566787141,147,163,231
1539598566814054,148,156,235
1539598566841037,149,153,230
1539598566868100,150,158,231
1539598566895061,151,158,233
1539598566922084,152,144,231
1539598566949175,153,158,233
1539598566976163,154,165,235
1539598567003315,155,174,275
1539598567030946,156,170,240
1539598567058130,157,162,232
1539598567085119,158,161,232
1539598567112283,159,159,227
1539598567139218,160,160,227
1539598567166204,161,174,240
1539598567193125,162,158,231
1539598567220103,163,157,239
1539598567247121,164,175,243
1539598567274060,165,161,240
1539598567301038,166,160,234
1539598567328056,167,159,235
1539598567355010,168,171,231
1539598567381919,169,158,232
1539598567408900,170,161,233
1539598567435893,171,146,232
1539598567462810,172,159,236
1539598567489978,173,201,285
1539598567518388,174,158,246
1539598567545577,175,159,234
1539598567572528,176,154,232
1539598567599506,177,160,235
1539598567626542,178,163,234
1539598567653399,179,158,231
1539598567680454,180,157,228
1539598567707399,181,161,236
1539598567734352,182,156,234
1539598567761334,183,160,230
1539598567788326,184,163,239
1539598567815283,185,169,232
1539598567842076,186,164,228
1539598567869018,187,160,233
1539598567895940,188,154,233
1539598567922869,189,160,235
1539598567949806,190,160,234
1539598567976730,191,160,230
1539598568003851,192,200,281
1539598568031459,193,172,265
1539598568058618,194,162,243
1539598568085618,195,159,230
1539598568112641,196,167,237
1539598568139706,197,148,228
1539598568166660,198,162,251
1539598568193743,199,168,232
1539598568220817,200,159,231
1539598568247896,201,165,236
1539598568274918,202,170,232
1539598568302031,203,153,235
1539598568329248,204,152,230
1539598568356324,205,159,234
1539598568383472,206,165,234
1539598568410505,207,157,231
