timestamp_us,collection,mark_time_us,sweep_time_us
1539579711742501,0,55,36
1539579711744205,1,26,23
1539579711745852,2,22,21
1539579711747509,3,22,24
1539579711749154,4,19,22
1539579711750795,5,20,22
1539579711752390,6,12,12
1539579711753282,7,11,11
1539579711754175,8,12,12
1539579711755114,9,12,14
1539579711756141,10,12,14
1539579711757050,11,11,11
1539579711757948,12,10,12
1539579711758849,13,12,12
1539579711759812,14,12,13
1539579711760775,15,11,12
1539579711761730,16,11,12
1539579711762697,17,12,12
1539579711763685,18,12,13
1539579711764661,19,12,12
1539579711765654,20,13,13
1539579711766630,21,13,13
1539579711767613,22,11,13
1539579711768590,23,11,13
1539579711769567,24,12,13
1539579711770548,25,12,12
1539579711771528,26,11,13
1539579711772506,27,12,12
1539579711773483,28,12,13
1539579711774460,29,11,13
1539579711775455,30,12,14
1539579711776436,31,12,13
1539579711777412,32,13,12
1539579711778391,33,11,13
1539579711779372,34,11,13
1539579711780353,35,11,13
1539579711781331,36,11,12
1539579711782309,37,12,13
1539579711783293,38,11,13
1539579711784272,39,10,13
1539579711785259,40,12,13
1539579711786236,41,12,13
1539579711787227,42,11,13
1539579711788203,43,12,13
1539579711789181,44,12,13
1539579711790157,45,12,13
1539579711791143,46,11,13
1539579711792120,47,13,13
1539579711793102,48,11,13
1539579711794078,49,11,13
1539579711795070,50,12,14
1539579711796046,51,11,13
1539579711797018,52,11,13
1539579711797989,53,12,13
1539579711798962,54,11,12
1539579711799942,55,12,13
1539579711800913,56,11,14
1539579711801886,57,11,13
1539579711802856,58,12,12
1539579711803829,59,11,13
1539579711804808,60,13,13
1539579711805783,61,10,13
1539579711806753,62,13,12
1539579711807731,63,11,13
1539579711808708,64,12,12
1539579711809684,65,11,13
1539579711810650,66,11,13
1539579711811626,67,11,13
1539579711812591,68,12,13
1539579711813557,69,11,13
1539579711814530,70,11,13
1539579711815498,71,11,13
1539579711816465,72,11,13
1539579711817430,73,11,13
1539579711818397,74,10,13
1539579711819358,75,12,12
1539579711820316,76,12,12
1539579711821273,77,12,13
1539579711822235,78,10,13
1539579711823197,79,13,13
1539579711824166,80,11,13
1539579711825123,81,11,12
1539579711826083,82,11,14
1539579711827043,83,11,13
1539579711827996,84,10,13
1539579711828949,85,12,12
1539579711829903,86,10,13
1539579711830856,87,12,12
1539579711831811,88,11,13
1539579711832765,89,11,13
1539579711833728,90,11,12
1539579711834675,91,11,12
1539579711835626,92,12,12
1539579711836575,93,11,12
1539579711837519,94,11,12
1539579711838467,95,11,12
1539579711839418,96,11,13
1539579711840361,97,11,13
1539579711841302,98,11,12
1539579711842245,99,11,12
1539579711843197,100,11,13
1539579711844141,101,11,13
1539579711845084,102,12,13
1539579711846022,103,11,13
1539579711846957,104,11,12
1539579711847898,105,11,12
1539579711848832,106,11,12
1539579711849764,107,12,12
1539579711850701,108,10,12
1539579711851629,109,10,12
