timestamp_us,collection,mark_time_us,sweep_time_us
1539385886905929,0,85,44
1539385886908781,1,64,33
1539385886911522,2,103,83
1539385886913659,3,58,21
1539385886915180,4,42,22
1539385886919858,5,76,112
1539385886923065,6,51,68
1539385886926334,7,82,75
1539385886929545,8,103,66
1539385886932634,9,58,70
1539385886935826,10,64,66
1539385886939036,11,62,64
1539385886942347,12,52,61
1539385886945484,13,60,65
1539385886948696,14,60,63
1539385886951811,15,67,60
1539385886954855,16,70,62
1539385886957935,17,57,61
1539385886961056,18,159,66
1539385886964241,19,142,65
1539385886967359,20,55,63
1539385886970711,21,62,59
1539385886973831,22,109,68
1539385886976846,23,58,64
1539385886979936,24,103,67
1539385886983005,25,52,60
1539385886986198,26,66,63
1539385886989270,27,61,62
1539385886992419,28,98,65
1539385886995441,29,78,60
1539385886998512,30,79,64
1539385887001556,31,54,61
1539385887004802,32,57,64
1539385887008001,33,64,62
1539385887011067,34,61,61
1539385887014234,35,60,63
1539385887017319,36,151,65
1539385887020343,37,59,64
1539385887023415,38,73,62
1539385887026520,39,67,61
1539385887029722,40,68,62
1539385887032784,41,89,65
1539385887035923,42,62,66
1539385887039012,43,54,59
1539385887042068,44,68,61
1539385887045131,45,83,63
1539385887048225,46,51,67
1539385887051408,47,60,61
1539385887054492,48,112,64
1539385887057648,49,70,63
1539385887060765,50,75,65
1539385887063798,51,68,61
1539385887066855,52,55,59
1539385887069965,53,65,62
1539385887073145,54,67,62
1539385887076202,55,96,67
1539385887079347,56,80,64
1539385887082414,57,76,61
1539385887085436,58,104,69
1539385887088477,59,98,68
1539385887091581,60,89,77
1539385887094759,61,69,62
1539385887097810,62,72,63
1539385887100965,63,64,67
1539385887104067,64,174,70
1539385887113017,65,100,260
1539385887119475,66,95,274
1539385887125911,67,100,244
1539385887132204,68,95,241
1539385887138561,69,69,241
1539385887145047,70,71,243
1539385887151452,71,103,260
1539385887157773,72,92,240
1539385887164227,73,86,238
1539385887170639,74,90,252
1539385887177129,75,208,248
1539385887183632,76,110,241
1539385887190028,77,96,243
1539385887196415,78,114,237
1539385887202664,79,85,241
1539385887209133,80,88,242
1539385887215556,81,103,251
1539385887221872,82,85,241
1539385887228284,83,73,239
1539385887234677,84,76,237
1539385887240996,85,69,238
1539385887247354,86,100,273
1539385887253773,87,99,241
1539385887260356,88,86,247
1539385887266702,89,77,241
1539385887273224,90,77,242
1539385887279603,91,80,262
1539385887285950,92,75,236
1539385887292311,93,90,239
1539385887298714,94,69,236
1539385887305107,95,80,240
1539385887311411,96,75,250
1539385887317866,97,70,237
1539385887324309,98,81,240
1539385887330600,99,71,237
1539385887337048,100,87,245
1539385887343433,101,90,254
1539385887349820,102,73,240
1539385887356126,103,77,239
1539385887362546,104,98,241
1539385887368977,105,79,243
1539385887375266,106,79,236
1539385887381690,107,89,243
1539385887388113,108,79,241
1539385887394403,109,140,245
1539385887400841,110,80,243
1539385887407262,111,66,241
1539385887413725,112,90,240
1539385887420027,113,77,240
1539385887426493,114,75,239
1539385887432938,115,93,243
1539385887439234,116,80,237
1539385887445662,117,81,249
1539385887452211,118,76,239
1539385887458646,119,95,240
1539385887464969,120,129,236
1539385887471479,121,87,259
1539385887477980,122,89,240
1539385887484307,123,74,237
1539385887490736,124,88,238
1539385887497330,125,89,237
1539385887503822,126,216,245
1539385887510208,127,73,236
1539385887516753,128,112,241
1539385887523198,129,110,242
1539385887529588,130,150,245
1539385887536081,131,179,239
1539385887542496,132,178,243
1539385887548898,133,155,243
1539385887555287,134,81,237
1539385887561726,135,75,240
1539385887568206,136,72,239
1539385887574537,137,70,240
1539385887581019,138,76,241
1539385887587436,139,91,257
1539385887593793,140,78,236
1539385887600185,141,88,242
1539385887606597,142,73,242
1539385887613051,143,111,238
1539385887619326,144,118,233
1539385887625730,145,90,239
1539385887632169,146,82,239
1539385887638473,147,94,239
1539385887644853,148,100,240
1539385887651250,149,80,238
1539385887657720,150,81,242
1539385887664036,151,93,240
1539385887670473,152,89,238
1539385887676919,153,75,241
1539385887683235,154,84,239
1539385887689647,155,99,240
1539385887696048,156,77,241
1539385887702391,157,84,244
1539385887708755,158,100,239
1539385887715157,159,74,239
1539385887721670,160,118,240
1539385887728033,161,77,238
1539385887734468,162,79,238
1539385887740893,163,75,237
1539385887747204,164,71,239
1539385887753754,165,193,238
1539385887760250,166,86,239
1539385887766659,167,70,241
1539385887772989,168,94,238
1539385887779435,169,88,253
1539385887785876,170,88,239
1539385887792175,171,85,236
1539385887798564,172,97,239
1539385887804965,173,90,240
1539385887811363,174,71,238
1539385887817686,175,128,239
1539385887824104,176,77,237
1539385887830564,177,113,238
1539385887836848,178,75,239
1539385887843250,179,104,239
1539385887849704,180,221,246
1539385887856149,181,90,242
1539385887862442,182,82,238
1539385887868900,183,82,238
1539385887875327,184,88,244
1539385887881665,185,79,241
1539385887888101,186,105,242
1539385887894460,187,80,241
1539385887900804,188,69,245
1539385887907185,189,73,240
1539385887913668,190,88,240
1539385887920089,191,121,236
1539385887926348,192,81,240
1539385887932830,193,79,238
1539385887939245,194,71,235
1539385887945578,195,124,240
1539385887951997,196,96,242
1539385887958392,197,75,238
1539385887964840,198,78,243
1539385887971309,199,70,236
1539385887977856,200,96,242
1539385887984282,201,79,243
1539385887990703,202,86,240
1539385887997135,203,90,238
1539385888003532,204,97,252
1539385888009904,205,74,238
1539385888016227,206,78,236
1539385888022682,207,119,236
1539385888029111,208,86,237
1539385888035462,209,74,255
1539385888041943,210,115,239
1539385888048341,211,77,239
1539385888054771,212,65,245
1539385888061376,213,94,242
1539385888067996,214,94,243
1539385888074479,215,77,239
1539385888080844,216,69,243
1539385888087295,217,77,240
1539385888093723,218,66,241
1539385888100086,219,108,238
1539385888106431,220,82,240
1539385888112866,221,76,241
1539385888119277,222,75,243
1539385888125612,223,82,238
1539385888132079,224,101,241
1539385888138481,225,217,244
1539385888144821,226,80,237
1539385888151206,227,149,239
1539385888157646,228,77,238
1539385888164039,229,87,239
1539385888170364,230,82,249
1539385888176832,231,79,240
1539385888183266,232,108,240
1539385888189565,233,83,236
1539385888195971,234,180,241
1539385888202331,235,89,238
1539385888208679,236,71,246
1539385888215006,237,70,240
1539385888221457,238,105,235
1539385888227851,239,235,242
1539385888234200,240,87,240
1539385888240611,241,80,242
1539385888247016,242,120,235
1539385888253285,243,75,241
1539385888259648,244,205,244
1539385888266136,245,129,237
1539385888272477,246,100,236
1539385888278765,247,192,240
1539385888285277,248,211,240
1539385888291723,249,205,245
1539385888298096,250,94,239
1539385888304452,251,73,236
1539385888310891,252,73,240
1539385888317309,253,87,241
