timestamp_us,collection,mark_time_us,sweep_time_us
1539384163763466,0,83,43
1539384163768995,1,31,13
1539384163774027,2,20,13
1539384163779116,3,45,13
1539384163784092,4,22,13
1539384163789107,5,30,13
1539384163794068,6,17,13
1539384163799164,7,41,13
1539384163804159,8,53,13
1539384163809080,9,35,13
1539384163814132,10,28,13
1539384163819237,11,34,13
1539384163824240,12,22,13
1539384163829466,13,63,15
1539384163834416,14,46,13
1539384163839355,15,67,14
1539384163844307,16,63,14
1539384163849189,17,75,15
1539384163854060,18,59,14
1539384163858949,19,34,13
1539384163864048,20,11,13
1539384163869094,21,29,13
1539384163874101,22,18,12
1539384163879198,23,39,13
1539384163884214,24,36,14
1539384163889220,25,38,13
1539384163894226,26,59,14
1539384163899142,27,27,13
1539384163904175,28,34,14
1539384163909207,29,34,13
1539384163914301,30,26,13
1539384163919309,31,39,13
1539384163924312,32,36,13
1539384163929323,33,36,15
1539384163934329,34,36,13
1539384163939333,35,36,14
1539384163944344,36,60,14
1539384163949269,37,27,13
1539384163954308,38,34,14
1539384163959339,39,35,12
1539384163964441,40,26,14
1539384163969458,41,39,13
1539384163974467,42,36,13
1539384163979481,43,36,14
1539384163984490,44,36,14
1539384163989503,45,37,13
1539384163994505,46,60,14
1539384163999412,47,27,13
1539384164004447,48,35,13
1539384164009455,49,35,13
1539384164014541,50,26,14
1539384164019552,51,39,13
1539384164024559,52,36,12
1539384164029562,53,36,13
1539384164034584,54,37,14
1539384164039596,55,37,13
1539384164044606,56,60,14
1539384164049517,57,26,13
1539384164054653,58,35,13
1539384164059665,59,36,13
1539384164064741,60,26,14
1539384164069759,61,39,13
1539384164074768,62,36,13
1539384164079789,63,36,14
1539384164084789,64,36,14
1539384164089793,65,37,13
1539384164094799,66,59,15
1539384164099732,67,27,12
1539384164104753,68,35,13
1539384164109764,69,34,13
1539384164114849,70,26,14
1539384164119865,71,39,14
1539384164124878,72,35,13
1539384164129886,73,36,13
1539384164134888,74,36,13
1539384164139900,75,37,13
1539384164144917,76,59,15
1539384164149835,77,27,12
1539384164154866,78,34,13
1539384164159890,79,34,13
1539384164164974,80,26,13
1539384164169992,81,39,13
1539384164175002,82,35,13
1539384164180027,83,36,14
1539384164185043,84,35,14
1539384164190061,85,36,13
1539384164195073,86,59,14
1539384164200004,87,27,13
1539384164205027,88,35,13
1539384164210289,89,43,24
1539384164215575,90,28,15
1539384164220592,91,40,13
1539384164225594,92,35,13
1539384164230604,93,36,13
1539384164235619,94,36,13
1539384164240633,95,37,13
1539384164245634,96,59,14
1539384164250547,97,27,12
1539384164255571,98,34,13
1539384164260597,99,34,14
1539384164265673,100,26,13
1539384164270679,101,39,13
1539384164275679,102,38,12
1539384164280687,103,36,14
1539384164285707,104,36,13
1539384164290720,105,37,13
1539384164295737,106,60,14
