timestamp_us,collection,mark_time_us,sweep_time_us
1539393712421703,0,3592,52
1539393712428477,1,4700,75
1539393712437384,2,9726,187
1539393712449317,3,1923,666
1539393712461390,4,1909,520
1539393712468469,5,1909,501
1539393712475117,6,1926,501
1539393712482054,7,1942,504
1539393712488981,8,2006,527
1539393712495897,9,2010,509
1539393712503194,10,1968,507
1539393712510244,11,1940,510
1539393712517817,12,2026,506
1539393712524777,13,1981,508
1539393712531728,14,2137,509
1539393712538598,15,2234,500
1539393712545448,16,2934,482
1539393712553540,17,2587,500
1539393712560889,18,2978,493
1539393712569073,19,5179,470
1539393712594697,20,1920,1107
1539393712608167,21,1888,1092
1539393712621848,22,1938,1098
1539393712635611,23,1937,1096
1539393712649023,24,1987,1105
1539393712662203,25,2231,1085
1539393712676069,26,3210,1052
1539393712690348,27,6139,984
1539393712707254,28,1940,1088
1539393712720591,29,1888,1078
1539393712734312,30,1922,1080
1539393712747614,31,1911,1089
1539393712760963,32,2007,1067
1539393712774333,33,2223,1023
1539393712787918,34,3260,1054
1539393712801682,35,6147,983
1539393712818325,36,1890,1067
1539393712830964,37,1926,1049
1539393712843809,38,1899,1042
1539393712857519,39,1914,1060
1539393712870864,40,1979,1035
1539393712884739,41,2209,1086
1539393712897802,42,3198,1057
1539393712912035,43,6500,1020
1539393712929574,44,1915,1094
1539393712942997,45,1909,1082
1539393712956783,46,1927,1098
1539393712970062,47,1928,1080
1539393712983012,48,2010,1070
1539393712996337,49,2199,1065
1539393713009400,50,3200,1046
1539393713023095,51,6210,1017
1539393713039533,52,1898,1094
1539393713052241,53,1881,1087
1539393713065932,54,1924,1090
1539393713079210,55,1933,1096
1539393713092890,56,1981,1088
1539393713106344,57,2243,1074
1539393713120271,58,3195,1075
1539393713133960,59,6193,1019
1539393713150290,60,1934,1088
1539393713163619,61,1933,1087
1539393713177434,62,1933,1093
1539393713190711,63,1924,1087
1539393713204107,64,1985,1073
1539393713217495,65,2272,1066
1539393713231355,66,3218,1050
1539393713244950,67,6186,1034
1539393713261220,68,1878,1103
1539393713275159,69,1900,1086
1539393713288943,70,1894,1118
1539393713302422,71,1962,1093
1539393713316120,72,2017,1079
1539393713329810,73,2198,1074
1539393713342823,74,3178,1049
1539393713357284,75,6201,1035
1539393713373655,76,1892,1109
1539393713387427,77,1928,1090
1539393713401464,78,1894,1109
1539393713414740,79,1948,1087
1539393713427590,80,2157,1079
1539393713441223,81,2228,1084
1539393713454060,82,3196,1044
1539393713468273,83,6146,1016
1539393713484667,84,1881,1092
1539393713498274,85,1982,1109
1539393713512400,86,2031,1089
1539393713526331,87,1971,1096
1539393713540071,88,2002,1088
1539393713553334,89,2192,1095
1539393713567257,90,3220,1056
1539393713580979,91,6150,1053
1539393713597202,92,1904,1058
1539393713610494,93,1904,1041
1539393713624153,94,1895,1044
1539393713637256,95,1924,1066
1539393713649953,96,2020,1025
1539393713663271,97,2218,1024
1539393713676671,98,3252,1009
1539393713690946,99,6243,980
1539393713707317,100,1916,1044
1539393713719549,101,1888,1049
1539393713733203,102,1886,1075
1539393713747185,103,1922,1050
1539393713759967,104,1973,1036
1539393713773430,105,2193,1040
1539393713787026,106,3198,1008
1539393713800551,107,6239,994
1539393713816885,108,1888,1061
1539393713829728,109,1902,1074
1539393713843456,110,1924,1049
1539393713856815,111,1941,1056
1539393713869308,112,2009,1047
1539393713882709,113,2231,1024
1539393713896156,114,3253,1037
1539393713910345,115,6157,980
1539393713926724,116,1912,1051
1539393713940626,117,1882,1046
1539393713954041,118,1919,1043
1539393713967520,119,1919,1047
1539393713980505,120,1987,1045
1539393713994098,121,2225,1028
1539393714007738,122,3173,1029
1539393714021727,123,6246,978
1539393714037596,124,1888,1057
1539393714050992,125,1918,1041
1539393714064600,126,1889,1043
1539393714077083,127,1949,1068
1539393714089689,128,2019,1030
1539393714103358,129,2214,1025
1539393714117178,130,3177,1023
1539393714131300,131,6128,1004
1539393714147330,132,1896,1075
1539393714159875,133,1881,1065
1539393714173489,134,1896,1099
1539393714187212,135,1931,1064
1539393714200636,136,1963,1059
1539393714214221,137,2242,1050
1539393714227524,138,3171,1050
1539393714241217,139,6312,989
1539393714257599,140,1893,1053
1539393714269944,141,1913,1041
1539393714282612,142,1927,1040
1539393714295856,143,1900,1041
1539393714308933,144,1998,1059
1539393714322297,145,2231,1020
1539393714335985,146,3211,1013
1539393714349368,147,6178,1003
1539393714365637,148,1902,1057
1539393714379587,149,1927,1046
1539393714393258,150,1901,1077
1539393714406667,151,1941,1044
1539393714419756,152,2112,1043
1539393714433619,153,2261,1025
1539393714447084,154,3179,1005
1539393714460697,155,6125,992
1539393714477317,156,1878,1069
1539393714491202,157,2035,1025
1539393714505188,158,1969,1065
1539393714518470,159,1958,1036
1539393714531768,160,2169,1028
1539393714545633,161,2258,1022
1539393714558525,162,3212,1005
1539393714572546,163,6208,988
1539393714589077,164,1910,1083
1539393714602467,165,1922,1044
1539393714616218,166,1932,1042
1539393714629855,167,1913,1051
1539393714643546,168,2015,1038
1539393714656764,169,2179,1051
1539393714670194,170,3183,1012
1539393714684192,171,6135,981
1539393714700333,172,1872,1040
1539393714713928,173,1887,1037
1539393714727580,174,1926,1066
1539393714740074,175,1890,1064
1539393714753343,176,1970,1053
1539393714766797,177,2209,1018
1539393714780035,178,3245,1036
1539393714793866,179,6185,984
1539393714810126,180,1892,1070
1539393714822614,181,1926,1096
1539393714835540,182,1908,1089
1539393714849028,183,1896,1093
1539393714862502,184,1999,1059
1539393714876200,185,2203,1073
1539393714888861,186,3222,1053
1539393714903291,187,6310,1019
1539393714919900,188,1882,1084
1539393714933230,189,1919,1113
1539393714946801,190,1927,1084
1539393714960020,191,1935,1083
1539393714972919,192,1969,1090
1539393714986454,193,2289,1065
1539393715000305,194,3253,1072
1539393715014553,195,6237,1023
1539393715030923,196,1924,1090
1539393715043437,197,1893,1096
1539393715057486,198,1898,1106
1539393715070875,199,1914,1090
1539393715084291,200,1973,1087
1539393715097787,201,2182,1071
1539393715110465,202,3232,1051
1539393715124506,203,6206,1042
1539393715140729,204,1875,1096
1539393715153968,205,1901,1081
1539393715167571,206,1921,1073
1539393715180974,207,1914,1098
1539393715194484,208,1998,1076
1539393715208084,209,2231,1068
1539393715221419,210,3172,1047
1539393715235105,211,6202,1019
1539393715251035,212,1895,1091
1539393715263443,213,1927,1095
1539393715277286,214,1896,1104
1539393715290266,215,1924,1090
1539393715303586,216,1985,1082
1539393715317357,217,2206,1102
1539393715330524,218,3181,1049
1539393715344567,219,6120,1048
1539393715360853,220,1902,1102
1539393715374867,221,1913,1084
1539393715388403,222,1898,1078
1539393715401600,223,1902,1091
1539393715415004,224,2016,1074
1539393715428940,225,2220,1104
1539393715442764,226,3221,1049
1539393715456356,227,6104,1013
1539393715472738,228,1894,1118
1539393715486489,229,1932,1104
1539393715499839,230,1980,1096
1539393715513720,231,1940,1117
1539393715526730,232,2014,1091
1539393715540275,233,2240,1070
1539393715554144,234,3230,1052
1539393715567786,235,6186,1023
1539393715584199,236,1909,1088
1539393715596686,237,1914,1105
1539393715610025,238,1920,1078
1539393715623101,239,1939,1081
1539393715636065,240,1975,1073
1539393715649462,241,2186,1082
1539393715662529,242,3185,1054
1539393715676843,243,6174,1033
1539393715693058,244,1890,1121
1539393715706056,245,1928,1095
1539393715718549,246,1904,1089
1539393715732386,247,1912,1088
1539393715745229,248,1968,1101
1539393715758618,249,2231,1069
1539393715771626,250,3230,1075
1539393715786107,251,6252,1017
1539393715802457,252,1893,1096
