timestamp_us,collection,mark_time_us,sweep_time_us
1539384476457723,0,76,70
1539384476463234,1,92,34
1539384476468835,2,75,25
1539384476474357,3,72,20
1539384476479834,4,66,20
1539384476485265,5,66,19
1539384476490827,6,89,53
1539384476496600,7,92,54
1539384476502102,8,74,23
1539384476507524,9,67,21
1539384476513105,10,66,19
1539384476518441,11,65,21
1539384476523683,12,70,19
1539384476528897,13,63,22
1539384476534034,14,62,20
1539384476539143,15,62,20
1539384476544234,16,62,19
1539384476549291,17,60,18
1539384476554371,18,63,19
1539384476559397,19,60,19
1539384476564453,20,61,19
1539384476569526,21,60,19
1539384476574588,22,61,18
1539384476579728,23,59,18
1539384476584908,24,61,18
1539384476590054,25,60,19
1539384476595182,26,60,19
1539384476600339,27,61,19
1539384476605490,28,61,18
1539384476610630,29,58,19
1539384476615835,30,62,19
1539384476620972,31,61,19
1539384476626159,32,62,18
1539384476631320,33,60,18
1539384476636478,34,61,19
1539384476641621,35,59,19
1539384476646822,36,62,20
1539384476651974,37,60,18
1539384476657130,38,61,19
1539384476662273,39,60,19
1539384476667440,40,62,18
1539384476672604,41,60,19
1539384476677769,42,61,17
1539384476682933,43,59,19
1539384476688087,44,59,18
1539384476693288,45,62,18
1539384476698440,46,60,19
1539384476703600,47,62,18
1539384476708767,48,61,19
1539384476713924,49,59,18
1539384476719133,50,61,19
1539384476724289,51,60,19
1539384476729442,52,60,19
1539384476734600,53,60,19
1539384476739764,54,61,18
1539384476744929,55,61,18
1539384476750098,56,60,19
1539384476755262,57,60,18
1539384476760422,58,59,19
1539384476765586,59,59,18
1539384476770758,60,62,18
1539384476775929,61,61,18
1539384476781094,62,60,18
1539384476786251,63,60,19
1539384476791402,64,60,17
1539384476796566,65,60,18
1539384476801711,66,60,19
1539384476806830,67,60,18
1539384476811994,68,60,18
1539384476817159,69,60,18
1539384476822341,70,61,18
1539384476827466,71,60,18
1539384476832590,72,60,18
1539384476837725,73,60,19
1539384476842888,74,60,17
1539384476848047,75,60,18
1539384476853205,76,60,17
1539384476858370,77,60,18
1539384476863531,78,61,18
1539384476868677,79,59,19
1539384476873801,80,61,19
1539384476878920,81,60,18
1539384476884043,82,60,19
1539384476889159,83,60,19
1539384476894271,84,60,18
1539384476899384,85,59,18
1539384476904504,86,60,18
1539384476909618,87,60,17
1539384476914732,88,61,18
1539384476920012,89,61,18
1539384476925151,90,61,18
1539384476930297,91,60,18
1539384476935452,92,61,17
1539384476940616,93,60,18
1539384476945738,94,59,18
1539384476950868,95,60,18
1539384476955990,96,61,17
1539384476961147,97,59,18
1539384476966302,98,61,18
1539384476971446,99,59,18
1539384476976566,100,61,18
1539384476981699,101,61,18
1539384476986838,102,61,18
1539384476992010,103,59,19
1539384476997209,104,61,18
1539384477002450,105,70,38
1539384477007631,106,74,19
1539384477012882,107,62,19
1539384477018119,108,62,18
1539384477023288,109,61,18
1539384477028489,110,61,19
1539384477033692,111,60,18
1539384477038878,112,60,18
1539384477044028,113,60,18
1539384477049162,114,59,18
1539384477054275,115,59,18
1539384477059386,116,60,18
1539384477064505,117,59,19
1539384477069618,118,61,18
1539384477074730,119,60,18
1539384477079870,120,62,19
1539384477085020,121,60,17
1539384477090176,122,61,17
1539384477095338,123,59,18
1539384477100509,124,60,18
1539384477105674,125,60,17
1539384477110838,126,60,18
1539384477116008,127,60,18
1539384477121202,128,61,18
1539384477126385,129,60,18
1539384477131537,130,61,19
1539384477136669,131,60,18
1539384477141783,132,60,18
1539384477146917,133,60,18
1539384477152046,134,60,17
1539384477157168,135,61,18
1539384477162283,136,59,18
1539384477167397,137,59,18
1539384477172558,138,60,18
