timestamp_us,collection,mark_time_us,sweep_time_us
1539388947040288,0,1540,53
1539388947043710,1,2345,168
1539388947082300,2,2671,261
1539388947103255,3,1399,284
1539388947156527,4,5782,730
1539388947193859,5,1692,605
1539388947216428,6,2404,533
1539388947262028,7,5737,573
1539388947299353,8,1746,582
1539388947321828,9,1737,773
1539388947356541,10,2284,574
1539388947379593,11,1803,571
1539388947413475,12,3275,565
1539388947428195,13,1709,745
1539388947453859,14,1306,579
1539388947494122,15,3957,567
1539388947533802,16,2056,771
1539388947569265,17,2725,572
1539388947593899,18,2139,553
1539388947617063,19,1926,550
1539388947649592,20,3113,676
1539388947687132,21,1377,611
1539388947725926,22,3071,576
1539388947763213,23,1297,571
1539388947802779,24,4157,807
1539388947831225,25,3687,563
1539388947851417,26,2428,740
1539388947890436,27,5511,576
1539388947927316,28,1480,595
1539388947963432,29,3124,574
1539388948000949,30,1707,775
1539388948026886,31,1370,571
1539388948064681,32,2874,593
1539388948101867,33,1839,802
1539388948136955,34,2254,605
1539388948159936,35,2243,773
1539388948195521,36,3774,592
1539388948215744,37,1861,553
1539388948253439,38,5481,567
1539388948277096,39,2901,549
1539388948314941,40,1324,597
1539388948353999,41,3480,587
1539388948376159,42,2952,772
1539388948401349,43,1885,580
1539388948433938,44,2958,563
1539388948460325,45,3003,576
1539388948484880,46,2310,568
1539388948511120,47,2444,555
1539388948535841,48,1842,571
1539388948574303,49,5078,587
1539388948613187,50,1634,597
1539388948637143,51,1486,562
1539388948678030,52,5153,580
1539388948714722,53,1458,591
1539388948752331,54,3167,600
1539388948791513,55,1604,601
1539388948816570,56,1596,555
1539388948848870,57,3031,774
1539388948870408,58,1698,553
1539388948901844,59,2822,719
1539388948927905,60,2298,559
1539388948948936,61,1579,554
1539388948989126,62,5013,566
1539388949012588,63,3004,692
1539388949039403,64,2807,575
1539388949064236,65,2760,759
1539388949089076,66,2236,588
1539388949121511,67,3350,704
1539388949148642,68,3260,569
1539388949172955,69,2545,592
1539388949197376,70,2413,563
1539388949221160,71,1899,578
1539388949246374,72,1901,570
1539388949269351,73,1947,808
1539388949294402,74,1499,556
1539388949327816,75,2270,589
1539388949362357,76,5305,584
1539388949399376,77,1509,600
1539388949417585,78,5042,555
1539388949441102,79,2838,622
1539388949466309,80,2701,559
1539388949491005,81,2342,581
1539388949531998,82,1304,636
1539388949570888,83,3081,594
1539388949585330,84,1322,566
1539388949628491,85,5021,579
1539388949665097,86,1478,592
1539388949698560,87,2935,749
1539388949724382,88,2399,569
1539388949748152,89,1868,574
1539388949773298,90,1901,585
1539388949805883,91,3259,714
1539388949832940,92,2884,567
1539388949857898,93,2896,706
1539388949882987,94,2274,548
1539388949892551,95,3360,528
1539388949916143,96,2874,747
1539388949942319,97,2364,565
1539388949974512,98,3119,560
1539388950013804,99,2090,788
1539388950048353,100,2699,588
1539388950074128,101,2409,565
1539388950108555,102,5091,571
1539388950131950,103,2770,568
1539388950164514,104,5095,573
1539388950187923,105,2767,564
1539388950224744,106,1719,809
1539388950259524,107,2317,573
1539388950282564,108,1797,573
1539388950317296,109,3318,576
1539388950336957,110,1811,552
1539388950361983,111,1879,550
1539388950394510,112,2807,557
1539388950420661,113,2914,588
1539388950439195,114,1780,703
1539388950464862,115,1773,695
1539388950487847,116,1555,706
1539388950523136,117,2589,696
1539388950543183,118,2155,820
1539388950569427,119,1743,694
1539388950593832,120,1648,795
1539388950628796,121,2248,575
1539388950651879,122,2099,711
1539388950691996,123,5083,569
1539388950711545,124,2149,559
1539388950752462,125,1777,776
1539388950778294,126,1353,564
1539388950812111,127,2472,699
1539388950836540,128,1968,555
1539388950867212,129,2530,563
1539388950901027,130,5107,551
1539388950937908,131,1423,616
1539388950956018,132,5078,540
1539388950992512,133,1480,573
1539388951010948,134,5032,535
1539388951034364,135,2799,548
1539388951057339,136,2386,554
1539388951078393,137,1620,554
1539388951112300,138,3022,586
1539388951137340,139,2472,557
1539388951172029,140,5165,566
1539388951203860,141,1188,595
1539388951236139,142,1641,578
1539388951279425,143,1603,774
1539388951314073,144,2272,595
1539388951337002,145,1727,577
1539388951376320,146,5089,562
1539388951413449,147,1481,571
1539388951451444,148,3187,578
1539388951478258,149,3355,566
1539388951517013,150,1394,597
1539388951550274,151,2169,593
1539388951591711,152,1371,636
1539388951635140,153,5034,600
1539388951658438,154,2989,671
1539388951685100,155,2877,574
1539388951710102,156,2443,571
1539388951744439,157,5065,581
1539388951780968,158,1456,585
1539388951804254,159,1330,583
1539388951843352,160,3335,582
1539388951868842,161,3243,741
1539388951895966,162,2961,571
1539388951910214,163,1284,596
1539388951944408,164,2219,578
1539388951967405,165,1685,579
1539388952006504,166,5099,602
1539388952030243,167,2991,675
1539388952055940,168,2602,570
1539388952081077,169,2112,598
1539388952104664,170,1998,567
1539388952139476,171,3808,807
1539388952171452,172,5033,553
1539388952207860,173,1515,583
1539388952240994,174,2744,712
1539388952266512,175,2407,550
1539388952306297,176,1276,588
1539388952327810,177,5095,543
1539388952364459,178,1548,563
1539388952397712,179,2869,708
1539388952423505,180,2530,550
1539388952447419,181,1885,576
1539388952480709,182,3593,579
1539388952507496,183,3021,564
1539388952534878,184,2962,573
1539388952560651,185,2569,753
1539388952585645,186,2182,571
1539388952624365,187,1203,597
1539388952657070,188,1691,600
1539388952700433,189,1750,777
