timestamp_us,collection,mark_time_us,sweep_time_us
1539402671418488,0,33,30
1539402671433405,1,11,12
1539402671448182,2,10,11
1539402671462821,3,9,12
1539402671477477,4,9,12
1539402671492617,5,12,31
1539402671508159,6,18,19
1539402671522963,7,9,12
1539402671537717,8,9,12
1539402671552364,9,14,12
1539402671567105,10,9,12
1539402671581744,11,9,12
1539402671596415,12,8,12
1539402671611068,13,8,12
1539402671625722,14,8,12
1539402671640500,15,8,12
1539402671655145,16,8,12
1539402671669887,17,8,12
1539402671684522,18,8,12
1539402671699178,19,11,12
1539402671713839,20,8,12
1539402671728471,21,8,12
1539402671743144,22,8,11
1539402671757795,23,8,12
1539402671772619,24,8,11
1539402671787250,25,8,12
1539402671801902,26,8,12
1539402671816568,27,8,12
1539402671831179,28,8,11
1539402671845806,29,8,12
1539402671860468,30,8,12
1539402671875318,31,8,12
1539402671889998,32,8,12
1539402671904629,33,8,12
1539402671919283,34,8,12
1539402671934042,35,8,13
1539402671948847,36,7,12
1539402671963464,37,8,12
1539402671978102,38,8,13
1539402671992846,39,7,13
1539402672007862,40,16,29
1539402672022509,41,10,14
1539402672037263,42,8,12
1539402672051912,43,8,11
1539402672066667,44,8,12
1539402672081371,45,8,12
1539402672096031,46,8,12
1539402672110677,47,8,12
1539402672125468,48,8,12
1539402672140100,49,8,12
1539402672154759,50,8,13
1539402672169367,51,8,12
1539402672184002,52,8,12
1539402672198663,53,8,12
1539402672213310,54,8,12
1539402672227934,55,8,12
1539402672242831,56,8,12
1539402672257474,57,8,12
1539402672272117,58,8,12
1539402672286748,59,8,12
1539402672301418,60,8,12
1539402672316140,61,8,12
1539402672330909,62,8,13
1539402672345564,63,8,12
1539402672360217,64,8,12
1539402672374845,65,8,12
1539402672389466,66,8,12
1539402672404132,67,8,11
1539402672418862,68,9,12
1539402672433493,69,8,12
1539402672448155,70,9,12
1539402672462758,71,8,12
1539402672477382,72,8,12
1539402672492415,73,26,52
1539402672507895,74,24,19
1539402672522916,75,9,12
1539402672537809,76,9,13
1539402672552451,77,9,12
1539402672567096,78,8,12
1539402672581733,79,9,12
1539402672596426,80,8,12
1539402672611086,81,9,13
1539402672625998,82,8,12
1539402672640698,83,8,12
1539402672655333,84,8,11
1539402672669968,85,8,13
1539402672684597,86,8,12
1539402672699256,87,8,12
1539402672713915,88,8,12
1539402672728555,89,8,12
1539402672743214,90,8,12
1539402672757880,91,9,12
1539402672772521,92,8,11
1539402672787179,93,8,12
1539402672801841,94,8,12
1539402672816551,95,8,12
1539402672831201,96,8,12
1539402672845996,97,8,13
1539402672860649,98,8,12
1539402672875432,99,8,12
1539402672890080,100,9,12
1539402672904733,101,8,12
1539402672919439,102,8,12
1539402672934080,103,9,12
1539402672948802,104,8,12
1539402672963439,105,8,12
1539402672978113,106,8,12
1539402672992743,107,8,12
1539402673007565,108,15,29
1539402673022399,109,10,15
1539402673037175,110,9,12
1539402673051839,111,9,13
1539402673066619,112,8,12
1539402673081290,113,8,12
1539402673095957,114,8,12
1539402673110767,115,8,11
1539402673125387,116,9,12
1539402673140059,117,8,11
1539402673154716,118,8,12
1539402673169357,119,8,12
1539402673184008,120,8,12
1539402673198650,121,8,11
1539402673213322,122,9,11
1539402673227977,123,8,12
1539402673242616,124,8,13
1539402673257263,125,8,12
1539402673271904,126,7,12
1539402673286534,127,8,12
1539402673301194,128,8,13
1539402673315866,129,8,11
1539402673330510,130,8,12
1539402673345198,131,8,12
1539402673359908,132,8,12
1539402673374534,133,8,12
1539402673389188,134,8,12
1539402673403916,135,8,12
1539402673418574,136,8,12
1539402673433226,137,8,12
1539402673448030,138,8,12
1539402673462951,139,8,11
1539402673477618,140,8,12
1539402673492768,141,38,58
1539402673508222,142,19,17
1539402673523236,143,9,13
1539402673538265,144,9,14
1539402673553002,145,9,13
1539402673567647,146,9,12
1539402673582299,147,9,11
1539402673597045,148,10,13
1539402673611821,149,8,12
1539402673626483,150,8,12
1539402673641128,151,8,12
1539402673655872,152,8,12
1539402673670513,153,8,12
1539402673685168,154,8,12
1539402673699871,155,8,12
1539402673714511,156,8,12
1539402673729186,157,8,12
1539402673744085,158,8,11
1539402673758971,159,8,12
1539402673773902,160,8,12
1539402673788721,161,8,12
1539402673803425,162,8,12
1539402673818311,163,8,12
1539402673833049,164,8,12
1539402673847828,165,8,13
1539402673862744,166,8,13
1539402673877703,167,8,13
1539402673892860,168,8,12
1539402673907904,169,8,13
1539402673922780,170,8,12
1539402673937582,171,8,13
1539402673952393,172,8,12
1539402673967205,173,8,12
1539402673981966,174,8,12
1539402673997008,175,8,12
1539402674012419,176,18,24
1539402674027543,177,9,13
1539402674042785,178,8,12
1539402674057887,179,8,12
1539402674072949,180,8,13
1539402674087843,181,9,11
1539402674102822,182,8,12
1539402674117680,183,8,12
1539402674132492,184,9,12
1539402674147305,185,8,12
1539402674162118,186,9,12
1539402674176901,187,8,12
1539402674191751,188,8,12
1539402674206735,189,9,12
1539402674221693,190,8,13
1539402674236643,191,8,12
1539402674251483,192,9,12
1539402674266298,193,8,12
1539402674281103,194,8,12
1539402674295957,195,8,12
1539402674310765,196,8,12
1539402674325566,197,8,12
1539402674340399,198,8,12
1539402674355273,199,8,12
1539402674370071,200,9,12
1539402674384870,201,8,12
1539402674399743,202,8,13
1539402674414550,203,8,12
1539402674429349,204,8,12
1539402674444166,205,8,12
1539402674458993,206,8,12
1539402674473808,207,8,12
1539402674488657,208,9,18
1539402674504380,209,29,23
1539402674519635,210,10,13
1539402674534607,211,9,13
1539402674549571,212,8,13
1539402674564589,213,9,12
1539402674579584,214,8,13
1539402674594658,215,9,13
1539402674609744,216,9,12
1539402674624749,217,8,12
1539402674639579,218,8,12
1539402674654323,219,8,12
1539402674669115,220,8,12
1539402674683803,221,9,12
1539402674698560,222,8,12
1539402674713281,223,9,12
1539402674727991,224,8,12
1539402674742771,225,8,12
1539402674757478,226,7,12
1539402674772201,227,8,12
1539402674786906,228,8,12
1539402674801667,229,8,12
1539402674816403,230,8,12
1539402674831133,231,8,12
1539402674845975,232,8,12
1539402674860892,233,8,12
1539402674875914,234,7,12
1539402674890746,235,8,12
1539402674905490,236,8,12
1539402674920218,237,8,12
1539402674934951,238,8,12
1539402674949784,239,8,12
1539402674964548,240,8,12
1539402674979289,241,8,13
1539402674994012,242,7,12
1539402675009128,243,18,28
1539402675024271,244,10,13
1539402675039116,245,8,12
1539402675054007,246,8,12
1539402675068916,247,8,12
1539402675083882,248,8,12
1539402675098708,249,9,12
1539402675113484,250,8,12
1539402675128381,251,8,12
1539402675143339,252,8,11
1539402675158230,253,8,12
1539402675172953,254,8,12
1539402675187703,255,8,12
1539402675202460,256,9,12
1539402675217192,257,8,11
1539402675231934,258,8,12
1539402675246647,259,8,12
1539402675261383,260,9,12
1539402675276189,261,8,12
1539402675290955,262,8,12
1539402675305669,263,7,12
1539402675320421,264,8,12
1539402675335143,265,8,12
1539402675349989,266,8,13
1539402675364753,267,9,12
1539402675379488,268,8,12
1539402675394222,269,8,12
1539402675408967,270,8,13
1539402675423676,271,9,12
1539402675438448,272,8,14
1539402675453191,273,9,11
1539402675467957,274,8,12
1539402675482710,275,8,12
1539402675498241,276,32,43
1539402675513791,277,14,14
1539402675528918,278,9,13
1539402675543891,279,8,13
1539402675558690,280,8,12
1539402675573592,281,8,12
1539402675588480,282,9,12
1539402675603276,283,9,11
1539402675618046,284,8,12
1539402675632766,285,8,12
1539402675647673,286,8,14
1539402675662397,287,8,12
