timestamp_us,collection,mark_time_us,sweep_time_us
1539554892091817,0,109,45
1539554892097319,1,111,26
1539554892100674,2,81,28
1539554892104077,3,62,17
1539554892107608,4,59,20
1539554892111106,5,56,17
1539554892114638,6,53,16
1539554892118182,7,52,16
1539554892121594,8,53,16
1539554892125098,9,55,18
1539554892128559,10,52,17
1539554892131967,11,50,18
1539554892135377,12,50,17
1539554892138745,13,52,17
1539554892142198,14,53,18
1539554892145581,15,51,17
1539554892148955,16,50,17
1539554892152323,17,50,18
1539554892155696,18,53,18
1539554892159052,19,82,17
1539554892162119,20,39,18
1539554892165627,21,40,15
1539554892169058,22,46,16
1539554892172403,23,49,17
1539554892175751,24,50,16
1539554892179090,25,50,16
1539554892182433,26,49,16
1539554892185781,27,50,17
1539554892189131,28,50,17
1539554892192454,29,49,17
1539554892195960,30,52,18
1539554892199296,31,50,16
1539554892202656,32,51,17
1539554892206043,33,51,17
1539554892209435,34,52,17
1539554892212822,35,51,17
1539554892216204,36,52,17
1539554892219574,37,50,18
1539554892222941,38,49,18
1539554892226299,39,51,18
1539554892229673,40,52,18
1539554892233028,41,50,18
1539554892236380,42,51,18
1539554892239736,43,52,18
1539554892243098,44,51,18
1539554892246451,45,50,18
1539554892249873,46,50,19
1539554892253209,47,50,19
1539554892256542,48,50,19
1539554892259885,49,51,19
1539554892263251,50,51,19
1539554892266599,51,50,18
1539554892269958,52,50,19
1539554892273321,53,50,18
1539554892276658,54,51,18
1539554892279998,55,50,19
1539554892283339,56,51,20
1539554892286674,57,50,19
1539554892290029,58,51,19
1539554892293394,59,51,18
1539554892296768,60,52,19
1539554892300126,61,51,18
1539554892303464,62,50,19
1539554892306796,63,50,19
1539554892310150,64,52,20
1539554892313515,65,51,19
1539554892316880,66,52,19
1539554892320246,67,51,19
1539554892323587,68,52,19
1539554892327094,69,76,35
1539554892330513,70,54,20
1539554892333885,71,51,19
1539554892337265,72,50,19
1539554892340651,73,51,19
1539554892344015,74,51,19
1539554892347370,75,49,19
1539554892350725,76,51,19
1539554892354090,77,51,19
1539554892357444,78,51,20
1539554892360801,79,51,19
1539554892364174,80,51,20
1539554892367535,81,50,20
1539554892370892,82,51,19
1539554892374255,83,51,19
1539554892377613,84,51,19
1539554892380977,85,51,19
1539554892384336,86,51,20
1539554892387699,87,50,20
1539554892391041,88,52,19
1539554892394531,89,55,20
1539554892397919,90,53,19
1539554892401291,91,51,20
1539554892404670,92,51,19
1539554892408042,93,51,20
1539554892411408,94,51,21
1539554892414761,95,50,19
1539554892418122,96,50,20
1539554892421487,97,51,19
1539554892424957,98,54,20
1539554892428329,99,50,19
1539554892431731,100,52,19
1539554892435101,101,52,19
1539554892438476,102,52,19
1539554892441858,103,51,20
1539554892445217,104,50,19
1539554892448575,105,51,19
1539554892451941,106,52,19
1539554892455299,107,50,19
1539554892458654,108,51,19
1539554892462021,109,53,19
1539554892465393,110,52,20
1539554892468765,111,51,19
1539554892472123,112,51,19
1539554892475485,113,51,19
1539554892478826,114,49,20
1539554892482169,115,51,20
1539554892485528,116,51,20
1539554892489110,117,78,29
1539554892492790,118,78,30
1539554892496545,119,82,28
1539554892500101,120,59,21
1539554892503611,121,56,21
1539554892507082,122,57,21
1539554892510593,123,52,19
1539554892514125,124,53,21
1539554892517662,125,50,21
1539554892521195,126,51,20
1539554892524729,127,53,19
1539554892528218,128,57,21
1539554892531696,129,56,20
1539554892535194,130,56,21
1539554892538718,131,52,19
1539554892542242,132,51,19
1539554892545640,133,52,19
1539554892549059,134,52,20
1539554892552455,135,50,19
1539554892555851,136,52,19
1539554892559240,137,50,20
1539554892562616,138,51,19
1539554892565989,139,50,20
1539554892569347,140,52,19
1539554892572706,141,50,20
1539554892576060,142,51,19
1539554892579424,143,50,19
1539554892582760,144,50,19
1539554892586118,145,50,19
1539554892589462,146,52,19
1539554892592818,147,50,20
1539554892596175,148,50,19
1539554892599531,149,49,20
1539554892602875,150,50,20
1539554892606238,151,51,19
1539554892609597,152,51,20
1539554892612955,153,49,20
1539554892616304,154,51,19
1539554892619666,155,50,20
1539554892623020,156,52,19
1539554892626358,157,50,19
1539554892629722,158,51,19
1539554892633075,159,50,19
1539554892636446,160,51,20
1539554892639810,161,50,20
1539554892643152,162,50,19
1539554892646501,163,49,20
1539554892649857,164,50,20
1539554892653212,165,52,19
1539554892656566,166,50,19
1539554892659909,167,50,20
1539554892663266,168,50,19
1539554892666610,169,50,19
1539554892669968,170,52,19
1539554892673329,171,50,19
1539554892676765,172,51,19
1539554892680122,173,51,19
1539554892683486,174,50,19
1539554892686876,175,57,23
1539554892690337,176,52,19
1539554892693713,177,50,20
1539554892697137,178,52,20
1539554892700568,179,81,16
1539554892703677,180,39,18
1539554892707211,181,39,16
1539554892710690,182,45,16
1539554892714073,183,50,17
1539554892717444,184,50,16
1539554892720808,185,50,17
1539554892724153,186,53,16
1539554892727518,187,50,17
1539554892730858,188,49,17
1539554892734198,189,49,16
1539554892737542,190,51,17
1539554892740897,191,51,16
1539554892744221,192,51,18
1539554892747570,193,50,16
1539554892750911,194,49,16
1539554892754264,195,51,18
1539554892757609,196,51,17
1539554892761071,197,55,19
1539554892764456,198,51,18
1539554892767891,199,52,19
1539554892771348,200,53,19
1539554892774770,201,51,19
1539554892778205,202,52,19
1539554892781642,203,51,18
1539554892785064,204,50,19
1539554892788491,205,51,19
1539554892791902,206,50,19
1539554892795284,207,50,19
1539554892798653,208,51,19
1539554892802035,209,50,19
1539554892805409,210,51,19
1539554892808781,211,50,18
1539554892812146,212,49,19
1539554892815499,213,51,19
1539554892818857,214,49,19
1539554892822193,215,50,18
1539554892825539,216,53,20
1539554892829093,217,74,26
1539554892832495,218,52,19
1539554892835909,219,52,19
1539554892839330,220,52,20
1539554892842748,221,51,19
1539554892846145,222,50,19
1539554892849550,223,51,19
1539554892852934,224,50,19
1539554892856315,225,50,19
1539554892859694,226,51,19
1539554892863062,227,50,19
1539554892866419,228,50,19
1539554892869785,229,52,19
1539554892873148,230,52,19
1539554892876508,231,50,19
1539554892879866,232,50,20
1539554892883223,233,50,19
1539554892886577,234,49,20
1539554892889931,235,50,19
1539554892893283,236,50,19
1539554892896641,237,50,19
1539554892900006,238,51,19
1539554892903368,239,50,19
1539554892906714,240,50,20
1539554892910195,241,52,20
1539554892913564,242,53,20
1539554892916986,243,52,19
1539554892920406,244,53,20
1539554892923823,245,50,20
1539554892927232,246,50,20
1539554892930623,247,51,20
1539554892934009,248,52,20
1539554892937397,249,50,20
1539554892940774,250,52,20
1539554892944160,251,51,20
1539554892947522,252,50,19
1539554892950867,253,49,20
1539554892954227,254,50,20
1539554892957584,255,50,20
1539554892960939,256,51,19
1539554892964294,257,50,21
1539554892967658,258,51,20
1539554892970994,259,54,20
1539554892974342,260,49,20
1539554892977689,261,50,19
1539554892981056,262,51,19
1539554892984414,263,49,19
1539554892987763,264,50,20
1539554892991120,265,50,20
1539554892994474,266,49,20
1539554892997838,267,50,20
1539554893001241,268,55,22
1539554893004861,269,51,21
1539554893008263,270,52,21
1539554893011792,271,56,23
1539554893015359,272,54,22
1539554893018867,273,54,22
1539554893022385,274,54,21
1539554893026021,275,59,24
1539554893029683,276,76,36
1539554893033266,277,53,20
1539554893036756,278,52,20
1539554893040238,279,52,20
1539554893043698,280,52,20
1539554893047168,281,52,20
1539554893050622,282,52,20
1539554893054062,283,51,19
1539554893057490,284,50,20
1539554893060908,285,52,20
1539554893064327,286,51,21
1539554893067733,287,50,20
1539554893071133,288,51,19
1539554893074508,289,50,20
1539554893077881,290,51,19
1539554893081242,291,50,20
1539554893084602,292,50,19
1539554893087933,293,51,18
1539554893091301,294,51,20
1539554893094655,295,50,18
1539554893098144,296,53,19
1539554893101486,297,50,19
1539554893104898,298,51,20
1539554893108320,299,52,20
1539554893111726,300,52,20
1539554893115154,301,51,19
1539554893118554,302,51,19
1539554893121950,303,53,20
1539554893125338,304,51,19
1539554893128712,305,50,19
1539554893132082,306,49,19
1539554893135439,307,51,19
1539554893138792,308,50,20
1539554893142182,309,53,21
1539554893145565,310,53,20
1539554893148910,311,50,19
1539554893152254,312,53,19
1539554893155601,313,51,19
1539554893158936,314,49,19
1539554893162266,315,50,19
1539554893165599,316,52,19
1539554893168946,317,50,19
1539554893172278,318,51,19
1539554893175617,319,52,19
