timestamp_us,collection,mark_time_us,sweep_time_us
1539554715701462,0,50,40
1539554715706007,1,13,13
1539554715709528,2,13,12
1539554715713079,3,11,12
1539554715716611,4,12,13
1539554715720163,5,12,12
1539554715723723,6,11,13
1539554715727285,7,12,13
1539554715730832,8,12,12
1539554715734415,9,11,12
1539554715738045,10,11,13
1539554715741602,11,12,12
1539554715745159,12,10,12
1539554715748719,13,11,13
1539554715752290,14,10,12
1539554715755866,15,11,12
1539554715759443,16,11,12
1539554715763015,17,12,12
1539554715766589,18,10,12
1539554715770178,19,12,12
1539554715773772,20,11,13
1539554715777333,21,11,12
1539554715780941,22,11,13
1539554715784537,23,11,13
1539554715788129,24,10,12
1539554715791711,25,10,14
1539554715795290,26,11,12
1539554715798869,27,10,12
1539554715802460,28,11,12
1539554715806069,29,10,13
1539554715809669,30,10,13
1539554715813267,31,11,12
1539554715816862,32,12,13
1539554715820454,33,10,12
1539554715824032,34,11,12
1539554715827625,35,10,12
1539554715831197,36,10,12
1539554715834776,37,11,12
1539554715838359,38,10,12
1539554715841964,39,9,13
1539554715845565,40,10,13
1539554715849151,41,11,13
1539554715852739,42,10,13
1539554715856327,43,10,13
1539554715859908,44,12,13
1539554715863520,45,10,13
1539554715867107,46,11,12
1539554715870709,47,10,12
1539554715874313,48,10,11
1539554715877894,49,10,13
1539554715881506,50,11,12
1539554715885109,51,9,13
1539554715888716,52,10,12
1539554715892318,53,10,12
1539554715895927,54,10,12
1539554715899544,55,10,12
1539554715903141,56,11,12
1539554715906734,57,10,12
1539554715910406,58,13,15
1539554715914054,59,11,13
1539554715917754,60,10,12
1539554715921419,61,11,13
1539554715925072,62,10,13
1539554715928719,63,10,12
1539554715932361,64,10,13
1539554715935991,65,11,12
1539554715939617,66,10,13
1539554715943244,67,11,12
1539554715946852,68,10,13
1539554715950458,69,11,12
1539554715954079,70,11,13
1539554715957682,71,11,12
1539554715961275,72,10,12
1539554715964878,73,11,13
1539554715968468,74,11,12
1539554715972056,75,9,12
1539554715975630,76,11,12
1539554715979217,77,10,12
1539554715982800,78,11,11
1539554715986385,79,11,12
1539554715989979,80,10,12
1539554715993559,81,10,12
1539554715997146,82,10,13
1539554716000718,83,10,13
1539554716004312,84,10,13
1539554716007924,85,10,13
1539554716011602,86,12,14
1539554716015295,87,10,13
1539554716018947,88,10,14
1539554716022600,89,10,13
1539554716026260,90,11,14
1539554716029886,91,9,13
1539554716033529,92,11,12
1539554716037181,93,10,13
1539554716040839,94,10,13
1539554716044476,95,10,13
1539554716048089,96,10,12
1539554716051709,97,11,12
1539554716055309,98,10,12
1539554716058900,99,10,12
1539554716062505,100,12,13
1539554716066106,101,10,13
1539554716069675,102,10,12
1539554716073240,103,10,13
1539554716076799,104,10,12
1539554716080358,105,9,13
1539554716083920,106,10,12
1539554716087479,107,10,12
1539554716091058,108,10,12
1539554716094610,109,10,13
1539554716098188,110,11,12
1539554716101756,111,10,12
1539554716105403,112,11,15
1539554716109063,113,10,12
1539554716112681,114,10,13
1539554716116309,115,11,13
1539554716119922,116,11,13
1539554716123550,117,9,13
1539554716127175,118,10,13
1539554716130778,119,11,12
1539554716134402,120,11,12
1539554716138146,121,15,22
1539554716141827,122,13,12
1539554716145421,123,10,12
1539554716149049,124,11,13
1539554716152649,125,11,12
1539554716156233,126,10,13
1539554716159810,127,10,12
1539554716163502,128,12,14
1539554716167083,129,11,12
1539554716170671,130,11,13
1539554716174267,131,11,13
1539554716177846,132,10,12
1539554716181426,133,11,12
1539554716185005,134,10,13
1539554716188588,135,10,13
1539554716192160,136,11,13
1539554716195734,137,10,13
1539554716199295,138,10,13
1539554716202843,139,12,12
1539554716206419,140,11,13
1539554716209975,141,10,12
1539554716213524,142,10,12
1539554716217077,143,9,13
1539554716220633,144,10,12
1539554716224195,145,11,12
1539554716227745,146,10,12
1539554716231293,147,10,12
1539554716234848,148,10,12
1539554716238406,149,10,13
1539554716241969,150,9,13
1539554716245546,151,11,13
1539554716249239,152,12,13
1539554716252819,153,10,13
1539554716256428,154,10,13
1539554716260043,155,10,13
1539554716263639,156,10,13
1539554716267270,157,11,13
1539554716270859,158,10,12
1539554716274434,159,11,11
1539554716278062,160,10,13
1539554716281665,161,10,13
1539554716285268,162,10,12
1539554716288856,163,11,12
1539554716292438,164,10,13
1539554716296010,165,10,13
1539554716299594,166,11,12
1539554716303167,167,11,12
1539554716306729,168,10,12
1539554716310306,169,10,12
