timestamp_us,collection,mark_time_us,sweep_time_us
1539573241175856,0,202,66
1539573241191131,1,128,93
1539573241204112,2,113,65
1539573241216938,3,111,66
1539573241229615,4,107,62
1539573241242229,5,104,66
1539573241254871,6,101,72
1539573241267513,7,110,66
1539573241280145,8,119,63
1539573241292900,9,117,73
1539573241305694,10,111,65
1539573241318317,11,109,66
1539573241331219,12,111,64
1539573241344217,13,109,66
1539573241357084,14,107,62
1539573241369843,15,108,65
1539573241382492,16,115,60
1539573241395108,17,107,63
1539573241407717,18,109,63
1539573241420682,19,142,83
1539573241433431,20,125,72
1539573241446014,21,115,71
1539573241458555,22,123,72
1539573241471140,23,116,69
1539573241483732,24,117,71
1539573241497359,25,154,109
1539573241510478,26,130,74
1539573241523611,27,130,73
1539573241536814,28,121,74
1539573241549877,29,131,79
1539573241579843,30,150,246
1539573241606638,31,160,230
1539573241633422,32,161,225
1539573241660200,33,164,223
1539573241687173,34,153,222
1539573241714098,35,150,223
1539573241741021,36,152,221
1539573241768086,37,165,220
1539573241794814,38,148,242
1539573241821644,39,152,225
1539573241848446,40,146,223
1539573241875353,41,154,225
1539573241902229,42,150,221
1539573241929169,43,150,225
1539573241956534,44,167,234
1539573241983472,45,154,221
1539573242010815,46,160,242
1539573242038692,47,153,234
1539573242065330,48,158,225
1539573242092358,49,143,229
1539573242118994,50,167,229
1539573242145587,51,157,221
1539573242172091,52,150,227
1539573242198920,53,158,228
1539573242225819,54,149,222
1539573242252917,55,154,220
1539573242279561,56,159,222
1539573242305978,57,154,220
1539573242332566,58,154,225
1539573242359106,59,155,221
1539573242385721,60,154,223
1539573242412476,61,177,223
1539573242439381,62,147,226
1539573242466145,63,157,219
1539573242493333,64,162,257
1539573242522112,65,152,227
1539573242550127,66,153,225
1539573242577761,67,149,245
1539573242604560,68,146,226
1539573242630946,69,157,224
1539573242657523,70,156,224
1539573242683944,71,152,221
1539573242710625,72,156,227
1539573242737139,73,148,221
1539573242763874,74,147,227
1539573242790774,75,150,228
1539573242817769,76,154,225
1539573242844862,77,155,225
1539573242871828,78,152,220
1539573242898817,79,158,222
1539573242926087,80,169,219
1539573242953294,81,150,220
1539573242980448,82,159,221
1539573243007703,83,154,229
1539573243035939,84,157,236
1539573243062870,85,156,220
1539573243090183,86,152,225
1539573243117373,87,154,219
1539573243144278,88,153,220
1539573243171464,89,170,223
1539573243198648,90,152,234
1539573243225591,91,144,218
1539573243252521,92,152,219
1539573243279481,93,156,226
1539573243306541,94,139,219
1539573243333632,95,160,225
1539573243360734,96,158,223
1539573243387644,97,149,225
1539573243414641,98,152,234
1539573243441783,99,149,226
1539573243469607,100,152,223
1539573243497622,101,162,233
1539573243526322,102,153,226
1539573243554406,103,167,231
1539573243581631,104,151,236
1539573243608726,105,151,228
1539573243635863,106,145,218
1539573243662873,107,157,220
1539573243689905,108,157,224
1539573243717193,109,153,226
1539573243744425,110,154,223
1539573243771502,111,150,236
1539573243799725,112,181,235
1539573243828010,113,177,224
1539573243855029,114,155,221
1539573243882210,115,148,219
1539573243909271,116,153,225
1539573243936494,117,149,217
1539573243963873,118,165,227
1539573243990988,119,164,225
1539573244018962,120,166,222
1539573244046901,121,174,225
1539573244074041,122,155,222
1539573244101068,123,150,227
1539573244128095,124,156,224
1539573244154800,125,143,232
1539573244181567,126,155,223
1539573244208657,127,150,224
1539573244235420,128,167,222
1539573244262234,129,157,222
1539573244288912,130,149,219
1539573244315553,131,150,220
1539573244342398,132,148,222
1539573244369184,133,173,223
1539573244395910,134,159,219
1539573244422494,135,153,223
1539573244449581,136,156,228
1539573244476744,137,149,222
1539573244505056,138,153,231
1539573244533388,139,155,226
1539573244560444,140,152,224
1539573244587774,141,154,233
1539573244614791,142,150,230
1539573244641915,143,153,221
1539573244668880,144,149,218
1539573244695897,145,155,227
1539573244723221,146,149,219
1539573244750233,147,171,227
1539573244777276,148,154,221
1539573244804556,149,151,221
1539573244831698,150,153,225
1539573244858704,151,158,223
1539573244885629,152,152,221
1539573244912576,153,153,226
1539573244939459,154,153,219
1539573244966584,155,155,223
1539573244993632,156,152,220
1539573245021395,157,153,223
1539573245048806,158,151,225
1539573245075375,159,152,221
1539573245102507,160,160,228
1539573245129361,161,153,225
1539573245156220,162,153,230
1539573245182909,163,152,228
1539573245209805,164,157,220
1539573245236533,165,155,222
1539573245263133,166,150,221
1539573245289830,167,150,221
1539573245316796,168,150,220
1539573245343847,169,143,223
1539573245370615,170,145,221
1539573245397162,171,152,226
1539573245423841,172,151,225
1539573245450404,173,155,226
1539573245477272,174,156,224
1539573245504869,175,148,228
1539573245532918,176,154,231
1539573245560132,177,140,220
1539573245587018,178,151,238
1539573245613777,179,159,227
1539573245640388,180,153,222
1539573245666984,181,163,222
1539573245693473,182,151,219
1539573245720568,183,151,224
1539573245747359,184,154,224
1539573245773890,185,153,223
1539573245800774,186,155,223
1539573245827314,187,156,223
1539573245853911,188,153,223
1539573245880583,189,148,216
1539573245907266,190,152,224
1539573245933989,191,156,222
1539573245960609,192,151,227
1539573245987290,193,156,226
1539573246014625,194,172,230
1539573246041972,195,150,227
1539573246068681,196,155,227
1539573246095834,197,157,227
1539573246122853,198,152,232
1539573246149984,199,154,223
1539573246176981,200,150,224
1539573246204566,201,150,227
1539573246231813,202,150,226
1539573246259157,203,157,223
1539573246286236,204,154,221
1539573246313486,205,153,228
1539573246340742,206,149,222
1539573246367955,207,151,223
1539573246395253,208,147,218
1539573246422585,209,148,223
1539573246449981,210,153,222
1539573246477274,211,154,224
1539573246505823,212,156,232
1539573246534416,213,153,229
1539573246561788,214,152,219
1539573246589349,215,139,231
1539573246616848,216,157,224
1539573246644136,217,159,223
1539573246671244,218,155,222
1539573246698461,219,154,225
1539573246725958,220,150,223
1539573246753161,221,152,226
1539573246780458,222,156,224
1539573246807851,223,154,228
1539573246835307,224,147,220
1539573246862568,225,167,223
1539573246889808,226,154,222
1539573246917257,227,147,221
1539573246944686,228,155,221
1539573246972100,229,159,224
1539573246999415,230,156,225
1539573247027932,231,171,281
1539573247055817,232,152,223
1539573247083172,233,160,254
1539573247110435,234,139,220
1539573247137589,235,155,223
1539573247165267,236,154,224
1539573247192537,237,153,226
1539573247219609,238,145,219
1539573247246708,239,157,222
1539573247273939,240,153,226
1539573247301141,241,137,223
1539573247329093,242,156,224
1539573247356938,243,157,224
1539573247384142,244,155,222
1539573247411374,245,148,222
1539573247438489,246,155,226
1539573247465537,247,155,222
1539573247493399,248,153,254
1539573247521884,249,159,232
1539573247549733,250,157,228
1539573247577458,251,149,227
1539573247604917,252,155,228
1539573247631933,253,154,217
1539573247659113,254,150,225
1539573247686612,255,157,223
1539573247713713,256,151,229
1539573247740826,257,170,222
1539573247767918,258,170,222
1539573247795112,259,153,221
1539573247822521,260,151,222
1539573247849663,261,154,221
1539573247876985,262,153,220
1539573247904119,263,149,220
1539573247931340,264,155,222
1539573247958736,265,151,239
1539573247985863,266,147,218
1539573248013959,267,146,224
1539573248041800,268,157,228
1539573248068489,269,151,223
1539573248095385,270,151,228
1539573248122083,271,151,223
1539573248148680,272,148,219
1539573248175549,273,148,224
1539573248202519,274,145,221
1539573248229194,275,156,219
1539573248255855,276,158,218
1539573248282351,277,148,221
1539573248309095,278,152,221
1539573248335768,279,147,224
1539573248362493,280,149,222
1539573248389323,281,141,217
1539573248415953,282,154,222
1539573248442748,283,156,233
1539573248469417,284,155,223
1539573248496836,285,152,242
1539573248524568,286,151,226
1539573248551354,287,155,220
1539573248578096,288,159,223
1539573248605072,289,151,223
1539573248631786,290,153,225
1539573248658400,291,151,222
1539573248685020,292,154,228
1539573248711923,293,151,217
1539573248738653,294,154,228
1539573248765386,295,156,226
1539573248792162,296,152,219
1539573248818916,297,158,218
1539573248845898,298,153,222
1539573248872690,299,169,225
1539573248899525,300,143,220
1539573248926320,301,171,227
1539573248953051,302,159,222
