timestamp_us,collection,mark_time_us,sweep_time_us
1538943450662669,0,87,46
1538943450665464,1,93,58
1538943450668146,2,76,52
1538943450670865,3,63,52
1538943450672859,4,43,33
1538943450674361,5,28,32
1538943450679017,6,40,47
1538943450682014,7,55,51
1538943450685085,8,72,57
1538943450688169,9,53,51
1538943450691600,10,44,45
1538943450694536,11,61,54
1538943450697540,12,55,51
1538943450700733,13,72,62
1538943450704040,14,71,60
1538943450707252,15,50,57
1538943450710348,16,79,67
1538943450713576,17,51,50
1538943450716793,18,54,51
1538943450719951,19,44,51
1538943450723080,20,38,42
1538943450726107,21,47,48
1538943450729202,22,53,51
1538943450732384,23,47,47
1538943450735388,24,44,47
1538943450738472,25,73,44
1538943450741591,26,38,45
1538943450744582,27,51,51
1538943450747548,28,45,46
1538943450750578,29,70,60
1538943450753604,30,52,49
1538943450756686,31,148,83
1538943450759638,32,40,46
1538943450762661,33,40,45
1538943450765736,34,47,46
1538943450768732,35,43,45
1538943450771695,36,35,42
1538943450774731,37,50,51
1538943450777689,38,60,55
1538943450780748,39,56,51
1538943450783860,40,37,41
1538943450786882,41,62,54
1538943450789923,42,48,49
1538943450792931,43,40,46
1538943450795955,44,45,51
1538943450798908,45,49,48
1538943450801886,46,42,44
1538943450804938,47,37,44
1538943450808020,48,42,45
1538943450811025,49,115,66
1538943450814066,50,52,49
1538943450817186,51,39,43
1538943450820164,52,68,58
1538943450823039,53,40,44
1538943450826074,54,62,55
1538943450829033,55,51,50
1538943450832117,56,62,54
1538943450835170,57,45,47
1538943450838149,58,52,50
1538943450841188,59,49,51
1538943450844244,60,67,59
1538943450847218,61,45,51
1538943450850167,62,64,57
1538943450853133,63,48,50
1538943450856128,64,41,47
1538943450859276,65,42,44
1538943450862224,66,65,56
1538943450865268,67,63,56
1538943450868339,68,58,51
1538943450871329,69,53,52
1538943450874252,70,46,46
1538943450877276,71,55,52
1538943450880260,72,53,51
1538943450883355,73,39,42
1538943450886356,74,39,46
1538943450889377,75,46,48
1538943450892467,76,55,52
1538943450895474,77,35,43
1538943450898434,78,38,61
1538943450901451,79,34,42
1538943450904486,80,70,58
1538943450907532,81,65,57
1538943450910609,82,45,48
1538943450913570,83,54,51
1538943450916646,84,67,56
1538943450919654,85,44,48
1538943450922646,86,36,42
1538943450925592,87,57,52
1538943450928567,88,49,49
1538943450931612,89,60,53
1538943450934721,90,38,43
1538943450937712,91,59,54
1538943450940718,92,56,52
1538943450943822,93,35,42
1538943450946832,94,61,53
1538943450949724,95,40,46
1538943450952778,96,38,43
1538943450955744,97,65,57
1538943450958830,98,39,43
1538943450961883,99,44,46
1538943450964925,100,97,67
1538943450967985,101,41,46
1538943450971019,102,56,51
1538943450973995,103,49,50
1538943450976952,104,71,60
1538943450979930,105,40,45
1538943450982971,106,42,46
1538943450986060,107,40,42
1538943450989053,108,167,89
1538943450992044,109,130,74
1538943450995177,110,48,48
1538943450998269,111,41,44
1538943451001165,112,49,52
1538943451004237,113,59,52
1538943451007208,114,42,44
1538943451010292,115,59,50
1538943451013339,116,57,52
1538943451016353,117,47,49
1538943451019414,118,46,50
1538943451022428,119,92,58
1538943451025435,120,61,56
1538943451028398,121,58,54
1538943451031625,122,55,52
1538943451034884,123,53,53
1538943451038250,124,37,45
1538943451041483,125,71,59
1538943451044789,126,69,58
1538943451048125,127,59,54
1538943451051356,128,54,54
1538943451054478,129,64,50
1538943451057762,130,101,71
1538943451060954,131,40,46
1538943451064280,132,113,90
1538943451073551,133,66,89
1538943451080053,134,62,80
1538943451086395,135,75,102
1538943451092732,136,88,91
1538943451099038,137,174,109
1538943451105363,138,88,97
1538943451111452,139,75,84
1538943451117585,140,58,78
1538943451123764,141,75,85
1538943451129958,142,73,82
1538943451135955,143,80,87
1538943451142032,144,72,83
1538943451148190,145,66,81
1538943451154378,146,67,99
1538943451160361,147,60,79
1538943451166469,148,91,83
1538943451172694,149,78,85
1538943451178888,150,63,76
1538943451184958,151,82,88
1538943451190988,152,83,88
1538943451197212,153,68,83
1538943451203341,154,84,92
1538943451209591,155,76,84
1538943451215652,156,73,83
1538943451221870,157,83,87
1538943451227981,158,85,87
1538943451234109,159,207,121
1538943451240214,160,78,85
1538943451246355,161,59,76
1538943451252474,162,65,85
1538943451258650,163,68,81
1538943451264666,164,100,95
1538943451270778,165,65,76
1538943451276926,166,86,89
1538943451283071,167,78,87
1538943451289084,168,62,78
1538943451295209,169,182,106
1538943451301475,170,58,77
1538943451307680,171,90,94
1538943451313640,172,53,73
1538943451319792,173,61,79
1538943451325924,174,54,74
1538943451332171,175,70,84
1538943451338111,176,71,80
1538943451344230,177,70,81
1538943451350402,178,114,95
1538943451356562,179,89,89
1538943451362644,180,67,81
1538943451368706,181,76,84
1538943451374953,182,87,96
1538943451381244,183,60,80
1538943451387420,184,90,99
1538943451393429,185,61,78
1538943451399647,186,77,85
1538943451405743,187,81,88
1538943451411878,188,60,79
1538943451417915,189,67,79
1538943451424162,190,59,78
1538943451430232,191,76,83
1538943451436428,192,97,93
1538943451442430,193,98,85
1538943451448571,194,65,78
1538943451454701,195,67,82
1538943451460868,196,64,81
1538943451466925,197,69,82
1538943451473022,198,66,79
1538943451479194,199,85,88
1538943451485393,200,80,91
1538943451491463,201,62,78
1538943451497561,202,69,87
1538943451503754,203,61,77
1538943451509972,204,73,82
1538943451516004,205,86,90
1538943451522087,206,73,86
1538943451528264,207,65,82
1538943451534466,208,85,82
1538943451540486,209,62,82
1538943451546644,210,62,78
1538943451552875,211,70,83
1538943451559013,212,67,80
1538943451565108,213,62,78
1538943451571146,214,70,84
1538943451577391,215,66,83
1538943451583547,216,71,82
1538943451589639,217,72,84
1538943451595700,218,69,82
1538943451601876,219,83,85
1538943451608033,220,82,88
1538943451614200,221,58,76
1538943451620269,222,61,80
1538943451626448,223,98,88
1538943451632529,224,57,77
1538943451638725,225,86,92
1538943451644754,226,77,86
1538943451650888,227,71,83
1538943451657028,228,107,101
1538943451663169,229,70,82
1538943451669247,230,66,81
1538943451675367,231,70,82
1538943451681521,232,86,87
1538943451687727,233,84,94
1538943451693714,234,58,75
1538943451699880,235,65,85
1538943451706478,236,86,81
1538943451713028,237,112,101
1538943451719029,238,80,86
1538943451725121,239,71,81
1538943451731383,240,69,83
1538943451737530,241,66,78
1538943451743618,242,64,81
1538943451749666,243,74,84
1538943451755915,244,77,83
1538943451762055,245,56,77
1538943451768190,246,95,96
1538943451774194,247,73,82
1538943451780573,248,61,78
1538943451786694,249,76,85
1538943451792865,250,75,83
1538943451798884,251,61,78
1538943451805089,252,70,83
1538943451811162,253,63,79
1538943451817374,254,58,75
1538943451823418,255,68,83
1538943451829561,256,167,107
1538943451835699,257,177,115
1538943451841860,258,58,74
1538943451847930,259,68,84
1538943451854066,260,67,81
1538943451860266,261,85,88
1538943451866416,262,98,91
1538943451872462,263,63,79
1538943451878577,264,55,77
1538943451884732,265,66,82
1538943451890974,266,73,85
1538943451897002,267,90,94
1538943451903212,268,75,84
1538943451909370,269,68,83
1538943451915636,270,67,82
1538943451921648,271,62,77
1538943451927759,272,64,80
1538943451933965,273,72,85
1538943451940123,274,66,82
1538943451946208,275,65,79
1538943451952269,276,73,83
1538943451958544,277,67,80
1538943451964656,278,70,84
1538943451970771,279,75,83
1538943451976857,280,73,81
1538943451983081,281,82,88
1538943451989199,282,82,87
1538943451995364,283,59,77
1538943452001635,284,64,82
1538943452007920,285,84,91
1538943452013977,286,55,77
1538943452020193,287,89,91
1538943452026214,288,75,86
1538943452033014,289,74,93
1538943452039854,290,73,92
1538943452046664,291,72,85
1538943452053336,292,61,80
1538943452060100,293,73,87
1538943452066916,294,87,93
1538943452073723,295,63,83
1538943452080380,296,73,87
1538943452087142,297,69,84
1538943452093934,298,76,88
1538943452100810,299,82,90
1538943452107439,300,55,79
1538943452114197,301,63,80
1538943452120977,302,66,84
1538943452127770,303,73,84
1538943452134303,304,65,81
1538943452140939,305,70,83
1538943452147664,306,77,88
1538943452154231,307,72,84
1538943452160729,308,68,85
1538943452167128,309,74,88
1538943452173708,310,70,83
1538943452180064,311,73,84
1538943452186348,312,75,107
1538943452192502,313,75,80
1538943452198787,314,87,89
1538943452204901,315,87,87
1538943452211306,316,60,78
1538943452217337,317,59,76
1538943452223537,318,94,93
1538943452229730,319,56,75
1538943452236016,320,91,88
1538943452242033,321,194,111
1538943452248230,322,66,81
1538943452254354,323,74,103
1538943452260531,324,78,84
1538943452266565,325,111,99
1538943452272623,326,83,87
1538943452278788,327,54,76
1538943452284998,328,77,87
1538943452291016,329,53,73
1538943452297201,330,61,78
1538943452303354,331,67,79
1538943452309589,332,117,101
1538943452315536,333,84,89
1538943452321632,334,72,82
1538943452327846,335,68,82
1538943452333999,336,68,79
1538943452340067,337,63,79
1538943452346146,338,83,87
1538943452352380,339,65,81
1538943452358537,340,86,92
1538943452364609,341,75,84
1538943452370652,342,56,74
1538943452376879,343,78,86
1538943452382994,344,86,88
1538943452389082,345,77,83
1538943452395116,346,64,79
1538943452401293,347,72,85
1538943452407384,348,90,92
1538943452413555,349,79,87
1538943452419658,350,76,83
1538943452425791,351,92,90
1538943452431902,352,62,81
1538943452438069,353,85,88
1538943452444119,354,73,84
1538943452450302,355,67,79
1538943452456531,356,215,120
1538943452462820,357,81,91
1538943452468926,358,76,85
1538943452475084,359,62,80
1538943452481298,360,69,80
1538943452487580,361,80,85
1538943452493556,362,54,73
1538943452499692,363,62,76
1538943452505844,364,147,102
1538943452512283,365,93,91
1538943452518323,366,81,90
1538943452524462,367,91,88
1538943452530675,368,66,83
1538943452536809,369,65,81
1538943452542959,370,69,85
1538943452548982,371,63,79
1538943452555245,372,80,84
1538943452561327,373,88,87
1538943452567441,374,98,94
1538943452573433,375,60,76
1538943452579665,376,95,94
1538943452585719,377,89,88
1538943452591937,378,70,82
1538943452598104,379,72,82
1538943452604461,380,91,92
1538943452610692,381,74,87
1538943452616963,382,77,83
1538943452623090,383,65,82
1538943452629253,384,65,77
1538943452635437,385,89,89
1538943452641560,386,61,79
1538943452647627,387,55,75
1538943452653723,388,67,82
1538943452659919,389,60,77
1538943452666156,390,74,83
1538943452672184,391,68,80
1538943452678287,392,67,79
1538943452684444,393,55,77
1538943452690669,394,73,83
1538943452696625,395,74,83
1538943452702955,396,72,84
1538943452709637,397,71,87
1538943452715929,398,69,79
1538943452721987,399,61,79
1538943452728094,400,82,87
1538943452734259,401,78,86
1538943452740390,402,78,88
1538943452746448,403,91,83
1538943452752493,404,56,76
1538943452758720,405,76,85
1538943452764805,406,85,85
1538943452770905,407,77,84
1538943452776931,408,66,79
1538943452783130,409,57,76
1538943452789264,410,108,97
1538943452795416,411,84,85
1538943452801419,412,77,83
1538943452807563,413,67,82
1538943452813640,414,57,77
1538943452819829,415,102,95
1538943452825829,416,60,80
1538943452831955,417,86,87
1538943452838065,418,91,92
1538943452844224,419,68,80
1538943452850266,420,84,87
1538943452856360,421,61,78
1538943452862493,422,91,83
1538943452868704,423,74,82
1538943452874687,424,91,89
1538943452880778,425,74,84
1538943452886922,426,69,83
1538943452893126,427,67,80
1538943452899136,428,63,79
1538943452905244,429,66,79
1538943452911531,430,73,84
1538943452917668,431,68,80
1538943452923794,432,66,79
1538943452929804,433,73,87
1538943452936068,434,67,82
1538943452942180,435,72,83
1538943452948298,436,76,83
1538943452954310,437,74,80
1538943452960534,438,200,117
1538943452966657,439,89,91
1538943452972851,440,65,79
1538943452978893,441,93,90
1538943452985043,442,69,83
1538943452991155,443,68,85
1538943452997457,444,73,81
1538943453003700,445,222,123
1538943453009908,446,198,112
1538943453016170,447,185,111
1538943453022401,448,62,115
1538943453028466,449,56,76
1538943453035182,450,66,92
1538943453041794,451,64,83
1538943453048389,452,74,84
1538943453054682,453,83,89
1538943453061034,454,73,83
1538943453067402,455,66,82
1538943453073761,456,70,81
1538943453079846,457,67,82
1538943453085991,458,70,81
1538943453092226,459,76,85
1538943453098387,460,59,96
1538943453104470,461,88,90
1538943453110474,462,99,85
1538943453116694,463,82,87
1538943453122838,464,84,88
1538943453128912,465,79,85
1538943453134962,466,73,82
1538943453141130,467,86,87
1538943453147251,468,88,89
1538943453153384,469,60,77
1538943453159459,470,63,77
1538943453165627,471,88,91
1538943453171721,472,60,76
1538943453177894,473,129,105
1538943453183889,474,57,74
1538943453190004,475,102,95
1538943453196144,476,67,83
1538943453202293,477,72,83
1538943453208365,478,109,97
