timestamp_us,collection,mark_time_us,sweep_time_us
49250710447,0,1747,505
49250715535,1,2814,804
49250723524,2,6046,2226
49250736876,3,1501,766850
49251512782,4,1538,540
49251518516,5,1452,533
49251524675,6,1477,545
49251530489,7,1455,529
49251536078,8,1473,533
49251542129,9,1448,538
49251547963,10,1444,528
49251553540,11,1503,593
49251559607,12,1446,563
49251565400,13,1444,537
49251570965,14,1478,552
49251576948,15,1503,552
49251582780,16,1461,538
49251588377,17,1483,555
49251594373,18,1562,578
49251600231,19,1589,564
49251605968,20,2776,1358
49251614536,21,2408,963
49251621513,22,2350,863
49251628038,23,2078,715
49251634580,24,4895,2115
49251662430,25,1425,683
49251672758,26,1444,670
49251683124,27,1426,677
49251693646,28,1432,670
49251703878,29,1464,681
49251714150,30,1456,682
49251724695,31,1522,680
49251735288,32,1571,740
49251745654,33,2252,988
49251756753,34,2401,1114
49251768457,35,2176,920
49251780415,36,1441,605
49251790869,37,1426,586
49251801013,38,1446,590
49251811164,39,1439,600
49251821638,40,1431,593
49251832136,41,1508,633
49251842372,42,1564,639
49251852730,43,1658,685
49251863455,44,2364,1084
49251874772,45,4463,2162
49251889784,46,1421,674
49251900001,47,1454,647
49251910259,48,1438,639
49251920808,49,1441,645
49251931215,50,1439,652
49251941416,51,1461,648
49251951781,52,1522,661
49251962397,53,1561,689
49251972819,54,2290,1020
49251983854,55,2453,1030
49251995645,56,6377,2563
49252044855,57,1436,751
49252064279,58,1471,756
49252083896,59,1478,761
49252103367,60,2057,1050
49252123880,61,5679,2473
49252148578,62,1437,744
49252167866,63,1450,747
49252187435,64,1463,783
49252206832,65,2033,1062
49252227276,66,5622,2479
49252251903,67,1441,743
49252271205,68,1444,762
49252290772,69,1453,755
49252310213,70,2035,1055
49252330684,71,5659,2456
49252355334,72,1424,749
49252374564,73,1438,751
49252394192,74,1460,757
49252413614,75,2040,1026
49252434155,76,5605,2528
49252458993,77,1434,741
49252478307,78,1444,749
49252498065,79,1479,753
49252517747,80,2071,1029
49252538326,81,5660,2453
49252563088,82,1439,803
49252582416,83,1442,781
49252601989,84,1461,775
49252621986,85,2092,1031
49252642691,86,5660,2475
49252667393,87,1441,759
49252686717,88,1438,746
49252706320,89,1467,761
49252725795,90,2037,1021
49252746290,91,5633,2479
49252770954,92,1441,749
49252790267,93,1445,749
49252809847,94,1463,755
49252829279,95,2050,1036
49252849830,96,5648,2508
49252874554,97,1437,749
49252893872,98,1449,744
49252913471,99,1460,754
49252932946,100,2056,1058
49252953536,101,5664,2490
49252978272,102,1427,743
49252997589,103,1438,744
49253017116,104,1484,757
49253036575,105,2072,1043
49253057066,106,5652,2433
49253081715,107,1433,743
49253101016,108,1469,750
49253120620,109,1494,760
49253140180,110,2073,1032
49253160679,111,5685,2465
49253185388,112,1434,745
49253204727,113,1453,746
49253224343,114,1485,754
49253243959,115,2138,1044
49253264783,116,5735,2441
49253289619,117,1437,744
49253308946,118,1457,745
49253328541,119,1480,754
49253348011,120,2074,1036
49253368559,121,5657,2469
49253393248,122,1436,759
49253412553,123,1465,749
49253432160,124,1491,756
49253451595,125,2065,1045
49253472177,126,5660,2485
49253496929,127,1570,746
49253516589,128,1488,767
49253536388,129,1486,755
49253555978,130,2076,1057
49253576984,131,5777,2550
49253602046,132,1446,768
49253623240,133,1477,769
49253643056,134,1479,770
49253662515,135,2050,1053
49253683006,136,5677,2456
49253707689,137,1428,757
49253726995,138,1444,764
49253746640,139,1460,756
49253766097,140,2062,1042
49253786589,141,5620,2470
49253811216,142,1451,771
49253830551,143,1443,744
49253850189,144,1459,754
49253869659,145,2049,1024
49253890234,146,5705,2457
49253915002,147,1435,754
49253934297,148,1438,744
49253954013,149,1471,760
49253973607,150,2055,1026
49253994102,151,5618,2460
49254018797,152,1440,750
49254038123,153,1439,746
49254057734,154,1453,753
49254077244,155,2075,1030
49254097824,156,5622,2465
49254122476,157,1467,761
49254141954,158,1449,748
49254161590,159,1456,754
49254181009,160,2059,1027
49254201518,161,5674,2549
49254226328,162,1432,749
49254245612,163,1439,751
49254265249,164,1464,761
49254284693,165,2068,1044
49254305194,166,5634,2457
49254329838,167,1425,742
49254349125,168,1457,743
49254368731,169,1475,766
49254388251,170,2064,1039
49254408730,171,5668,2446
49254433380,172,1431,749
49254452675,173,1462,746
49254472272,174,1475,763
49254491740,175,2079,1045
49254512339,176,5720,2444
49254537254,177,1447,748
49254556905,178,1470,768
49254576763,179,1507,777
49254596589,180,2091,1058
49254617794,181,5723,2488
49254642828,182,1451,745
49254662268,183,1451,752
49254681849,184,1460,759
49254701278,185,2053,1031
49254721745,186,5626,2629
49254746600,187,1441,759
49254765933,188,1444,767
49254785590,189,1463,750
49254805083,190,2053,1027
49254825609,191,5687,2476
49254850347,192,1432,743
49254869614,193,1450,768
49254889228,194,1469,754
49254908657,195,2063,1039
49254929171,196,5642,2478
49254953860,197,1440,746
49254973181,198,1449,749
49254992806,199,1466,762
49255012347,200,2067,1043
49255032900,201,5654,2445
49255057556,202,1426,740
49255076957,203,1474,748
49255096631,204,1494,756
49255116076,205,2082,1036
49255136589,206,5687,2439
49255161330,207,1437,760
49255180675,208,1457,751
49255200265,209,1473,757
49255219771,210,2106,1061
49255241133,211,5900,2491
49255266770,212,1495,763
49255286808,213,1501,767
49255306946,214,1495,776
49255326578,215,2056,1049
49255347045,216,5609,2475
49255371637,217,1420,767
49255390933,218,1440,770
49255410515,219,1461,763
49255429977,220,2051,1027
49255450465,221,5674,2467
49255475164,222,1430,756
49255494555,223,1496,762
49255514607,224,1500,765
49255534337,225,2076,1050
49255554974,226,5754,2493
49255580160,227,1494,770
49255599738,228,1488,775
49255619862,229,1501,780
49255639505,230,2079,1029
49255660023,231,5650,2452
49255684638,232,1440,753
49255703929,233,1453,752
49255723481,234,1454,768
49255742906,235,2037,1066
49255763345,236,5646,2502
49255788031,237,1444,753
49255807358,238,1442,769
49255826946,239,1468,779
49255846455,240,2049,1052
49255866927,241,5634,2463
49255891541,242,1440,768
49255910874,243,1453,752
49255930524,244,1460,758
49255949992,245,2066,1058
49255970523,246,5633,2453
49255995146,247,1434,758
49256014479,248,1439,761
49256034124,249,1464,760
49256053592,250,2102,1035
49256074248,251,5643,2592
49256099024,252,1436,767
49256118356,253,1449,749
49256138039,254,1472,756
49256157465,255,2048,1060
49256178009,256,5627,2507
49256202683,257,1430,744
49256221948,258,1439,753
49256241529,259,1463,766
49256261032,260,2062,1062
49256281590,261,5617,2484
49256306215,262,1430,752
49256325513,263,1450,762
49256345163,264,1459,749
49256364578,265,2091,1030
49256385132,266,5638,2489
49256409807,267,1430,747
49256429100,268,1439,745
49256448676,269,1474,757
49256468164,270,2059,1018
49256488639,271,5660,2469
49256513453,272,1446,755
49256532929,273,1462,750
49256552579,274,1484,806
49256572655,275,2150,1062
49256593846,276,5805,2507
49256619442,277,1471,777
49256639012,278,1451,774
49256658657,279,1461,772
49256678108,280,2036,1047
49256698614,281,5683,2487
49256723308,282,1429,758
49256742598,283,1441,747
49256762196,284,1463,756
49256781596,285,2050,1022
49256802003,286,5635,2524
49256826693,287,1430,753
49256845993,288,1448,747
49256865560,289,1458,747
49256884982,290,2215,1038
49256905856,291,5658,2477
49256930544,292,1422,740
49256949854,293,1533,753
49256969594,294,1472,751
49256989044,295,2065,1029
49257009511,296,5655,2461
49257034230,297,1430,745
49257053548,298,1442,751
49257073107,299,1463,758
49257092555,300,2056,1024
49257112986,301,5662,2494
49257137668,302,1433,746
49257157024,303,1450,746
49257176602,304,1483,757
49257196034,305,2075,1042
49257216512,306,5647,2428
49257241267,307,1457,745
49257260721,308,1463,753
49257280370,309,1475,774
49257299813,310,2053,1033
49257320293,311,5666,2439
49257344983,312,1448,745
49257364252,313,1454,749
49257383866,314,1486,758
49257403430,315,2091,1041
49257424061,316,5682,2429
49257448687,317,1450,755
49257467988,318,1453,748
49257487587,319,1477,761
49257507153,320,2087,1038
49257527854,321,5695,2439
49257552589,322,1450,794
49257572182,323,1467,766
49257591818,324,1489,774
49257611382,325,2224,1116
49257632392,326,5717,2452
49257657189,327,1439,742
49257676501,328,1447,747
49257696097,329,1486,758
49257715581,330,2060,1035
49257736120,331,5662,2428
49257760727,332,1440,744
49257780033,333,1459,752
49257799674,334,1488,754
49257819155,335,2081,1053
49257839737,336,5671,2443
49257864415,337,1452,749
49257883786,338,1459,752
49257903431,339,1465,785
49257922966,340,2053,1078
49257943502,341,5698,2442
49257968289,342,1450,749
49257987648,343,1456,757
49258007274,344,1467,787
49258026789,345,2060,1059
49258047348,346,5649,2513
49258072246,347,1494,778
49258091810,348,1477,753
49258111514,349,1460,787
49258131093,350,2084,1037
49258151697,351,5658,2428
49258176302,352,1443,748
49258195627,353,1458,750
49258215286,354,1468,772
49258234743,355,2058,1064
49258255265,356,5666,2541
49258280130,357,1449,753
49258299453,358,1440,763
49258319080,359,1463,780
49258338601,360,2048,1035
49258359069,361,5650,2445
49258383694,362,1438,748
49258403037,363,1445,764
49258422726,364,1468,756
49258442183,365,2053,1044
49258462683,366,5638,2488
49258487350,367,1442,754
49258506951,368,1483,770
49258526872,369,1487,779
49258546763,370,2076,1061
49258567320,371,5724,2502
49258592380,372,1461,772
49258613496,373,1479,844
49258633493,374,1484,760
