timestamp_us,collection,mark_time_us,sweep_time_us
33050818655,0,42,68
33050821363,1,81,147
33050827805,2,254,413
33050838487,3,277,477
33050859759,4,271,526
33050872998,5,230,470
33050886022,6,227,491
33050899029,7,226,469
33050912081,8,226,484
33050925156,9,228,454
33050938225,10,223,492
33050951310,11,226,459
33050964357,12,228,473
33050977504,13,218,463
33050990860,14,235,514
33051004821,15,226,470
33051018230,16,223,490
33051031360,17,219,458
33051044348,18,218,475
33051057819,19,218,464
33051071325,20,227,479
33051084581,21,226,467
33051097963,22,223,481
33051111638,23,227,476
33051125041,24,226,476
33051138341,25,222,474
33051151488,26,218,472
33051164516,27,222,457
33051177472,28,221,469
33051190481,29,228,469
33051203516,30,220,469
33051216508,31,219,460
33051229584,32,221,468
33051242630,33,231,461
33051255632,34,218,472
33051268639,35,219,459
33051281620,36,219,466
33051294619,37,231,465
33051307677,38,220,466
33051320693,39,221,461
33051333727,40,217,469
33051346721,41,218,460
33051359755,42,220,472
33051372764,43,215,457
33051385743,44,220,468
33051398754,45,219,465
33051411729,46,221,474
33051424747,47,219,460
33051437740,48,219,468
33051450746,49,219,463
33051463772,50,220,473
33051476790,51,226,456
33051489855,52,217,475
33051502956,53,221,466
33051516029,54,219,472
33051529090,55,221,461
33051542156,56,218,480
33051555240,57,223,460
33051568307,58,221,472
33051581392,59,218,462
33051594464,60,231,480
33051607522,61,219,463
33051620527,62,223,473
33051633553,63,219,455
33051646545,64,232,470
33051659562,65,220,458
33051672573,66,220,472
33051685591,67,218,459
33051698587,68,232,471
33051711683,69,221,464
33051724881,70,219,476
33051738088,71,218,470
33051751183,72,221,474
33051764220,73,223,463
33051777227,74,218,466
33051790210,75,226,475
33051803268,76,221,468
33051816293,77,220,461
33051829295,78,219,469
33051842310,79,218,471
33051855348,80,225,470
33051868362,81,220,463
33051881369,82,218,470
33051894500,83,231,462
33051907592,84,219,472
33051920613,85,219,462
33051933613,86,226,473
33051946635,87,229,460
33051959676,88,222,474
33051972747,89,221,458
33051985801,90,221,475
33051999637,91,235,486
33052012799,92,219,475
33052026047,93,221,467
33052039104,94,218,469
33052052175,95,236,491
33052065320,96,223,474
33052078392,97,220,477
33052091483,98,229,485
33052104700,99,285,550
33052118882,100,226,488
33052132800,101,230,472
33052146703,102,224,481
33052160516,103,225,470
33052174204,104,224,493
33052187771,105,225,463
33052201103,106,221,471
33052214255,107,219,468
33052227232,108,219,471
33052240243,109,219,464
33052253329,110,217,474
33052266413,111,218,474
33052279516,112,220,472
33052292528,113,228,470
33052305670,114,224,473
33052318827,115,220,459
33052331909,116,221,471
33052344963,117,222,460
33052358014,118,218,479
33052371089,119,220,458
33052384153,120,217,469
33052397212,121,217,457
33052410274,122,216,480
33052423354,123,216,468
33052436357,124,220,466
33052449393,125,218,455
33052462413,126,216,482
33052475519,127,220,459
33052488603,128,220,471
33052501622,129,217,461
