timestamp_us,collection,mark_time_us,sweep_time_us
1538942822665115,0,36,20
1538942822670145,1,13,9
1538942822674056,2,12,9
1538942822678013,3,12,8
1538942822681910,4,11,8
1538942822685806,5,10,8
1538942822689686,6,10,8
1538942822693570,7,10,8
1538942822697424,8,10,8
1538942822701355,9,12,13
1538942822707565,10,27,18
1538942822711850,11,18,12
1538942822716007,12,12,8
1538942822718940,13,11,7
1538942822721859,14,10,8
1538942822724778,15,10,8
1538942822727720,16,10,8
1538942822730652,17,10,8
1538942822733565,18,9,9
1538942822736498,19,9,8
1538942822739427,20,10,8
1538942822742328,21,9,8
1538942822745241,22,10,8
1538942822748157,23,10,7
1538942822751068,24,10,8
1538942822753972,25,9,8
1538942822756888,26,10,7
1538942822759807,27,10,7
1538942822762724,28,9,7
1538942822765633,29,9,8
1538942822768560,30,10,8
1538942822771470,31,9,9
1538942822774380,32,10,8
1538942822777297,33,9,8
1538942822780215,34,10,7
1538942822783130,35,10,8
1538942822786030,36,9,8
1538942822788959,37,10,7
1538942822791870,38,9,8
1538942822794789,39,9,8
1538942822797709,40,10,7
1538942822800635,41,10,7
1538942822803552,42,9,9
1538942822806456,43,9,8
1538942822809385,44,10,8
1538942822812301,45,9,8
1538942822815215,46,10,7
1538942822818117,47,9,7
1538942822821033,48,9,8
1538942822823953,49,10,8
1538942822826876,50,9,8
1538942822829775,51,9,8
1538942822832690,52,9,8
1538942822835611,53,10,8
1538942822838526,54,9,8
1538942822841425,55,9,8
1538942822844347,56,10,7
1538942822847261,57,9,8
1538942822850220,58,9,8
1538942822853212,59,9,8
1538942822856167,60,9,7
1538942822859102,61,9,8
1538942822862014,62,9,8
1538942822864925,63,9,8
1538942822867847,64,10,8
1538942822870764,65,9,8
1538942822873678,66,9,8
1538942822876594,67,9,8
1538942822879519,68,9,8
1538942822882423,69,9,8
1538942822885460,70,11,8
1538942822888442,71,9,8
1538942822891389,72,9,7
1538942822894332,73,9,8
1538942822897266,74,9,8
1538942822900204,75,9,8
1538942822903143,76,10,8
1538942822906052,77,9,7
1538942822908972,78,10,8
1538942822911896,79,9,8
1538942822914828,80,10,8
1538942822917740,81,9,8
1538942822920663,82,10,7
1538942822923587,83,10,8
1538942822926491,84,20,8
1538942822929400,85,9,7
1538942822932317,86,10,7
1538942822935365,87,9,7
1538942822938294,88,9,8
