timestamp_us,collection,mark_time_us,sweep_time_us
32054671277,0,35,38
32054677605,1,17,26
32054684020,2,14,23
32054690179,3,14,23
32054696319,4,14,23
32054702359,5,13,23
32054708446,6,13,23
32054714548,7,12,22
32054720767,8,15,23
32054726901,9,12,23
32054733066,10,13,22
32054739153,11,12,22
32054745157,12,13,22
32054751239,13,11,22
32054757320,14,11,22
32054763696,15,19,29
32054769877,16,14,24
32054776164,17,12,23
32054782406,18,13,22
32054788542,19,13,23
32054794754,20,12,23
32054800907,21,12,22
32054807015,22,12,23
32054813046,23,12,22
32054819134,24,12,22
32054825216,25,12,22
32054831259,26,12,23
32054837344,27,12,22
32054843450,28,12,22
32054849538,29,12,22
32054855562,30,11,22
32054861652,31,12,22
32054867752,32,12,22
32054873791,33,12,22
32054879907,34,12,23
32054886024,35,12,22
32054892135,36,12,22
32054898163,37,12,22
32054904274,38,12,22
32054910382,39,12,22
32054916495,40,11,22
32054922533,41,12,23
32054928589,42,12,22
32054934652,43,11,23
32054940664,44,12,22
32054946765,45,12,22
32054952841,46,11,22
32054958941,47,11,22
32054964970,48,13,22
32054971083,49,12,22
32054977188,50,12,23
32054983344,51,15,24
32054989626,52,12,22
32054994036,53,13,25
timestamp_us,collection,mark_time_us,sweep_time_us
1538942795649364,0,33,18
1538942795679940,1,18,10
1538942795710633,2,19,11
1538942795743492,3,16,10
1538942795776328,4,13,8
1538942795809122,5,12,9
1538942795841548,6,13,8
1538942795873280,7,15,10
1538942795903526,8,12,8
