timestamp_us,collection,mark_time_us,sweep_time_us
32021613429,0,42,62
32021618778,1,24,41
32021621997,2,12,22
32021624838,3,12,22
32021627670,4,12,22
32021630495,5,12,22
32021633316,6,12,21
32021636127,7,12,22
32021638931,8,12,21
32021641731,9,11,21
32021644566,10,11,21
32021647354,11,11,21
32021650135,12,11,21
32021652914,13,11,21
32021655688,14,11,21
32021658455,15,10,22
32021661259,16,10,22
32021664065,17,11,22
32021666863,18,11,21
32021669679,19,11,21
32021672511,20,11,22
32021675320,21,11,21
32021678111,22,11,21
32021680933,23,11,21
32021683749,24,10,21
32021686535,25,11,21
32021689352,26,11,21
32021692173,27,11,21
32021694949,28,11,21
32021697753,29,11,22
32021700577,30,11,21
32021703387,31,11,21
32021706147,32,11,21
32021708931,33,11,21
32021711746,34,11,21
32021714569,35,11,22
32021717385,36,11,21
32021720174,37,11,21
32021722994,38,11,22
32021725955,39,11,22
32021728783,40,11,21
32021731601,41,11,22
32021734421,42,12,21
32021737211,43,11,21
32021740022,44,11,21
32021742841,45,11,21
32021745658,46,10,22
32021748479,47,10,22
32021751300,48,11,21
32021754118,49,11,22
32021756943,50,11,21
32021759764,51,10,22
32021762582,52,11,21
32021765397,53,11,22
32021768336,54,11,21
32021771158,55,11,21
32021773971,56,11,21
32021776792,57,11,21
32021779609,58,11,21
32021782424,59,11,22
32021785235,60,11,21
32021788050,61,11,21
32021790868,62,11,22
32021793682,63,11,22
32021796504,64,11,21
32021799321,65,12,22
32021802136,66,11,21
32021804946,67,11,21
32021807765,68,11,22
32021810583,69,11,22
32021813406,70,11,22
32021816225,71,11,21
32021819053,72,10,22
32021821867,73,11,21
32021824689,74,10,22
32021827509,75,11,22
32021830322,76,11,21
32021833140,77,10,22
32021835954,78,11,21
32021838778,79,11,22
32021841598,80,10,22
32021844413,81,11,22
32021847228,82,11,21
32021850039,83,11,21
32021852861,84,11,22
32021855676,85,11,22
32021858492,86,11,21
32021861304,87,11,21
32021864119,88,11,22
32021866932,89,10,22
32021869748,90,11,22
32021872567,91,10,22
32021875380,92,11,21
32021878193,93,10,21
32021881008,94,11,21
32021883820,95,11,21
32021886644,96,11,22
32021889456,97,10,22
32021892277,98,11,21
32021895095,99,11,21
32021897917,100,10,22
32021900733,101,11,21
32021903550,102,10,22
32021906369,103,11,21
32021909179,104,10,22
32021911993,105,11,21
32021914809,106,11,21
32021917621,107,11,21
32021920583,108,11,21
32021923421,109,11,21
32021926280,110,11,22
32021929121,111,11,21
32021931963,112,11,21
32021934804,113,11,21
32021937640,114,11,21
32021940480,115,11,21
32021943312,116,11,21
32021946123,117,11,21
32021948938,118,10,22
32021951753,119,11,21
32021954578,120,10,22
32021957392,121,10,22
32021960208,122,11,22
32021963023,123,11,21
32021965834,124,11,21
32021968656,125,11,21
32021971475,126,11,21
32021974291,127,11,22
32021977231,128,11,21
32021980050,129,11,22
32021982872,130,11,21
32021985685,131,11,21
32021988502,132,11,21
32021991321,133,10,22
32021994132,134,11,21
32021996948,135,10,22
32021999761,136,11,21
32022002579,137,11,21
32022005392,138,10,22
32022008207,139,10,22
32022011029,140,11,22
32022013839,141,11,22
32022016659,142,11,22
32022019469,143,11,21
32022022288,144,10,22
32022025119,145,14,25
32022029203,146,14,26
timestamp_us,collection,mark_time_us,sweep_time_us
1538942765965193,0,24,13
1538942765979019,1,11,9
1538942765992774,2,10,8
1538942766006529,3,11,8
1538942766020120,4,10,9
1538942766034247,5,11,9
1538942766048487,6,10,9
1538942766062644,7,9,9
1538942766076664,8,9,8
1538942766090544,9,9,8
1538942766111036,10,13,9
1538942766124300,11,12,8
1538942766137561,12,10,8
1538942766150876,13,10,8
1538942766164231,14,10,8
