timestamp_us,collection,mark_time_us,sweep_time_us
1538961606584731,0,113,118
1538961606598251,1,97,110
1538961606609598,2,82,88
1538961606621246,3,80,91
1538961606632504,4,85,94
1538961606643639,5,78,80
1538961606654854,6,80,88
1538961606666058,7,80,89
1538961606677310,8,74,78
1538961606688442,9,80,87
1538961606706358,10,94,110
1538961606718005,11,84,95
1538961606729454,12,82,88
1538961606740946,13,82,89
1538961606752409,14,84,94
1538961606763706,15,82,86
1538961606775008,16,81,87
1538961606786304,17,84,91
1538961606797595,18,79,82
1538961606808846,19,82,88
1538961606820194,20,82,92
1538961606831535,21,81,92
1538961606842756,22,79,86
1538961606854040,23,81,89
1538961606865375,24,83,92
1538961606876637,25,80,84
1538961606887944,26,79,86
1538961606899268,27,84,90
1538961606910574,28,80,82
1538961606921825,29,83,88
1538961606933172,30,81,93
1538961606944512,31,82,92
1538961606955724,32,78,85
1538961606967017,33,80,88
1538961606978317,34,85,91
1538961606989578,35,81,86
1538961607000909,36,87,98
1538961607012385,37,86,91
1538961607023778,38,82,84
1538961607036495,39,99,114
1538961607048511,40,87,95
1538961607060446,41,83,96
1538961607072180,42,82,88
1538961607083885,43,81,91
1538961607095671,44,85,98
1538961607107277,45,83,89
1538961607118918,46,81,90
1538961607130428,47,96,90
1538961607141854,48,81,83
1538961607153145,49,82,89
1538961607164512,50,83,94
1538961607175836,51,80,90
1538961607187042,52,78,86
1538961607198310,53,80,88
1538961607209643,54,85,92
1538961607220906,55,80,84
1538961607232212,56,78,89
1538961607243513,57,83,91
1538961607254826,58,82,83
1538961607266070,59,80,90
1538961607277427,60,83,91
1538961607288750,61,81,91
1538961607299971,62,78,85
1538961607311267,63,81,88
1538961607322609,64,82,93
1538961607333863,65,82,85
1538961607345184,66,78,88
1538961607356490,67,83,91
1538961607367818,68,80,84
1538961607379201,69,82,90
1538961607390829,70,83,93
1538961607402376,71,82,111
1538961607413715,72,79,86
1538961607425076,73,79,89
1538961607436412,74,83,92
1538961607447672,75,80,87
1538961607458976,76,79,88
1538961607470266,77,82,88
1538961607481569,78,80,82
1538961607492842,79,80,89
1538961607504183,80,82,91
1538961607515525,81,81,91
1538961607526747,82,78,84
1538961607538075,83,82,90
1538961607549427,84,82,91
1538961607560706,85,83,85
1538961607572075,86,80,87
1538961607583406,87,82,90
1538961607594734,88,81,82
1538961607606001,89,81,92
1538961607617438,90,82,91
1538961607628843,91,81,91
1538961607640066,92,79,84
1538961607651379,93,81,88
1538961607662725,94,85,91
1538961607673982,95,82,85
1538961607685312,96,80,87
1538961607696644,97,82,90
1538961607708418,98,81,85
1538961607720058,99,82,89
1538961607731697,100,83,93
1538961607743259,101,79,95
1538961607754637,102,80,85
1538961607766005,103,80,88
1538961607777360,104,83,92
1538961607788648,105,82,85
1538961607799989,106,79,88
1538961607811318,107,83,89
1538961607822642,108,81,81
1538961607833909,109,80,88
1538961607845295,110,82,91
1538961607856653,111,79,94
1538961607867879,112,79,86
1538961607879166,113,81,90
1538961607890488,114,104,92
1538961607901739,115,81,86
1538961607913067,116,80,87
1538961607924383,117,82,91
1538961607935683,118,80,82
1538961607946959,119,80,86
1538961607958281,120,82,90
1538961607969629,121,80,92
1538961607980867,122,78,85
1538961607992158,123,80,88
1538961608003602,124,85,93
1538961608014973,125,82,85
1538961608026363,126,80,102
1538961608039326,127,104,114
1538961608051400,128,86,85
1538961608063322,129,83,91
1538961608075282,130,84,96
1538961608087248,131,83,93
1538961608099127,132,82,89
1538961608110751,133,81,92
1538961608122267,134,85,94
1538961608133615,135,82,85
1538961608144951,136,81,88
1538961608156502,137,83,91
1538961608168010,138,82,84
1538961608179375,139,81,90
1538961608190759,140,82,92
1538961608202349,141,81,104
1538961608213906,142,80,87
1538961608225364,143,80,89
1538961608236774,144,83,91
1538961608248119,145,81,84
1538961608259478,146,81,88
1538961608270859,147,83,90
1538961608282232,148,80,83
1538961608293560,149,82,89
1538961608304992,150,80,90
1538961608316401,151,82,94
1538961608327685,152,78,86
1538961608339040,153,81,89
1538961608350429,154,96,92
1538961608361756,155,81,84
1538961608373134,156,80,88
1538961608384510,157,84,89
1538961608395888,158,81,84
1538961608407235,159,80,89
1538961608418727,160,83,93
1538961608430151,161,81,95
1538961608441424,162,80,85
1538961608452810,163,81,88
1538961608464209,164,83,92
1538961608475540,165,82,86
1538961608486922,166,80,89
1538961608498289,167,82,90
1538961608509676,168,81,83
1538961608521015,169,82,91
1538961608532518,170,83,94
1538961608544132,171,82,93
1538961608555528,172,79,87
1538961608566953,173,81,89
1538961608578323,174,82,104
1538961608589716,175,83,91
1538961608601217,176,79,88
1538961608612694,177,86,92
1538961608624175,178,81,82
1538961608635549,179,82,89
1538961608646985,180,85,94
1538961608658684,181,83,95
1538961608670218,182,80,89
1538961608681753,183,81,90
1538961608693236,184,84,93
1538961608705112,185,88,93
1538961608717173,186,84,95
1538961608729253,187,88,95
1538961608741243,188,85,88
1538961608753105,189,85,92
1538961608764940,190,85,95
1538961608776648,191,83,95
1538961608788080,192,80,87
1538961608799477,193,80,89
1538961608810813,194,83,92
1538961608821995,195,81,83
1538961608833313,196,80,88
1538961608844634,197,83,89
1538961608855926,198,81,82
1538961608867195,199,82,87
1538961608878539,200,85,93
1538961608889841,201,80,91
1538961608901064,202,79,85
1538961608912361,203,81,88
1538961608923691,204,83,92
1538961608934958,205,82,85
1538961608946256,206,79,85
1538961608957592,207,82,89
1538961608968906,208,81,82
1538961608980179,209,82,90
1538961608991541,210,82,93
1538961609002890,211,79,93
1538961609014100,212,78,87
1538961609025440,213,81,89
1538961609038227,214,108,123
1538961609050049,215,85,89
1538961609061836,216,81,91
1538961609073543,217,85,95
1538961609085170,218,81,85
1538961609096637,219,82,90
1538961609108100,220,84,92
1538961609119628,221,83,94
1538961609130966,222,79,87
1538961609142303,223,82,87
1538961609153681,224,84,92
1538961609164983,225,81,85
1538961609176297,226,80,87
1538961609187645,227,83,91
1538961609199172,228,84,83
1538961609210766,229,84,91
1538961609222321,230,83,116
1538961609233963,231,82,94
1538961609245297,232,79,88
1538961609256668,233,82,89
1538961609268336,234,85,94
1538961609279877,235,83,86
1538961609291377,236,81,90
1538961609302798,237,85,91
1538961609314124,238,80,81
1538961609325442,239,81,87
1538961609336805,240,85,92
1538961609348182,241,81,94
1538961609359466,242,79,87
1538961609370819,243,81,91
1538961609382164,244,81,94
1538961609393648,245,83,86
1538961609406007,246,85,97
1538961609418552,247,91,98
1538961609431076,248,89,89
1538961609443596,249,88,97
