timestamp_us,collection,mark_time_us,sweep_time_us
1538778872627983,0,47,55
1538778872632782,1,15,23
1538778872635467,2,13,20
1538778872638239,3,13,20
1538778872640953,4,15,22
1538778872643600,5,12,20
1538778872646187,6,12,19
1538778872648872,7,13,22
1538778872651518,8,12,19
1538778872654280,9,11,20
1538778872656893,10,11,20
1538778872659476,11,11,19
1538778872662246,12,11,19
1538778872664827,13,12,20
1538778872667418,14,11,19
1538778872669995,15,11,20
1538778872672562,16,11,20
1538778872675174,17,12,19
1538778872677792,18,11,20
1538778872680467,19,23,27
1538778872683194,20,14,20
1538778872685931,21,12,20
1538778872688648,22,13,23
1538778872691460,23,15,21
1538778872694278,24,11,20
1538778872696980,25,13,22
1538778872699628,26,11,20
1538778872702417,27,12,19
1538778872705114,28,10,20
1538778872707725,29,12,19
1538778872710428,30,12,19
1538778872713025,31,11,20
1538778872715638,32,12,19
1538778872718244,33,11,19
1538778872720838,34,11,19
1538778872723446,35,11,19
1538778872726061,36,12,19
1538778872728681,37,11,21
1538778872731266,38,11,19
1538778872733874,39,11,20
1538778872736495,40,11,19
1538778872739070,41,11,20
1538778872741689,42,11,20
1538778872744303,43,11,20
1538778872746916,44,11,19
1538778872749532,45,12,19
1538778872752149,46,11,20
1538778872754760,47,11,20
1538778872757347,48,11,19
1538778872759960,49,11,19
1538778872762577,50,11,20
1538778872765157,51,11,20
1538778872767769,52,11,19
1538778872770382,53,11,19
1538778872773003,54,11,19
1538778872775596,55,10,20
1538778872778212,56,11,20
1538778872780819,57,11,20
1538778872783430,58,11,20
1538778872786044,59,11,19
1538778872788662,60,11,20
1538778872791242,61,11,20
1538778872793861,62,12,19
1538778872796475,63,12,19
1538778872799086,64,11,20
1538778872801698,65,12,19
1538778872804320,66,11,20
1538778872806916,67,11,20
1538778872809531,68,11,20
1538778872812149,69,11,20
1538778872814756,70,11,19
1538778872817374,71,11,20
1538778872819989,72,11,19
1538778872822601,73,11,20
1538778872825219,74,11,20
1538778872827827,75,11,22
1538778872830443,76,11,20
1538778872833056,77,11,20
1538778872835667,78,10,20
1538778872838371,79,11,19
1538778872840992,80,11,19
1538778872843604,81,11,20
1538778872846222,82,11,20
1538778872848835,83,11,20
1538778872851446,84,11,20
1538778872854056,85,11,20
1538778872856677,86,11,20
1538778872859280,87,11,19
1538778872861894,88,11,20
1538778872864510,89,10,20
1538778872867125,90,11,19
1538778872869745,91,11,20
1538778872872360,92,10,20
1538778872874971,93,10,20
1538778872877573,94,11,20
1538778872880189,95,11,19
1538778872882801,96,11,20
1538778872885421,97,11,19
1538778872888030,98,11,20
1538778872891364,99,13,25
1538778872895627,100,12,21
