timestamp_us,collection,mark_time_us,sweep_time_us
1538781034916590,0,81,81
1538781034919416,1,88,71
1538781034922127,2,65,64
1538781034924817,3,54,59
1538781034926563,4,37,38
1538781034928028,5,47,42
1538781034929535,6,30,37
1538781034931026,7,34,42
1538781034935662,8,48,60
1538781034938950,9,68,76
1538781034942422,10,75,82
1538781034945991,11,93,87
1538781034949267,12,48,60
1538781034952312,13,39,57
1538781034955440,14,58,61
1538781034958600,15,37,52
1538781034961866,16,53,60
1538781034965036,17,43,55
1538781034968146,18,53,65
1538781034971251,19,53,61
1538781034974443,20,76,73
1538781034977547,21,49,64
1538781034980665,22,41,57
1538781034983626,23,49,62
1538781034986771,24,54,61
1538781034989796,25,49,61
1538781034992927,26,60,71
1538781034996190,27,62,68
1538781034999205,28,54,58
1538781035002301,29,73,89
1538781035005703,30,70,89
1538781035008871,31,77,87
1538781035012024,32,94,99
1538781035015198,33,80,93
1538781035018315,34,87,96
1538781035021427,35,87,93
1538781035024601,36,79,91
1538781035027760,37,111,86
1538781035030814,38,81,89
1538781035033917,39,66,80
1538781035037259,40,94,91
1538781035040328,41,44,52
1538781035043310,42,38,56
1538781035046349,43,54,62
1538781035049370,44,51,62
1538781035052459,45,44,54
1538781035055565,46,76,68
1538781035058555,47,45,56
1538781035061622,48,53,62
1538781035064692,49,52,61
1538781035067765,50,167,89
1538781035070792,51,76,68
1538781035073661,52,50,59
1538781035076807,53,53,67
1538781035079878,54,56,61
1538781035083044,55,49,62
1538781035086262,56,48,58
1538781035089344,57,62,67
1538781035092453,58,41,56
1538781035095609,59,54,58
1538781035098730,60,40,58
1538781035101838,61,50,61
1538781035104825,62,68,68
1538781035107868,63,66,71
1538781035110867,64,56,60
1538781035113945,65,62,65
1538781035117051,66,53,59
1538781035120018,67,52,60
1538781035123033,68,58,58
1538781035126165,69,76,68
1538781035129194,70,76,68
1538781035132175,71,51,60
1538781035135141,72,44,52
1538781035138116,73,57,59
1538781035141352,74,96,96
1538781035144511,75,65,64
1538781035147550,76,44,54
1538781035150618,77,52,60
1538781035153705,78,57,62
1538781035156812,79,57,60
1538781035159869,80,62,65
1538781035162869,81,57,72
1538781035165925,82,51,59
1538781035168948,83,53,60
1538781035172047,84,45,56
1538781035175178,85,43,55
1538781035178220,86,46,61
1538781035181281,87,49,60
1538781035184373,88,55,62
1538781035187401,89,46,59
1538781035190477,90,45,56
1538781035193420,91,69,68
1538781035196452,92,116,81
1538781035199395,93,122,84
1538781035202435,94,62,62
1538781035205552,95,44,55
1538781035208532,96,77,69
1538781035211529,97,43,55
1538781035214652,98,80,71
1538781035217646,99,46,58
1538781035220692,100,52,58
1538781035223653,101,34,50
1538781035226664,102,58,59
1538781035229671,103,42,54
1538781035232796,104,49,59
1538781035235821,105,63,61
1538781035238841,106,41,52
1538781035241910,107,53,61
1538781035244999,108,45,55
1538781035248017,109,51,58
