timestamp_us,collection,mark_time_us,sweep_time_us
1538779053314528,0,58,69
1538779053319477,1,17,25
1538779053323310,2,24,27
1538779053327114,3,25,26
1538779053330924,4,23,26
1538779053334770,5,23,26
1538779053338561,6,22,26
1538779053342361,7,23,26
1538779053346155,8,23,25
1538779053349951,9,23,25
1538779053353804,10,35,30
1538779053357561,11,46,33
1538779053361298,12,35,30
1538779053365014,13,31,29
1538779053368793,14,39,32
1538779053372550,15,31,28
1538779053376318,16,31,29
1538779053380103,17,33,30
1538779053383864,18,24,26
1538779053387705,19,22,26
1538779053391568,20,35,31
1538779053395329,21,32,28
1538779053399112,22,38,32
1538779053402855,23,17,24
1538779053406712,24,36,29
1538779053410423,25,32,28
1538779053414205,26,26,28
1538779053418042,27,24,26
1538779053421824,28,25,27
1538779053425609,29,24,27
1538779053429417,30,35,30
1538779053433180,31,31,28
1538779053436960,32,30,29
1538779053440772,33,31,29
1538779053444622,34,20,27
1538779053448468,35,22,26
1538779053452392,36,23,26
1538779053456281,37,23,26
1538779053460199,38,22,25
1538779053464026,39,22,25
1538779053467831,40,37,30
1538779053471587,41,31,28
1538779053475373,42,39,32
1538779053479124,43,17,24
1538779053483027,44,24,28
1538779053486922,45,23,25
1538779053490777,46,23,26
1538779053494713,47,23,25
1538779053498580,48,22,26
1538779053502416,49,22,25
1538779053506238,50,35,30
1538779053509947,51,31,28
1538779053513726,52,39,31
1538779053517475,53,18,24
1538779053521326,54,22,25
1538779053525120,55,22,25
1538779053528966,56,22,25
1538779053532756,57,21,25
1538779053536547,58,22,25
1538779053540391,59,22,25
1538779053544254,60,35,29
1538779053548019,61,31,28
1538779053551795,62,38,39
1538779053555548,63,18,24
1538779053559421,64,22,26
1538779053563280,65,22,25
1538779053567131,66,22,25
1538779053570923,67,22,25
1538779053574717,68,22,25
1538779053578513,69,21,25
1538779053582334,70,35,30
1538779053586064,71,32,29
1538779053589846,72,38,31
1538779053593605,73,18,24
1538779053597484,74,22,26
1538779053601422,75,22,25
1538779053605284,76,22,25
1538779053609174,77,22,25
1538779053613065,78,22,25
1538779053617000,79,21,26
1538779053620844,80,35,30
1538779053624681,81,32,28
1538779053628540,82,38,32
1538779053632340,83,18,24
1538779053636245,84,22,26
1538779053640073,85,22,25
1538779053643950,86,22,25
1538779053647804,87,21,28
1538779053651596,88,22,25
1538779053655409,89,22,25
1538779053659243,90,35,30
1538779053662979,91,31,28
1538779053666781,92,38,32
1538779053670643,93,17,24
1538779053674545,94,22,26
1538779053678459,95,22,26
1538779053682425,96,22,26
1538779053686338,97,22,26
1538779053690227,98,22,26
1538779053694165,99,22,26
1538779053698099,100,36,30
1538779053701936,101,31,29
1538779053705775,102,39,32
1538779053709575,103,18,23
1538779053713458,104,22,25
1538779053717287,105,22,25
1538779053721117,106,22,25
1538779053724917,107,22,25
1538779053728718,108,21,26
1538779053732538,109,22,25
1538779053736422,110,35,30
1538779053740197,111,31,28
1538779053743991,112,38,32
1538779053747757,113,18,23
1538779053751583,114,22,25
1538779053755402,115,22,25
1538779053759207,116,22,25
1538779053763021,117,22,25
1538779053766836,118,22,25
1538779053770650,119,21,26
1538779053774483,120,35,29
1538779053778195,121,31,28
1538779053781998,122,38,32
1538779053785774,123,18,24
1538779053789651,124,22,25
1538779053793526,125,22,26
1538779053797345,126,22,25
1538779053801159,127,22,25
1538779053804982,128,23,25
1538779053808809,129,22,25
1538779053812651,130,34,30
1538779053816387,131,31,28
1538779053820176,132,39,31
1538779053823943,133,18,23
1538779053827765,134,23,25
1538779053831736,135,22,26
1538779053835580,136,22,26
1538779053839444,137,22,26
1538779053843299,138,22,26
1538779053847191,139,22,25
1538779053851094,140,35,30
1538779053854884,141,31,29
1538779053858687,142,38,32
1538779053862454,143,17,24
1538779053866331,144,23,25
1538779053870154,145,21,26
1538779053873954,146,22,25
1538779053877821,147,22,25
1538779053881691,148,22,26
1538779053885509,149,22,25
1538779053889393,150,35,29
1538779053893194,151,14,23
