timestamp_us,collection,mark_time_us,sweep_time_us
1538790094896508,0,1687,368
1538790094901990,1,3976,705
1538790094910836,2,6188,1991
1538790094923803,3,1591,349
1538790094933653,4,1480,370
1538790094939153,5,1597,407
1538790094945417,6,1483,359
1538790094951126,7,1602,399
1538790094956791,8,1519,376
1538790094962657,9,1527,371
1538790094968348,10,1484,346
1538790094973875,11,1494,379
1538790094979794,12,1513,351
1538790094985358,13,1521,378
1538790094990856,14,1537,395
1538790094996752,15,1524,384
1538790095002470,16,1568,381
1538790095008076,17,1642,397
1538790095013979,18,1659,441
1538790095019676,19,1699,422
1538790095025394,20,2109,595
1538790095031785,21,2102,563
1538790095037970,22,2076,543
1538790095043969,23,2148,575
1538790095050352,24,5161,1880
1538790095078327,25,1546,594
1538790095088844,26,1495,395
1538790095098913,27,1507,376
1538790095109171,28,1508,372
1538790095119304,29,1537,392
1538790095129397,30,1544,394
1538790095139621,31,1598,415
1538790095150073,32,1605,434
1538790095160292,33,2367,724
1538790095171113,34,2790,875
1538790095182924,35,6985,2343
1538790095231292,36,1501,399
1538790095250338,37,1544,407
1538790095269558,38,1574,419
1538790095288687,39,2312,713
1538790095308932,40,7721,2617
1538790095335124,41,1598,344
1538790095354313,42,1501,353
1538790095373451,43,1587,371
1538790095392549,44,2297,654
1538790095412770,45,7654,2600
1538790095438655,46,1530,339
1538790095457664,47,1515,342
1538790095476771,48,1583,380
1538790095495933,49,2344,655
1538790095516198,50,7701,2597
1538790095542173,51,1520,386
1538790095561219,52,1518,342
1538790095580382,53,1582,369
1538790095599516,54,2334,669
1538790095619769,55,7673,2630
1538790095645747,56,1492,343
1538790095664734,57,1502,363
1538790095684021,58,1705,382
1538790095703248,59,2331,654
1538790095724225,60,7763,2600
1538790095750241,61,1522,373
1538790095769271,62,1531,344
1538790095788509,63,1572,355
1538790095807573,64,2358,660
1538790095827882,65,7705,2646
1538790095853976,66,1510,342
1538790095873052,67,1512,341
1538790095892233,68,1586,354
1538790095911347,69,2364,660
1538790095931723,70,7748,2669
1538790095957890,71,1517,341
1538790095976930,72,1534,371
1538790095996190,73,1581,357
1538790096015334,74,2356,670
1538790096035585,75,7758,2676
1538790096061763,76,1516,356
1538790096080982,77,1539,358
1538790096100648,78,1584,354
1538790096119762,79,2359,658
1538790096140101,80,7671,2613
1538790096166033,81,1519,373
1538790096185067,82,1507,338
1538790096204273,83,1587,354
1538790096223426,84,2350,661
1538790096243739,85,7658,2637
1538790096269793,86,1518,355
1538790096288799,87,1527,339
1538790096308039,88,1571,349
1538790096327271,89,2349,654
1538790096347579,90,7687,2624
1538790096373580,91,1525,354
1538790096392612,92,1510,357
1538790096411876,93,1588,364
1538790096431030,94,2346,664
1538790096451272,95,7687,2634
1538790096477241,96,1521,341
1538790096496294,97,1508,361
1538790096515442,98,1697,365
1538790096534766,99,2336,653
1538790096554957,100,7677,2655
1538790096580943,101,1523,341
1538790096600019,102,1508,338
1538790096619222,103,1589,357
1538790096638293,104,2345,662
1538790096658572,105,7697,2625
1538790096684558,106,1515,366
1538790096703576,107,1540,356
1538790096722839,108,1595,379
1538790096742009,109,2297,659
1538790096762243,110,7668,2644
1538790096788256,111,1507,333
1538790096807201,112,1532,365
1538790096826466,113,1592,378
1538790096845780,114,2330,670
1538790096865964,115,7694,2639
1538790096891983,116,1519,339
1538790096910958,117,1531,352
1538790096930214,118,1553,387
1538790096949372,119,2305,682
1538790096969677,120,7668,2636
1538790096995906,121,1528,357
1538790097015037,122,1571,368
1538790097035051,123,1647,383
1538790097054300,124,2370,676
