timestamp_us,collection,mark_time_us,sweep_time_us
1538779009703594,0,48,57
1538779009707421,1,41,53
1538779009710199,2,15,22
1538779009712075,3,14,21
1538779009713942,4,13,21
1538779009715800,5,12,21
1538779009717661,6,13,20
1538779009719517,7,13,21
1538779009721382,8,12,21
1538779009723225,9,12,20
1538779009725272,10,12,21
1538779009727248,11,12,20
1538779009729230,12,11,21
1538779009731201,13,12,20
1538779009733174,14,12,20
1538779009735137,15,11,20
1538779009737107,16,12,20
1538779009739071,17,11,21
1538779009741040,18,12,20
1538779009743004,19,12,20
1538779009744860,20,12,20
1538779009746693,21,11,20
1538779009748528,22,12,20
1538779009750363,23,13,20
1538779009752201,24,11,21
1538779009754032,25,11,20
1538779009755876,26,12,20
1538779009757722,27,12,20
1538779009759566,28,13,20
1538779009761405,29,13,20
1538779009763248,30,11,20
1538779009765084,31,12,20
1538779009766923,32,11,20
1538779009768777,33,12,21
1538779009770622,34,12,20
1538779009772469,35,13,20
1538779009774316,36,11,21
1538779009776153,37,12,20
1538779009777991,38,12,20
1538779009779837,39,17,20
1538779009781696,40,11,21
1538779009783540,41,11,20
1538779009785376,42,12,20
1538779009787216,43,12,20
1538779009789064,44,11,21
1538779009790908,45,12,20
1538779009792762,46,12,20
1538779009794605,47,12,20
1538779009796456,48,12,20
1538779009798301,49,12,20
1538779009800153,50,11,20
1538779009801987,51,12,20
1538779009803835,52,19,20
1538779009805688,53,12,20
1538779009807530,54,11,21
1538779009809376,55,12,20
1538779009811219,56,12,20
1538779009813064,57,11,21
1538779009814907,58,12,20
1538779009816756,59,12,21
1538779009818602,60,12,21
1538779009820444,61,12,20
1538779009822289,62,11,20
1538779009824136,63,12,20
1538779009825982,64,12,20
1538779009827825,65,11,26
1538779009829793,66,12,20
1538779009831636,67,11,20
1538779009833497,68,12,21
1538779009835351,69,12,21
1538779009837216,70,13,21
1538779009839072,71,13,20
1538779009840935,72,12,21
1538779009842794,73,12,20
1538779009844653,74,12,20
1538779009846511,75,13,20
1538779009848357,76,11,21
1538779009850202,77,12,21
1538779009852052,78,13,20
1538779009853897,79,12,20
1538779009855749,80,11,20
1538779009857598,81,11,20
1538779009859441,82,12,20
1538779009861290,83,12,20
1538779009863132,84,11,20
1538779009864983,85,12,20
1538779009866828,86,12,20
1538779009868673,87,12,20
1538779009870517,88,12,20
1538779009872359,89,13,19
1538779009874212,90,12,20
1538779009876063,91,12,20
1538779009877903,92,12,20
1538779009879740,93,12,21
1538779009881587,94,12,20
1538779009883430,95,13,20
1538779009885283,96,12,21
1538779009887129,97,12,19
1538779009888989,98,12,21
1538779009890845,99,12,20
1538779009892769,100,13,23
1538779009894684,101,12,20
1538779009896547,102,12,21
1538779009898402,103,12,21
1538779009900262,104,12,20
1538779009902120,105,12,20
1538779009903982,106,11,20
1538779009905834,107,12,20
1538779009907684,108,11,21
1538779009909538,109,12,20
1538779009911392,110,12,21
1538779009913243,111,12,20
1538779009915088,112,11,20
1538779009916935,113,12,20
1538779009918781,114,12,20
1538779009920635,115,12,20
1538779009922480,116,12,20
1538779009924330,117,12,21
1538779009926176,118,12,20
1538779009928027,119,12,20
1538779009929882,120,12,20
1538779009931727,121,12,21
1538779009933577,122,12,20
1538779009935419,123,12,21
1538779009937450,124,29,41
1538779009939335,125,15,22
1538779009941327,126,15,22
1538779009943366,127,21,28
1538779009945400,128,13,23
1538779009947278,129,12,21
1538779009949288,130,14,22
1538779009951188,131,13,21
1538779009953171,132,14,23
1538779009955091,133,12,21
1538779009956993,134,12,21
1538779009958883,135,12,21
1538779009960768,136,12,21
1538779009962648,137,12,21
1538779009964533,138,13,20
1538779009966412,139,11,21
1538779009968310,140,12,21
1538779009970181,141,13,20
1538779009972055,142,12,20
1538779009973923,143,12,21
1538779009975791,144,12,21
1538779009977664,145,12,21
1538779009979522,146,12,20
1538779009981387,147,11,21
1538779009983241,148,12,20
1538779009985099,149,12,21
1538779009986967,150,12,21
1538779009988819,151,11,20
1538779009990662,152,12,21
1538779009992511,153,12,20
1538779009994357,154,12,20
1538779009996210,155,12,20
1538779009998055,156,12,20
1538779009999905,157,11,20
1538779010001836,158,14,23
1538779010003755,159,11,20
1538779010005626,160,13,22
1538779010007479,161,12,20
1538779010009343,162,13,21
1538779010011197,163,12,20
1538779010013055,164,12,21
1538779010014908,165,12,20
1538779010016765,166,11,21
1538779010018618,167,12,21
1538779010020479,168,12,21
1538779010022331,169,12,21
1538779010024187,170,12,20
1538779010026029,171,12,20
1538779010027884,172,12,20
1538779010029738,173,12,20
1538779010031592,174,11,20
1538779010033449,175,12,20
1538779010035304,176,11,21
1538779010037152,177,12,20
1538779010038997,178,11,20
1538779010040852,179,13,20
1538779010042714,180,12,21
1538779010044571,181,12,21
1538779010046416,182,12,20
1538779010048267,183,12,20
1538779010050109,184,12,20
1538779010051964,185,12,20
1538779010053821,186,11,21
1538779010055676,187,12,20
1538779010057530,188,12,20
1538779010059374,189,12,20
1538779010061233,190,12,20
1538779010063079,191,11,21
1538779010064935,192,12,21
1538779010066790,193,12,21
1538779010068648,194,11,21
1538779010070634,195,14,23
1538779010072523,196,12,21
1538779010074503,197,13,23
1538779010076536,198,16,24
1538779010078564,199,14,24
1538779010080623,200,14,22
1538779010082651,201,13,22
1538779010084685,202,13,22
1538779010086707,203,13,22
1538779010088733,204,13,23
1538779010090756,205,13,23
1538779010092789,206,13,22
1538779010094811,207,12,22
1538779010096840,208,13,22
1538779010098863,209,12,23
1538779010100899,210,12,22
1538779010102920,211,13,22
1538779010104952,212,12,22
1538779010106973,213,14,22
1538779010109002,214,12,22
1538779010111025,215,13,22
1538779010113052,216,12,22
1538779010115074,217,12,23
1538779010117105,218,13,23
1538779010119129,219,12,22
1538779010121159,220,13,22
1538779010123181,221,13,22
1538779010125209,222,14,22
1538779010127233,223,14,22
1538779010129263,224,13,22
1538779010131285,225,13,22
1538779010133316,226,13,22
1538779010135340,227,13,22
1538779010137366,228,13,22
1538779010139390,229,13,23
1538779010141429,230,14,23
1538779010143454,231,13,22
1538779010145479,232,13,22
1538779010147501,233,14,23
1538779010149518,234,13,23
1538779010151523,235,13,22
1538779010153540,236,12,22
1538779010155548,237,13,22
1538779010157557,238,13,22
1538779010159567,239,14,22
1538779010161576,240,13,22
1538779010163571,241,13,22
1538779010165573,242,12,23
1538779010167568,243,13,21
1538779010169562,244,13,22
1538779010171545,245,12,22
1538779010173530,246,13,22
1538779010175512,247,12,22
1538779010177499,248,13,22
1538779010179469,249,12,22
1538779010181450,250,13,21
1538779010183421,251,13,21
1538779010185385,252,12,22
1538779010187340,253,13,21
1538779010189303,254,13,22
1538779010191253,255,13,21
1538779010193202,256,13,21
1538779010195147,257,13,21
1538779010197087,258,13,21
1538779010199019,259,12,22
1538779010200958,260,13,22
1538779010202876,261,12,21
1538779010204798,262,12,21
1538779010206714,263,13,21
1538779010208628,264,12,21
