timestamp_us,collection,mark_time_us,sweep_time_us
1538778956441776,0,42,45
1538778956448143,1,18,23
1538778956454650,2,15,22
1538778956461079,3,14,22
1538778956467455,4,13,22
1538778956473719,5,20,34
1538778956479937,6,13,21
1538778956486159,7,13,20
1538778956492309,8,13,20
1538778956498470,9,13,22
1538778956504683,10,14,20
1538778956511017,11,13,21
1538778956517350,12,13,21
1538778956523600,13,13,21
1538778956529832,14,12,21
1538778956536023,15,12,21
1538778956542295,16,12,21
1538778956548495,17,13,20
1538778956554696,18,11,21
1538778956560904,19,12,21
1538778956567196,20,12,21
1538778956573417,21,13,20
1538778956579630,22,12,21
1538778956585864,23,12,21
1538778956592150,24,12,21
1538778956598489,25,12,21
1538778956604716,26,14,23
1538778956610943,27,11,21
1538778956617127,28,12,21
1538778956623411,29,12,21
1538778956629645,30,12,21
1538778956635848,31,12,21
1538778956642064,32,12,21
1538778956648347,33,12,22
1538778956654665,34,11,21
1538778956660922,35,12,21
1538778956667146,36,12,21
1538778956673372,37,13,21
1538778956679667,38,11,21
1538778956685925,39,12,21
1538778956692151,40,12,21
1538778956698402,41,12,22
1538778956704635,42,12,21
1538778956710952,43,11,21
1538778956717181,44,12,20
1538778956723444,45,12,21
1538778956729675,46,12,21
1538778956735988,47,12,21
1538778956742211,48,12,20
1538778956748438,49,11,21
1538778956754664,50,12,21
1538778956760881,51,11,21
1538778956766439,52,14,24
1538778956770767,53,13,23
