timestamp_us,collection,mark_time_us,sweep_time_us
1538808752375514,0,81,135
1538808752382453,1,215,305
1538808752396363,2,263,372
1538808752406687,3,178,322
1538808752416152,4,207,353
1538808752425746,5,225,346
1538808752435443,6,170,324
1538808752444871,7,196,343
1538808752454427,8,229,349
1538808752464168,9,168,318
1538808752473508,10,193,337
1538808752482878,11,229,350
1538808752492550,12,170,315
1538808752501816,13,186,337
1538808752511149,14,230,349
1538808752520822,15,165,314
1538808752530076,16,188,339
1538808752539404,17,227,359
1538808752549082,18,160,303
1538808752558326,19,182,331
1538808752567681,20,232,350
1538808752577342,21,178,335
1538808752586634,22,183,333
1538808752595989,23,225,350
1538808752605582,24,204,345
1538808752614943,25,185,334
1538808752624287,26,219,347
1538808752633843,27,209,346
1538808752643250,28,179,330
1538808752652570,29,210,341
1538808752662112,30,212,346
1538808752671541,31,178,351
1538808752680864,32,210,344
1538808752690338,33,227,343
1538808752699812,34,205,327
1538808752709098,35,205,347
1538808752718714,36,231,351
1538808752728256,37,174,322
1538808752737540,38,203,341
1538808752746952,39,228,347
1538808752756555,40,174,323
1538808752765863,41,201,338
1538808752775279,42,224,374
1538808752784858,43,171,323
1538808752794188,44,200,339
1538808752803595,45,227,357
1538808752813202,46,172,319
1538808752822479,47,195,341
1538808752831884,48,227,354
1538808752841507,49,166,318
1538808752850794,50,188,338
1538808752860154,51,226,343
1538808752869957,52,167,310
1538808752879352,53,186,356
1538808752888694,54,231,350
1538808752898366,55,160,309
1538808752907620,56,183,356
1538808752916958,57,228,353
1538808752926607,58,174,335
1538808752935936,59,185,351
1538808752945357,60,225,350
1538808752954985,61,200,341
1538808752964356,62,183,329
1538808752973682,63,217,348
1538808752983225,64,212,349
1538808752992668,65,176,329
1538808753002095,66,218,356
1538808753011827,67,227,350
1538808753021441,68,191,338
1538808753031232,69,219,349
1538808753040903,70,234,353
1538808753050519,71,182,329
1538808753059812,72,234,350
1538808753069292,73,229,355
1538808753078826,74,170,327
1538808753088473,75,225,362
1538808753098677,76,240,360
1538808753108835,77,188,335
1538808753118312,78,207,347
1538808753127720,79,233,350
1538808753137334,80,173,324
1538808753146615,81,194,343
1538808753156017,82,229,355
1538808753165710,83,169,317
1538808753175137,84,195,344
1538808753184530,85,229,350
1538808753194166,86,170,318
1538808753203440,87,184,346
1538808753212801,88,222,354
1538808753222456,89,167,314
1538808753231732,90,207,337
1538808753241097,91,229,350
1538808753250758,92,158,310
1538808753260033,93,188,334
1538808753269361,94,227,351
1538808753279039,95,173,340
