timestamp_us,collection,mark_time_us,sweep_time_us
1538779105112521,0,50,57
1538779105114154,1,29,41
1538779105115748,2,30,39
1538779105117334,3,29,39
1538779105118924,4,28,39
1538779105120522,5,29,41
1538779105121585,6,14,22
1538779105122443,7,14,21
1538779105123302,8,16,21
1538779105124195,9,15,24
1538779105125146,10,14,21
1538779105126004,11,14,21
1538779105126860,12,14,21
1538779105127722,13,15,20
1538779105128642,14,15,22
1538779105129517,15,15,22
1538779105130369,16,16,21
1538779105131224,17,14,20
1538779105132105,18,16,24
1538779105133027,19,14,22
1538779105133893,20,13,21
1538779105134742,21,13,21
1538779105135598,22,14,20
1538779105136509,23,16,23
1538779105137397,24,13,21
1538779105138252,25,16,22
1538779105139103,26,16,21
1538779105139971,27,16,23
1538779105140906,28,13,21
1538779105141757,29,17,21
1538779105142614,30,14,20
1538779105143468,31,16,21
1538779105144376,32,16,23
1538779105145278,33,14,22
1538779105146142,34,16,22
1538779105147006,35,15,21
1538779105147878,36,15,21
1538779105148808,37,14,23
1538779105149679,38,14,21
1538779105150541,39,15,21
1538779105151405,40,16,21
1538779105152281,41,13,22
1538779105153139,42,14,20
1538779105153996,43,15,21
1538779105154852,44,16,21
1538779105155714,45,15,21
1538779105156577,46,14,22
1538779105157433,47,15,22
1538779105158293,48,15,21
1538779105159150,49,14,21
1538779105160025,50,14,21
1538779105160878,51,17,22
1538779105161733,52,14,20
1538779105162583,53,16,20
1538779105163438,54,16,21
1538779105164297,55,14,21
1538779105165145,56,15,20
1538779105165999,57,14,22
1538779105166850,58,15,21
1538779105167701,59,14,21
1538779105168555,60,13,20
1538779105169398,61,15,20
1538779105170248,62,14,21
1538779105171095,63,15,21
1538779105171955,64,15,21
1538779105172800,65,15,21
1538779105173647,66,13,21
1538779105174492,67,14,21
1538779105175340,68,15,21
1538779105176193,69,14,20
1538779105177041,70,13,20
1538779105177889,71,14,20
1538779105178730,72,13,21
1538779105179581,73,15,21
1538779105180431,74,14,21
1538779105181275,75,15,22
1538779105182119,76,16,21
1538779105182966,77,14,21
1538779105183815,78,14,23
1538779105184661,79,14,20
1538779105185513,80,16,21
1538779105186357,81,15,21
1538779105187206,82,13,21
1538779105188052,83,13,20
1538779105188896,84,13,21
1538779105189742,85,15,21
1538779105190584,86,15,21
1538779105191434,87,13,21
1538779105192279,88,15,21
1538779105193126,89,13,20
1538779105193973,90,15,21
1538779105194820,91,15,21
1538779105195668,92,14,21
1538779105196515,93,12,20
1538779105197362,94,14,22
1538779105198207,95,13,20
1538779105199056,96,16,21
1538779105199905,97,13,20
1538779105200750,98,13,21
1538779105201596,99,16,21
1538779105202451,100,14,20
1538779105203298,101,14,21
1538779105204146,102,14,22
1538779105204994,103,13,21
1538779105205839,104,13,20
1538779105206688,105,14,20
1538779105207533,106,14,21
1538779105208381,107,14,20
1538779105209229,108,15,21
1538779105210074,109,15,21
1538779105210931,110,14,20
1538779105211775,111,14,21
1538779105212625,112,15,21
1538779105213468,113,16,21
1538779105214319,114,15,21
1538779105215168,115,14,21
1538779105216017,116,13,21
1538779105216863,117,14,21
1538779105217707,118,15,20
1538779105218556,119,15,21
1538779105219406,120,13,20
1538779105220254,121,12,21
1538779105221099,122,16,21
1538779105221946,123,15,21
1538779105222797,124,14,20
1538779105223638,125,14,20
1538779105224494,126,13,21
1538779105225337,127,14,21
1538779105226185,128,17,21
1538779105227034,129,13,20
1538779105227886,130,14,20
1538779105228734,131,14,20
1538779105229577,132,14,21
1538779105230423,133,14,20
1538779105231268,134,14,22
1538779105232119,135,15,21
1538779105232965,136,14,21
1538779105233812,137,14,20
1538779105234658,138,13,21
1538779105235500,139,14,20
1538779105236362,140,13,21
1538779105237205,141,15,21
1538779105238057,142,14,20
1538779105238899,143,14,20
1538779105239746,144,15,21
1538779105240597,145,14,21
1538779105241443,146,13,21
1538779105242293,147,14,21
1538779105243135,148,14,20
1538779105243984,149,13,21
1538779105244834,150,15,22
1538779105245683,151,15,21
1538779105246531,152,14,22
1538779105247374,153,12,20
1538779105248227,154,15,20
1538779105249072,155,13,21
1538779105249921,156,14,21
1538779105250764,157,13,20
1538779105251610,158,14,22
1538779105252459,159,15,22
1538779105253324,160,15,21
1538779105254173,161,14,20
1538779105255013,162,13,21
1538779105255864,163,14,20
1538779105256706,164,14,20
1538779105257556,165,13,20
1538779105258397,166,13,20
1538779105259240,167,14,20
1538779105260094,168,14,21
1538779105260937,169,15,21
1538779105261795,170,13,21
1538779105262635,171,13,20
1538779105263479,172,13,20
1538779105264323,173,15,21
1538779105265172,174,15,21
1538779105266019,175,15,21
1538779105266864,176,13,21
1538779105267715,177,13,20
1538779105268560,178,14,21
1538779105269410,179,15,21
1538779105270262,180,13,21
1538779105271104,181,16,21
1538779105271955,182,16,21
1538779105272804,183,14,21
1538779105273653,184,13,20
1538779105274493,185,15,20
1538779105275340,186,16,21
1538779105276189,187,15,21
1538779105277039,188,13,20
1538779105277882,189,13,20
1538779105278732,190,13,20
1538779105279578,191,16,21
1538779105280424,192,15,21
1538779105281277,193,14,21
1538779105282118,194,14,20
1538779105282965,195,15,20
1538779105283810,196,14,27
1538779105284664,197,14,21
1538779105285510,198,14,20
1538779105286353,199,13,21
1538779105287204,200,13,20
1538779105288049,201,13,21
1538779105288898,202,14,20
1538779105289741,203,14,21
1538779105290586,204,14,21
1538779105291432,205,17,21
1538779105292289,206,14,21
1538779105293140,207,15,21
1538779105293982,208,15,21
1538779105294830,209,14,21
1538779105295678,210,15,20
1538779105296530,211,13,21
1538779105297374,212,14,21
1538779105298219,213,15,21
1538779105299068,214,14,21
1538779105299916,215,15,21
1538779105300768,216,15,21
1538779105301612,217,15,22
1538779105302460,218,14,22
1538779105303305,219,14,21
1538779105304164,220,14,21
1538779105305011,221,13,21
1538779105305853,222,14,20
1538779105306700,223,16,22
1538779105307546,224,13,20
1538779105308398,225,15,21
1538779105309240,226,13,21
1538779105310086,227,15,21
1538779105310934,228,16,21
1538779105311784,229,14,21
1538779105312642,230,13,21
1538779105313482,231,14,21
1538779105314330,232,14,21
1538779105315175,233,15,21
1538779105316034,234,15,21
1538779105316879,235,12,21
1538779105317719,236,15,21
1538779105318568,237,13,21
1538779105319411,238,15,20
1538779105320265,239,13,21
1538779105321113,240,12,21
1538779105321956,241,15,21
1538779105322799,242,13,20
1538779105323644,243,16,20
1538779105324498,244,14,21
1538779105325340,245,14,20
1538779105326187,246,13,20
1538779105327031,247,14,21
1538779105327887,248,15,22
1538779105328731,249,14,22
1538779105329582,250,13,21
1538779105330428,251,15,21
1538779105331275,252,15,21
1538779105332128,253,13,21
1538779105332967,254,14,21
1538779105333815,255,15,21
1538779105334661,256,15,21
1538779105335511,257,15,21
1538779105336359,258,13,20
1538779105337202,259,15,22
1538779105338056,260,15,21
1538779105338899,261,14,21
1538779105339750,262,14,21
1538779105340601,263,15,21
1538779105341448,264,15,22
1538779105342293,265,16,21
1538779105343143,266,12,21
1538779105343995,267,14,21
1538779105344835,268,12,21
1538779105345681,269,12,21
1538779105346531,270,15,20
1538779105347380,271,14,22
1538779105348253,272,15,22
1538779105349190,273,15,22
1538779105350048,274,14,20
1538779105350892,275,15,20
1538779105351741,276,14,22
1538779105352595,277,14,20
1538779105353448,278,13,21
1538779105354299,279,14,21
